UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
4010,2023-06-14,桃園市,蘆竹區,2,795
4011,2023-06-14,桃園市,蘆竹區,4,894
4012,2023-06-14,桃園市,蘆竹區,45-49,7482
4013,2023-06-14,桃園市,蘆竹區,55-59,4404
4014,2023-06-14,桃園市,蘆竹區,10-14,5363
4015,2023-03-21,桃園市,蘆竹區,15-19,5368
4016,2023-03-20,桃園市,蘆竹區,40-44,9373
4017,2023-03-20,桃園市,蘆竹區,20-24,6461
4018,2023-03-20,桃園市,蘆竹區,70+,3760
4019,2023-03-20,桃園市,蘆竹區,60-64,3372
4020,2023-03-20,桃園市,蘆竹區,35-39,8041
4021,2023-03-20,桃園市,蘆竹區,30-34,8398
4022,2023-03-20,桃園市,蘆竹區,25-29,8830
4023,2023-03-20,桃園市,蘆竹區,1,779
4024,2023-03-20,桃園市,蘆竹區,5-9,5375
4025,2023-03-19,桃園市,蘆竹區,0,507
4026,2023-03-19,桃園市,蘆竹區,50-54,5776
4027,2023-03-17,桃園市,蘆竹區,65-69,2408
4028,2023-03-16,桃園市,蘆竹區,3,795
