UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
73,2023-06-14,桃園市,蘆竹區,5,88181,0.71
463,2023-03-21,桃園市,蘆竹區,1,88176,51.00
601,2023-03-20,桃園市,蘆竹區,26,88175,62.00
885,2023-03-19,桃園市,蘆竹區,54,88149,68.29
1213,2023-03-18,桃園市,蘆竹區,64,88095,68.86
1553,2023-03-17,桃園市,蘆竹區,61,88031,73.29
1905,2023-03-16,桃園市,蘆竹區,82,87970,74.86
2258,2023-03-15,桃園市,蘆竹區,69,87888,73.43
2609,2023-03-14,桃園市,蘆竹區,78,87819,74.71
2966,2023-03-13,桃園市,蘆竹區,70,87741,78.43
3325,2023-03-12,桃園市,蘆竹區,58,87671,80.43
3670,2023-03-11,桃園市,蘆竹區,95,87613,81.57
4023,2023-03-10,桃園市,蘆竹區,72,87518,84.43
4378,2023-03-09,桃園市,蘆竹區,72,87446,90.43
4737,2023-03-08,桃園市,蘆竹區,78,87374,100.00
5091,2023-03-07,桃園市,蘆竹區,104,87296,109.29
5450,2023-03-06,桃園市,蘆竹區,84,87192,107.00
5815,2023-03-05,桃園市,蘆竹區,66,87108,105.57
6154,2023-03-04,桃園市,蘆竹區,115,87042,107.00
6506,2023-03-03,桃園市,蘆竹區,114,86927,104.71
6865,2023-03-02,桃園市,蘆竹區,139,86813,102.57
7229,2023-03-01,桃園市,蘆竹區,143,86674,102.57
7600,2023-02-28,桃園市,蘆竹區,88,86531,105.00
7963,2023-02-27,桃園市,蘆竹區,74,86443,112.14
8322,2023-02-26,桃園市,蘆竹區,76,86369,125.29
8667,2023-02-25,桃園市,蘆竹區,99,86293,134.14
9037,2023-02-24,桃園市,蘆竹區,99,86194,145.14
9398,2023-02-23,桃園市,蘆竹區,139,86095,147.57
9768,2023-02-22,桃園市,蘆竹區,160,85956,148.57
10143,2023-02-21,桃園市,蘆竹區,138,85796,147.43
10512,2023-02-20,桃園市,蘆竹區,166,85658,153.00
10892,2023-02-19,桃園市,蘆竹區,138,85492,152.71
11250,2023-02-18,桃園市,蘆竹區,176,85354,145.86
11617,2023-02-17,桃園市,蘆竹區,116,85178,138.86
11989,2023-02-16,桃園市,蘆竹區,146,85062,139.71
12364,2023-02-15,桃園市,蘆竹區,152,84916,142.14
12737,2023-02-14,桃園市,蘆竹區,177,84764,144.29
13109,2023-02-13,桃園市,蘆竹區,164,84587,148.00
13488,2023-02-12,桃園市,蘆竹區,90,84423,151.71
13845,2023-02-11,桃園市,蘆竹區,127,84333,158.86
14217,2023-02-10,桃園市,蘆竹區,122,84206,169.14
14591,2023-02-09,桃園市,蘆竹區,163,84084,179.57
14967,2023-02-08,桃園市,蘆竹區,167,83921,193.00
15346,2023-02-07,桃園市,蘆竹區,203,83754,200.29
15725,2023-02-06,桃園市,蘆竹區,190,83551,211.71
16107,2023-02-05,桃園市,蘆竹區,140,83361,225.14
16475,2023-02-04,桃園市,蘆竹區,199,83221,230.71
16854,2023-02-03,桃園市,蘆竹區,195,83022,235.57
17240,2023-02-02,桃園市,蘆竹區,257,82827,249.00
17623,2023-02-01,桃園市,蘆竹區,218,82570,241.57
18000,2023-01-31,桃園市,蘆竹區,283,82352,233.71
18385,2023-01-30,桃園市,蘆竹區,284,82069,209.71
18774,2023-01-29,桃園市,蘆竹區,179,81785,185.43
19150,2023-01-28,桃園市,蘆竹區,233,81606,169.71
19529,2023-01-27,桃園市,蘆竹區,289,81373,155.57
19907,2023-01-26,桃園市,蘆竹區,205,81084,140.57
20284,2023-01-25,桃園市,蘆竹區,163,80879,133.14
20649,2023-01-24,桃園市,蘆竹區,115,80716,126.29
21024,2023-01-23,桃園市,蘆竹區,114,80601,136.86
21391,2023-01-22,桃園市,蘆竹區,69,80487,143.57
21755,2023-01-21,桃園市,蘆竹區,134,80418,151.71
22127,2023-01-20,桃園市,蘆竹區,184,80284,155.71
22494,2023-01-19,桃園市,蘆竹區,153,80100,159.29
22865,2023-01-18,桃園市,蘆竹區,115,79947,166.14
23237,2023-01-17,桃園市,蘆竹區,189,79832,181.14
23601,2023-01-16,桃園市,蘆竹區,161,79643,183.86
23977,2023-01-15,桃園市,蘆竹區,126,79482,193.57
24344,2023-01-14,桃園市,蘆竹區,162,79356,195.43
24712,2023-01-13,桃園市,蘆竹區,209,79194,201.14
25080,2023-01-12,桃園市,蘆竹區,201,78985,204.00
25455,2023-01-11,桃園市,蘆竹區,220,78784,215.14
25831,2023-01-10,桃園市,蘆竹區,208,78564,223.00
26203,2023-01-09,桃園市,蘆竹區,229,78356,232.86
26582,2023-01-08,桃園市,蘆竹區,139,78127,235.14
26939,2023-01-07,桃園市,蘆竹區,202,77988,237.57
27310,2023-01-06,桃園市,蘆竹區,229,77786,241.71
27686,2023-01-05,桃園市,蘆竹區,279,77557,238.57
28066,2023-01-04,桃園市,蘆竹區,275,77278,231.14
28447,2023-01-03,桃園市,蘆竹區,277,77003,230.00
28829,2023-01-02,桃園市,蘆竹區,245,76726,222.86
29200,2023-01-01,桃園市,蘆竹區,156,76481,221.43
29562,2022-12-31,桃園市,蘆竹區,231,76325,219.57
29928,2022-12-30,桃園市,蘆竹區,207,76094,209.86
30300,2022-12-29,桃園市,蘆竹區,227,75887,207.57
30673,2022-12-28,桃園市,蘆竹區,267,75660,202.86
31043,2022-12-27,桃園市,蘆竹區,227,75393,189.00
31420,2022-12-26,桃園市,蘆竹區,235,75166,182.29
31792,2022-12-25,桃園市,蘆竹區,143,74931,169.57
32146,2022-12-24,桃園市,蘆竹區,163,74788,162.57
32506,2022-12-23,桃園市,蘆竹區,191,74625,159.29
32870,2022-12-22,桃園市,蘆竹區,194,74434,150.57
33237,2022-12-21,桃園市,蘆竹區,170,74240,139.29
33607,2022-12-20,桃園市,蘆竹區,180,74070,134.00
33970,2022-12-19,桃園市,蘆竹區,146,73890,129.14
34341,2022-12-18,桃園市,蘆竹區,94,73744,129.57
34689,2022-12-17,桃園市,蘆竹區,140,73650,128.57
35049,2022-12-16,桃園市,蘆竹區,130,73510,123.86
35414,2022-12-15,桃園市,蘆竹區,115,73380,119.00
35785,2022-12-14,桃園市,蘆竹區,133,73265,120.00
36144,2022-12-13,桃園市,蘆竹區,146,73132,120.14
36518,2022-12-12,桃園市,蘆竹區,149,72986,116.57
36890,2022-12-11,桃園市,蘆竹區,87,72837,112.29
37241,2022-12-10,桃園市,蘆竹區,107,72750,111.14
37610,2022-12-09,桃園市,蘆竹區,96,72643,108.14
37975,2022-12-08,桃園市,蘆竹區,122,72547,112.43
38348,2022-12-07,桃園市,蘆竹區,134,72425,112.00
38720,2022-12-06,桃園市,蘆竹區,121,72291,110.00
39091,2022-12-05,桃園市,蘆竹區,119,72170,112.00
39469,2022-12-04,桃園市,蘆竹區,79,72051,116.14
39835,2022-12-03,桃園市,蘆竹區,86,71972,117.14
40204,2022-12-02,桃園市,蘆竹區,126,71886,119.71
40574,2022-12-01,桃園市,蘆竹區,119,71760,117.57
40943,2022-11-30,桃園市,蘆竹區,120,71641,119.71
41314,2022-11-29,桃園市,蘆竹區,135,71521,122.57
41694,2022-11-28,桃園市,蘆竹區,148,71386,125.71
42072,2022-11-27,桃園市,蘆竹區,86,71238,131.57
42433,2022-11-26,桃園市,蘆竹區,104,71152,133.43
42789,2022-11-25,桃園市,蘆竹區,111,71048,139.43
43160,2022-11-24,桃園市,蘆竹區,134,70937,144.57
43530,2022-11-23,桃園市,蘆竹區,140,70803,145.29
43902,2022-11-22,桃園市,蘆竹區,157,70663,149.00
44275,2022-11-21,桃園市,蘆竹區,189,70506,151.29
44658,2022-11-20,桃園市,蘆竹區,99,70317,141.14
45021,2022-11-19,桃園市,蘆竹區,146,70218,149.00
45395,2022-11-18,桃園市,蘆竹區,147,70072,149.57
45767,2022-11-17,桃園市,蘆竹區,139,69925,150.14
46140,2022-11-16,桃園市,蘆竹區,166,69786,154.71
46520,2022-11-15,桃園市,蘆竹區,173,69620,158.71
46901,2022-11-14,桃園市,蘆竹區,118,69447,157.57
47282,2022-11-13,桃園市,蘆竹區,154,69329,169.57
47652,2022-11-12,桃園市,蘆竹區,150,69175,165.14
48029,2022-11-11,桃園市,蘆竹區,151,69025,171.43
48408,2022-11-10,桃園市,蘆竹區,171,68874,175.14
48791,2022-11-09,桃園市,蘆竹區,194,68703,181.29
49174,2022-11-08,桃園市,蘆竹區,165,68509,185.00
49559,2022-11-07,桃園市,蘆竹區,202,68344,192.86
49944,2022-11-06,桃園市,蘆竹區,123,68142,193.86
50313,2022-11-05,桃園市,蘆竹區,194,68019,201.00
50688,2022-11-04,桃園市,蘆竹區,177,67825,203.00
51074,2022-11-03,桃園市,蘆竹區,214,67648,213.00
51454,2022-11-02,桃園市,蘆竹區,220,67434,224.00
51840,2022-11-01,桃園市,蘆竹區,220,67214,231.71
52225,2022-10-31,桃園市,蘆竹區,209,66994,239.57
52608,2022-10-30,桃園市,蘆竹區,173,66785,249.86
52987,2022-10-29,桃園市,蘆竹區,208,66612,257.14
53366,2022-10-28,桃園市,蘆竹區,247,66404,267.29
53753,2022-10-27,桃園市,蘆竹區,291,66157,275.71
54140,2022-10-26,桃園市,蘆竹區,274,65866,276.71
54524,2022-10-25,桃園市,蘆竹區,275,65592,283.00
54913,2022-10-24,桃園市,蘆竹區,281,65317,295.57
55303,2022-10-23,桃園市,蘆竹區,224,65036,301.14
55680,2022-10-22,桃園市,蘆竹區,279,64812,302.29
56065,2022-10-21,桃園市,蘆竹區,306,64533,303.14
56455,2022-10-20,桃園市,蘆竹區,298,64227,306.86
56840,2022-10-19,桃園市,蘆竹區,318,63929,315.29
57227,2022-10-18,桃園市,蘆竹區,363,63611,331.71
57617,2022-10-17,桃園市,蘆竹區,320,63248,334.00
58007,2022-10-16,桃園市,蘆竹區,232,62928,330.71
58391,2022-10-15,桃園市,蘆竹區,285,62696,331.43
58776,2022-10-14,桃園市,蘆竹區,332,62411,338.86
59166,2022-10-13,桃園市,蘆竹區,357,62079,338.00
59557,2022-10-12,桃園市,蘆竹區,433,61722,341.00
59946,2022-10-11,桃園市,蘆竹區,379,61289,326.86
60338,2022-10-10,桃園市,蘆竹區,297,60910,331.14
60722,2022-10-09,桃園市,蘆竹區,237,60613,345.86
61109,2022-10-08,桃園市,蘆竹區,337,60376,348.14
61498,2022-10-07,桃園市,蘆竹區,326,60039,349.57
61885,2022-10-06,桃園市,蘆竹區,378,59713,350.14
62276,2022-10-05,桃園市,蘆竹區,334,59335,346.14
62663,2022-10-04,桃園市,蘆竹區,409,59001,348.86
63051,2022-10-03,桃園市,蘆竹區,400,58592,351.57
63442,2022-10-02,桃園市,蘆竹區,253,58192,344.86
63824,2022-10-01,桃園市,蘆竹區,347,57939,343.43
64210,2022-09-30,桃園市,蘆竹區,330,57592,347.29
64594,2022-09-29,桃園市,蘆竹區,350,57262,350.00
64982,2022-09-28,桃園市,蘆竹區,353,56912,351.71
65370,2022-09-27,桃園市,蘆竹區,428,56559,357.43
65757,2022-09-26,桃園市,蘆竹區,353,56131,355.71
66146,2022-09-25,桃園市,蘆竹區,243,55778,358.86
66529,2022-09-24,桃園市,蘆竹區,374,55535,365.71
66912,2022-09-23,桃園市,蘆竹區,349,55161,357.57
67301,2022-09-22,桃園市,蘆竹區,362,54812,358.14
67688,2022-09-21,桃園市,蘆竹區,393,54450,356.43
68077,2022-09-20,桃園市,蘆竹區,416,54057,360.14
68467,2022-09-19,桃園市,蘆竹區,375,53641,373.14
68858,2022-09-18,桃園市,蘆竹區,291,53266,379.71
69240,2022-09-17,桃園市,蘆竹區,317,52975,372.29
69628,2022-09-16,桃園市,蘆竹區,353,52658,371.29
70013,2022-09-15,桃園市,蘆竹區,350,52305,366.57
70400,2022-09-14,桃園市,蘆竹區,419,51955,361.43
70785,2022-09-13,桃園市,蘆竹區,507,51536,349.71
71174,2022-09-12,桃園市,蘆竹區,421,51029,328.71
71564,2022-09-11,桃園市,蘆竹區,239,50608,317.86
71946,2022-09-10,桃園市,蘆竹區,310,50369,320.00
72328,2022-09-09,桃園市,蘆竹區,320,50059,320.86
72710,2022-09-08,桃園市,蘆竹區,314,49739,318.57
73097,2022-09-07,桃園市,蘆竹區,337,49425,320.29
73481,2022-09-06,桃園市,蘆竹區,360,49088,316.29
73867,2022-09-05,桃園市,蘆竹區,345,48728,311.00
74254,2022-09-04,桃園市,蘆竹區,254,48383,304.00
74636,2022-09-03,桃園市,蘆竹區,316,48129,300.14
75023,2022-09-02,桃園市,蘆竹區,304,47813,288.00
75409,2022-09-01,桃園市,蘆竹區,326,47509,280.00
75798,2022-08-31,桃園市,蘆竹區,309,47183,266.14
76185,2022-08-30,桃園市,蘆竹區,323,46874,259.14
76573,2022-08-29,桃園市,蘆竹區,296,46551,253.57
76963,2022-08-28,桃園市,蘆竹區,227,46255,252.57
77344,2022-08-27,桃園市,蘆竹區,231,46028,243.43
77731,2022-08-26,桃園市,蘆竹區,248,45797,240.29
78116,2022-08-25,桃園市,蘆竹區,229,45549,238.14
78502,2022-08-24,桃園市,蘆竹區,260,45320,236.00
78889,2022-08-23,桃園市,蘆竹區,284,45060,232.57
79272,2022-08-22,桃園市,蘆竹區,289,44776,231.71
79662,2022-08-21,桃園市,蘆竹區,163,44487,223.14
80037,2022-08-20,桃園市,蘆竹區,209,44324,223.14
80422,2022-08-19,桃園市,蘆竹區,233,44115,220.43
80806,2022-08-18,桃園市,蘆竹區,214,43882,216.86
81195,2022-08-17,桃園市,蘆竹區,236,43668,211.14
81580,2022-08-16,桃園市,蘆竹區,278,43432,210.00
81967,2022-08-15,桃園市,蘆竹區,229,43154,201.86
82354,2022-08-14,桃園市,蘆竹區,163,42925,195.14
82731,2022-08-13,桃園市,蘆竹區,190,42762,189.29
83110,2022-08-12,桃園市,蘆竹區,208,42572,188.86
83496,2022-08-11,桃園市,蘆竹區,174,42364,184.57
83882,2022-08-10,桃園市,蘆竹區,228,42190,184.29
84268,2022-08-09,桃園市,蘆竹區,221,41962,180.86
84650,2022-08-08,桃園市,蘆竹區,182,41741,183.86
85035,2022-08-07,桃園市,蘆竹區,122,41559,180.86
85408,2022-08-06,桃園市,蘆竹區,187,41437,184.43
85787,2022-08-05,桃園市,蘆竹區,178,41250,186.14
86174,2022-08-04,桃園市,蘆竹區,172,41072,189.86
86559,2022-08-03,桃園市,蘆竹區,204,40900,195.00
86942,2022-08-02,桃園市,蘆竹區,242,40696,194.86
87327,2022-08-01,桃園市,蘆竹區,161,40454,193.29
87715,2022-07-31,桃園市,蘆竹區,147,40293,196.86
88091,2022-07-30,桃園市,蘆竹區,199,40146,197.86
88470,2022-07-29,桃園市,蘆竹區,204,39947,193.14
88854,2022-07-28,桃園市,蘆竹區,208,39743,190.71
89240,2022-07-27,桃園市,蘆竹區,203,39535,186.86
89631,2022-07-26,桃園市,蘆竹區,231,39332,190.14
90018,2022-07-25,桃園市,蘆竹區,186,39101,191.29
90402,2022-07-24,桃園市,蘆竹區,154,38915,190.57
90780,2022-07-23,桃園市,蘆竹區,166,38761,189.86
91164,2022-07-22,桃園市,蘆竹區,187,38595,194.00
91550,2022-07-21,桃園市,蘆竹區,181,38408,196.71
91934,2022-07-20,桃園市,蘆竹區,226,38227,202.00
92321,2022-07-19,桃園市,蘆竹區,239,38001,201.29
92709,2022-07-18,桃園市,蘆竹區,181,37762,202.86
93098,2022-07-17,桃園市,蘆竹區,149,37581,214.43
93476,2022-07-16,桃園市,蘆竹區,195,37432,209.43
93863,2022-07-15,桃園市,蘆竹區,206,37237,218.86
94250,2022-07-14,桃園市,蘆竹區,218,37031,224.71
94638,2022-07-13,桃園市,蘆竹區,221,36813,231.00
