UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3991,2023-06-14,桃園市,觀音區,40-44,3186
3992,2023-06-14,桃園市,觀音區,60-64,1431
3993,2023-06-14,桃園市,觀音區,1,319
3994,2023-06-14,桃園市,觀音區,45-49,2375
3995,2023-03-20,桃園市,觀音區,15-19,1994
3996,2023-03-19,桃園市,觀音區,20-24,2653
3997,2023-03-19,桃園市,觀音區,25-29,3716
3998,2023-03-19,桃園市,觀音區,30-34,3683
3999,2023-03-19,桃園市,觀音區,35-39,3373
4000,2023-03-19,桃園市,觀音區,55-59,1723
4001,2023-03-19,桃園市,觀音區,70+,1622
4002,2023-03-19,桃園市,觀音區,5-9,1953
4003,2023-03-19,桃園市,觀音區,50-54,1924
4004,2023-03-19,桃園市,觀音區,10-14,1717
4005,2023-03-18,桃園市,觀音區,65-69,900
4006,2023-03-17,桃園市,觀音區,3,338
4007,2023-03-14,桃園市,觀音區,4,366
4008,2023-03-14,桃園市,觀音區,2,321
4009,2023-03-12,桃園市,觀音區,0,246
