UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1358,2023-03-01,桃園市,觀音區,1,40,0.14
2176,2023-02-15,桃園市,觀音區,1,39,0.29
2239,2023-02-14,桃園市,觀音區,1,38,0.14
2704,2023-02-07,桃園市,觀音區,2,37,0.29
3258,2023-01-29,桃園市,觀音區,1,35,0.14
4109,2023-01-12,桃園市,觀音區,1,34,0.29
4406,2023-01-06,桃園市,觀音區,1,33,0.14
4942,2022-12-26,桃園市,觀音區,1,32,0.29
5157,2022-12-20,桃園市,觀音區,1,31,0.14
5428,2022-12-13,桃園市,觀音區,1,30,0.14
6635,2022-11-14,桃園市,觀音區,1,29,0.14
8159,2022-10-21,桃園市,觀音區,1,28,0.14
9191,2022-10-06,桃園市,觀音區,1,27,0.29
9594,2022-09-30,桃園市,觀音區,1,26,0.29
9838,2022-09-26,桃園市,觀音區,1,25,0.29
10005,2022-09-23,桃園市,觀音區,1,24,0.14
12385,2022-07-31,桃園市,觀音區,1,23,0.29
12483,2022-07-29,桃園市,觀音區,1,22,0.14
13253,2022-07-16,桃園市,觀音區,1,21,0.14
13890,2022-07-07,桃園市,觀音區,1,20,0.43
14329,2022-07-02,桃園市,觀音區,1,19,0.29
14428,2022-07-01,桃園市,觀音區,1,18,0.14
15555,2022-06-20,桃園市,觀音區,2,17,0.43
16167,2022-06-15,桃園市,觀音區,1,15,0.14
17399,2022-06-05,桃園市,觀音區,2,14,1.14
17756,2022-06-02,桃園市,觀音區,1,12,1.00
17882,2022-06-01,桃園市,觀音區,2,11,1.29
18009,2022-05-31,桃園市,觀音區,1,9,1.00
18135,2022-05-30,桃園市,觀音區,2,8,1.14
18256,2022-05-29,桃園市,觀音區,1,6,0.86
18555,2022-05-26,桃園市,觀音區,3,5,0.71
18742,2022-05-24,桃園市,觀音區,2,2,0.29
