UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
618,2023-03-16,桃園市,龍潭區,1,86,0.43
699,2023-03-14,桃園市,龍潭區,1,85,0.43
743,2023-03-13,桃園市,龍潭區,1,84,0.29
973,2023-03-08,桃園市,龍潭區,1,83,0.29
1114,2023-03-05,桃園市,龍潭區,1,82,0.14
1498,2023-02-26,桃園市,龍潭區,1,81,0.29
1613,2023-02-24,桃園市,龍潭區,1,80,0.29
1959,2023-02-18,桃園市,龍潭區,1,79,0.43
2138,2023-02-15,桃園市,龍潭區,1,78,0.29
2277,2023-02-13,桃園市,龍潭區,1,77,0.29
2676,2023-02-07,桃園市,龍潭區,1,76,0.29
2858,2023-02-04,桃園市,龍潭區,1,75,0.43
3111,2023-01-31,桃園市,龍潭區,1,74,0.86
3164,2023-01-30,桃園市,龍潭區,1,73,0.71
3285,2023-01-28,桃園市,龍潭區,1,72,0.86
3332,2023-01-27,桃園市,龍潭區,1,71,0.86
3379,2023-01-26,桃園市,龍潭區,1,70,0.71
3436,2023-01-25,桃園市,龍潭區,1,69,0.57
3544,2023-01-23,桃園市,龍潭區,1,68,0.43
3600,2023-01-22,桃園市,龍潭區,1,67,0.29
3648,2023-01-21,桃園市,龍潭區,1,66,0.14
3991,2023-01-14,桃園市,龍潭區,1,65,0.43
4089,2023-01-12,桃園市,龍潭區,1,64,0.57
4181,2023-01-10,桃園市,龍潭區,1,63,0.57
4332,2023-01-07,桃園市,龍潭區,1,62,0.43
4385,2023-01-06,桃園市,龍潭區,1,61,0.29
4473,2023-01-04,桃園市,龍潭區,1,60,0.29
4792,2022-12-29,桃園市,龍潭區,1,59,0.14
5702,2022-12-05,桃園市,龍潭區,1,58,0.14
6465,2022-11-17,桃園市,龍潭區,1,57,0.43
6603,2022-11-14,桃園市,龍潭區,1,56,0.29
6784,2022-11-11,桃園市,龍潭區,1,55,0.14
7199,2022-11-04,桃園市,龍潭區,1,54,0.57
7257,2022-11-03,桃園市,龍潭區,1,53,0.43
7312,2022-11-02,桃園市,龍潭區,1,52,0.29
7372,2022-11-01,桃園市,龍潭區,1,51,0.14
8695,2022-10-13,桃園市,龍潭區,1,50,0.57
8762,2022-10-12,桃園市,龍潭區,1,49,0.43
8973,2022-10-09,桃園市,龍潭區,1,48,0.43
9093,2022-10-07,桃園市,龍潭區,1,47,0.29
9371,2022-10-03,桃園市,龍潭區,1,46,0.14
9808,2022-09-26,桃園市,龍潭區,1,45,0.14
10531,2022-09-13,桃園市,龍潭區,1,44,0.57
10584,2022-09-12,桃園市,龍潭區,1,43,0.43
10684,2022-09-10,桃園市,龍潭區,1,42,0.29
10783,2022-09-08,桃園市,龍潭區,1,41,0.14
11722,2022-08-15,桃園市,龍潭區,1,40,0.29
11951,2022-08-09,桃園市,龍潭區,1,39,0.43
12156,2022-08-04,桃園市,龍潭區,1,38,0.57
12204,2022-08-03,桃園市,龍潭區,1,37,0.43
12406,2022-07-30,桃園市,龍潭區,1,36,0.29
12453,2022-07-29,桃園市,龍潭區,1,35,0.14
13703,2022-07-09,桃園市,龍潭區,1,34,0.43
13926,2022-07-06,桃園市,龍潭區,1,33,0.29
14198,2022-07-03,桃園市,龍潭區,1,32,0.29
14568,2022-06-29,桃園市,龍潭區,1,31,0.29
14967,2022-06-25,桃園市,龍潭區,1,30,0.57
15376,2022-06-21,桃園市,龍潭區,1,29,0.57
15603,2022-06-19,桃園市,龍潭區,2,28,0.71
15717,2022-06-18,桃園市,龍潭區,1,26,0.57
16226,2022-06-14,桃園市,龍潭區,1,25,1.14
16356,2022-06-13,桃園市,龍潭區,1,24,1.00
16476,2022-06-12,桃園市,龍潭區,1,23,0.86
16599,2022-06-11,桃園市,龍潭區,1,22,0.86
16729,2022-06-10,桃園市,龍潭區,2,21,0.86
16839,2022-06-09,桃園市,龍潭區,1,19,0.57
16958,2022-06-08,桃園市,龍潭區,1,18,0.43
17342,2022-06-05,桃園市,龍潭區,1,17,0.57
17451,2022-06-04,桃園市,龍潭區,1,16,0.43
18067,2022-05-30,桃園市,龍潭區,2,15,1.00
18301,2022-05-28,桃園市,龍潭區,1,13,0.71
18407,2022-05-27,桃園市,龍潭區,2,12,0.71
18604,2022-05-25,桃園市,龍潭區,1,10,0.57
18697,2022-05-24,桃園市,龍潭區,1,9,0.43
18965,2022-05-21,桃園市,龍潭區,1,8,0.43
19048,2022-05-20,桃園市,龍潭區,1,7,0.29
19379,2022-05-15,桃園市,龍潭區,1,6,0.43
19488,2022-05-13,桃園市,龍潭區,2,5,0.29
19834,2022-04-28,桃園市,龍潭區,1,3,0.14
20147,2021-07-06,桃園市,龍潭區,1,2,0.14
20630,2021-06-03,桃園市,龍潭區,1,1,0.14
