UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
144,2023-06-14,桃園市,龍潭區,13,57291,1.86
295,2023-05-16,桃園市,龍潭區,3,57278,0.43
681,2023-03-20,桃園市,龍潭區,13,57275,40.43
971,2023-03-19,桃園市,龍潭區,30,57262,45.43
1300,2023-03-18,桃園市,龍潭區,46,57232,47.71
1639,2023-03-17,桃園市,龍潭區,40,57186,49.14
1992,2023-03-16,桃園市,龍潭區,46,57146,52.14
2344,2023-03-15,桃園市,龍潭區,57,57100,56.29
2695,2023-03-14,桃園市,龍潭區,51,57043,58.14
3053,2023-03-13,桃園市,龍潭區,48,56992,61.14
3411,2023-03-12,桃園市,龍潭區,46,56944,63.57
3757,2023-03-11,桃園市,龍潭區,56,56898,62.57
4109,2023-03-10,桃園市,龍潭區,61,56842,66.14
4465,2023-03-09,桃園市,龍潭區,75,56781,65.71
4824,2023-03-08,桃園市,龍潭區,70,56706,69.00
5177,2023-03-07,桃園市,龍潭區,72,56636,70.86
5537,2023-03-06,桃園市,龍潭區,65,56564,67.57
5901,2023-03-05,桃園市,龍潭區,39,56499,65.86
6240,2023-03-04,桃園市,龍潭區,81,56460,68.43
6593,2023-03-03,桃園市,龍潭區,58,56379,68.29
6952,2023-03-02,桃園市,龍潭區,98,56321,70.57
7316,2023-03-01,桃園市,龍潭區,83,56223,69.71
7687,2023-02-28,桃園市,龍潭區,49,56140,69.43
8050,2023-02-27,桃園市,龍潭區,53,56091,77.14
8409,2023-02-26,桃園市,龍潭區,57,56038,84.43
8753,2023-02-25,桃園市,龍潭區,80,55981,89.86
9123,2023-02-24,桃園市,龍潭區,74,55901,93.71
9484,2023-02-23,桃園市,龍潭區,92,55827,93.86
9855,2023-02-22,桃園市,龍潭區,81,55735,97.14
10229,2023-02-21,桃園市,龍潭區,103,55654,103.86
10599,2023-02-20,桃園市,龍潭區,104,55551,106.00
10978,2023-02-19,桃園市,龍潭區,95,55447,105.43
11337,2023-02-18,桃園市,龍潭區,107,55352,107.43
11703,2023-02-17,桃園市,龍潭區,75,55245,106.86
12076,2023-02-16,桃園市,龍潭區,115,55170,111.71
12451,2023-02-15,桃園市,龍潭區,128,55055,112.00
12824,2023-02-14,桃園市,龍潭區,118,54927,109.29
13196,2023-02-13,桃園市,龍潭區,100,54809,105.00
13574,2023-02-12,桃園市,龍潭區,109,54709,106.14
13932,2023-02-11,桃園市,龍潭區,103,54600,108.57
14304,2023-02-10,桃園市,龍潭區,109,54497,111.86
14677,2023-02-09,桃園市,龍潭區,117,54388,114.71
15054,2023-02-08,桃園市,龍潭區,109,54271,119.14
15433,2023-02-07,桃園市,龍潭區,88,54162,126.29
15812,2023-02-06,桃園市,龍潭區,108,54074,142.86
16193,2023-02-05,桃園市,龍潭區,126,53966,163.57
