UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3953,2023-06-14,桃園市,龜山區,70+,4789
3954,2023-06-14,桃園市,龜山區,30-34,11204
3955,2023-06-14,桃園市,龜山區,40-44,10135
3956,2023-06-14,桃園市,龜山區,15-19,5260
3957,2023-06-14,桃園市,龜山區,35-39,10435
3958,2023-06-14,桃園市,龜山區,45-49,7177
3959,2023-06-14,桃園市,龜山區,50-54,5345
3960,2023-06-14,桃園市,龜山區,5-9,5566
3961,2023-05-16,桃園市,龜山區,55-59,4694
3962,2023-05-16,桃園市,龜山區,20-24,8690
3963,2023-03-20,桃園市,龜山區,4,972
3964,2023-03-20,桃園市,龜山區,60-64,3888
3965,2023-03-19,桃園市,龜山區,25-29,11311
3966,2023-03-19,桃園市,龜山區,10-14,4599
3967,2023-03-19,桃園市,龜山區,65-69,3120
3968,2023-03-18,桃園市,龜山區,1,919
3969,2023-03-17,桃園市,龜山區,2,909
3970,2023-03-17,桃園市,龜山區,0,662
3971,2023-03-17,桃園市,龜山區,3,876
