UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
60,2023-04-25,桃園市,龜山區,1,121,0.14
315,2023-03-25,桃園市,龜山區,1,120,0.29
421,2023-03-21,桃園市,龜山區,1,119,0.29
529,2023-03-18,桃園市,龜山區,1,118,0.43
696,2023-03-14,桃園市,龜山區,1,117,0.29
741,2023-03-13,桃園市,龜山區,1,116,0.14
1110,2023-03-05,桃園市,龜山區,1,115,0.29
1436,2023-02-27,桃園市,龜山區,1,114,0.29
1610,2023-02-24,桃園市,龜山區,1,113,0.29
1957,2023-02-18,桃園市,龜山區,1,112,0.43
2015,2023-02-17,桃園市,龜山區,1,111,0.57
2205,2023-02-14,桃園市,龜山區,1,110,0.57
2387,2023-02-11,桃園市,龜山區,2,109,1.00
2457,2023-02-10,桃園市,龜山區,1,107,0.71
2673,2023-02-07,桃園市,龜山區,1,106,0.71
2732,2023-02-06,桃園市,龜山區,1,105,0.86
2795,2023-02-05,桃園市,龜山區,2,104,0.71
3045,2023-02-01,桃園市,龜山區,1,102,0.43
3109,2023-01-31,桃園市,龜山區,2,101,0.29
3986,2023-01-14,桃園市,龜山區,1,99,0.29
4178,2023-01-10,桃園市,龜山區,1,98,0.29
4429,2023-01-05,桃園市,龜山區,1,97,0.71
4527,2023-01-03,桃園市,龜山區,1,96,0.57
4645,2023-01-01,桃園市,龜山區,1,95,0.71
4693,2022-12-31,桃園市,龜山區,1,94,0.57
4751,2022-12-30,桃園市,龜山區,1,93,0.43
4865,2022-12-27,桃園市,龜山區,1,92,0.29
4915,2022-12-26,桃園市,龜山區,1,91,0.29
5130,2022-12-20,桃園市,龜山區,1,90,0.29
5245,2022-12-17,桃園市,龜山區,1,89,0.14
6080,2022-11-25,桃園市,龜山區,1,88,0.29
6311,2022-11-20,桃園市,龜山區,1,87,0.14
6962,2022-11-08,桃園市,龜山區,1,86,0.29
7083,2022-11-06,桃園市,龜山區,1,85,0.43
7370,2022-11-01,桃園市,龜山區,2,84,0.29
7909,2022-10-24,桃園市,龜山區,2,82,0.43
8198,2022-10-20,桃園市,龜山區,1,80,0.57
8411,2022-10-17,桃園市,龜山區,1,79,0.43
8486,2022-10-16,桃園市,龜山區,1,78,0.43
8613,2022-10-14,桃園市,龜山區,1,77,0.29
8899,2022-10-10,桃園市,龜山區,1,76,0.14
9690,2022-09-28,桃園市,龜山區,1,75,0.71
9805,2022-09-26,桃園市,龜山區,1,74,0.71
9860,2022-09-25,桃園市,龜山區,1,73,0.57
9972,2022-09-23,桃園市,龜山區,1,72,0.43
10035,2022-09-22,桃園市,龜山區,1,71,0.29
10105,2022-09-21,桃園市,龜山區,1,70,0.14
10581,2022-09-12,桃園市,龜山區,1,69,0.43
10737,2022-09-09,桃園市,龜山區,1,68,0.29
10833,2022-09-07,桃園市,龜山區,1,67,0.14
11949,2022-08-09,桃園市,龜山區,2,66,0.71
11991,2022-08-08,桃園市,龜山區,2,64,0.43
12202,2022-08-03,桃園市,龜山區,1,62,0.57
12301,2022-08-01,桃園市,龜山區,2,61,0.43
12449,2022-07-29,桃園市,龜山區,1,59,0.14
13839,2022-07-07,桃園市,龜山區,1,58,0.57
13922,2022-07-06,桃園市,龜山區,1,57,0.43
14095,2022-07-04,桃園市,龜山區,1,56,0.43
14276,2022-07-02,桃園市,龜山區,1,55,0.43
14562,2022-06-29,桃園市,龜山區,1,54,0.71
14861,2022-06-26,桃園市,龜山區,1,53,0.57
14963,2022-06-25,桃園市,龜山區,2,52,0.71
15051,2022-06-24,桃園市,龜山區,1,50,0.57
15598,2022-06-19,桃園市,龜山區,2,49,1.43
15712,2022-06-18,桃園市,龜山區,1,47,1.29
15833,2022-06-17,桃園市,龜山區,3,46,1.14
16086,2022-06-15,桃園市,龜山區,3,43,0.86
16222,2022-06-14,桃園市,龜山區,1,40,0.57
16471,2022-06-12,桃園市,龜山區,1,39,0.86
16724,2022-06-10,桃園市,龜山區,1,38,0.86
16953,2022-06-08,桃園市,龜山區,1,37,0.86
17085,2022-06-07,桃園市,龜山區,1,36,1.00
17214,2022-06-06,桃園市,龜山區,2,35,1.14
17446,2022-06-04,桃園市,龜山區,1,33,1.29
17702,2022-06-02,桃園市,龜山區,1,32,1.71
17802,2022-06-01,桃園市,龜山區,2,31,2.00
17935,2022-05-31,桃園市,龜山區,2,29,1.86
18063,2022-05-30,桃園市,龜山區,2,27,1.71
18191,2022-05-29,桃園市,龜山區,1,25,1.71
18297,2022-05-28,桃園市,龜山區,2,24,1.86
18402,2022-05-27,桃園市,龜山區,2,22,1.86
18498,2022-05-26,桃園市,龜山區,3,20,1.71
18601,2022-05-25,桃園市,龜山區,1,17,1.43
18694,2022-05-24,桃園市,龜山區,1,16,1.29
18780,2022-05-23,桃園市,龜山區,2,15,1.14
18873,2022-05-22,桃園市,龜山區,2,13,1.00
18960,2022-05-21,桃園市,龜山區,2,11,0.71
19044,2022-05-20,桃園市,龜山區,1,9,0.43
19117,2022-05-19,桃園市,龜山區,1,8,0.29
19319,2022-05-16,桃園市,龜山區,1,7,0.29
19568,2022-05-11,桃園市,龜山區,1,6,0.14
20063,2021-07-16,桃園市,龜山區,1,5,0.14
20114,2021-07-09,桃園市,龜山區,1,4,0.14
20305,2021-06-21,桃園市,龜山區,1,3,0.14
20520,2021-06-08,桃園市,龜山區,1,2,0.14
20708,2021-05-30,桃園市,龜山區,1,1,0.14
