UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6290,2023-03-15,澎湖縣,望安鄉,45-49,31
6291,2023-03-13,澎湖縣,望安鄉,15-19,16
6292,2023-03-12,澎湖縣,望安鄉,25-29,28
6293,2023-03-10,澎湖縣,望安鄉,70+,48
6294,2023-03-08,澎湖縣,望安鄉,30-34,25
6295,2023-03-04,澎湖縣,望安鄉,10-14,7
6296,2023-03-04,澎湖縣,望安鄉,35-39,24
6297,2023-02-24,澎湖縣,望安鄉,65-69,23
6298,2023-02-20,澎湖縣,望安鄉,60-64,30
6299,2023-02-20,澎湖縣,望安鄉,55-59,23
6300,2023-02-14,澎湖縣,望安鄉,50-54,24
6301,2023-02-06,澎湖縣,望安鄉,40-44,25
6302,2023-01-14,澎湖縣,望安鄉,20-24,13
6303,2022-10-25,澎湖縣,望安鄉,2,1
6304,2022-10-05,澎湖縣,望安鄉,4,3
6305,2022-08-14,澎湖縣,望安鄉,0,5
6306,2022-07-17,澎湖縣,望安鄉,5-9,5
6307,2022-05-26,澎湖縣,望安鄉,3,1
