UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
2592,2023-03-15,澎湖縣,望安鄉,1,332,0.71
3308,2023-03-13,澎湖縣,望安鄉,2,331,0.71
3653,2023-03-12,澎湖縣,望安鄉,1,329,0.43
4361,2023-03-10,澎湖縣,望安鄉,1,328,0.71
5074,2023-03-08,澎湖縣,望安鄉,1,327,0.57
6489,2023-03-04,澎湖縣,望安鄉,3,326,0.57
8650,2023-02-26,澎湖縣,望安鄉,1,323,1.29
9381,2023-02-24,澎湖縣,望安鄉,3,322,1.29
10125,2023-02-22,澎湖縣,望安鄉,1,319,1.14
10875,2023-02-20,澎湖縣,望安鄉,4,318,1.29
11600,2023-02-18,澎湖縣,望安鄉,1,314,1.14
11971,2023-02-17,澎湖縣,望安鄉,2,313,1.00
12719,2023-02-15,澎湖縣,望安鄉,1,311,1.71
13092,2023-02-14,澎湖縣,望安鄉,1,310,1.71
13471,2023-02-13,澎湖縣,望安鄉,1,309,1.57
13828,2023-02-12,澎湖縣,望安鄉,2,308,2.00
14573,2023-02-10,澎湖縣,望安鄉,5,306,1.86
14949,2023-02-09,澎湖縣,望安鄉,2,301,1.29
15328,2023-02-08,澎湖縣,望安鄉,1,299,1.43
16090,2023-02-06,澎湖縣,望安鄉,4,298,1.43
16837,2023-02-04,澎湖縣,望安鄉,1,294,1.29
17222,2023-02-03,澎湖縣,望安鄉,1,293,1.14
17606,2023-02-02,澎湖縣,望安鄉,3,292,1.29
17983,2023-02-01,澎湖縣,望安鄉,1,289,0.86
18756,2023-01-30,澎湖縣,望安鄉,2,288,0.71
19133,2023-01-29,澎湖縣,望安鄉,1,286,0.43
19890,2023-01-27,澎湖縣,望安鄉,2,285,0.43
21738,2023-01-22,澎湖縣,望安鄉,1,283,0.14
24694,2023-01-14,澎湖縣,望安鄉,2,282,0.57
25062,2023-01-13,澎湖縣,望安鄉,1,280,0.29
25437,2023-01-12,澎湖縣,望安鄉,1,279,0.29
27669,2023-01-06,澎湖縣,望安鄉,1,278,0.29
28812,2023-01-03,澎湖縣,望安鄉,1,277,0.29
30655,2022-12-29,澎湖縣,望安鄉,1,276,0.14
36501,2022-12-13,澎湖縣,望安鄉,2,275,0.43
38703,2022-12-07,澎湖縣,望安鄉,1,273,0.43
39817,2022-12-04,澎湖縣,望安鄉,1,272,0.29
40926,2022-12-01,澎湖縣,望安鄉,1,271,0.14
45750,2022-11-18,澎湖縣,望安鄉,1,270,0.29
47635,2022-11-13,澎湖縣,望安鄉,1,269,0.86
48391,2022-11-11,澎湖縣,望安鄉,1,268,0.86
48774,2022-11-10,澎湖縣,望安鄉,2,267,0.71
49157,2022-11-09,澎湖縣,望安鄉,1,265,0.43
49542,2022-11-08,澎湖縣,望安鄉,1,264,0.29
50295,2022-11-06,澎湖縣,望安鄉,1,263,0.14
53349,2022-10-29,澎湖縣,望安鄉,1,262,0.57
54122,2022-10-27,澎湖縣,望安鄉,1,261,0.43
54895,2022-10-25,澎湖縣,望安鄉,2,260,0.29
57600,2022-10-18,澎湖縣,望安鄉,1,258,0.57
59539,2022-10-13,澎湖縣,望安鄉,3,257,1.71
60319,2022-10-11,澎湖縣,望安鄉,4,254,1.57
61091,2022-10-09,澎湖縣,望安鄉,1,250,1.43
61480,2022-10-08,澎湖縣,望安鄉,4,249,1.57
62258,2022-10-06,澎湖縣,望安鄉,1,245,1.00
62646,2022-10-05,澎湖縣,望安鄉,1,244,1.00
63033,2022-10-04,澎湖縣,望安鄉,1,243,1.00
63423,2022-10-03,澎湖縣,望安鄉,2,242,0.86
63806,2022-10-02,澎湖縣,望安鄉,2,240,0.57
64964,2022-09-29,澎湖縣,望安鄉,1,238,0.29
65353,2022-09-28,澎湖縣,望安鄉,1,237,0.14
68059,2022-09-21,澎湖縣,望安鄉,1,236,1.29
68449,2022-09-20,澎湖縣,望安鄉,1,235,1.43
69223,2022-09-18,澎湖縣,望安鄉,3,234,1.57
69610,2022-09-17,澎湖縣,望安鄉,2,231,1.14
69996,2022-09-16,澎湖縣,望安鄉,2,229,0.86
70767,2022-09-14,澎湖縣,望安鄉,2,227,0.57
71156,2022-09-13,澎湖縣,望安鄉,1,225,0.29
71546,2022-09-12,澎湖縣,望安鄉,1,224,0.29
73850,2022-09-06,澎湖縣,望安鄉,1,223,0.29
75781,2022-09-01,澎湖縣,望安鄉,1,222,0.43
77327,2022-08-28,澎湖縣,望安鄉,1,221,0.43
77714,2022-08-27,澎湖縣,望安鄉,1,220,0.29
79644,2022-08-22,澎湖縣,望安鄉,1,219,0.57
80405,2022-08-20,澎湖縣,望安鄉,1,218,0.57
80789,2022-08-19,澎湖縣,望安鄉,1,217,0.86
81949,2022-08-16,澎湖縣,望安鄉,1,216,1.57
82713,2022-08-14,澎湖縣,望安鄉,1,215,2.14
83092,2022-08-13,澎湖縣,望安鄉,3,214,2.29
83478,2022-08-12,澎湖縣,望安鄉,3,211,2.14
83865,2022-08-11,澎湖縣,望安鄉,2,208,1.86
84250,2022-08-10,澎湖縣,望安鄉,1,206,1.86
84632,2022-08-09,澎湖縣,望安鄉,3,205,1.71
85017,2022-08-08,澎湖縣,望安鄉,2,202,1.57
85390,2022-08-07,澎湖縣,望安鄉,2,200,1.43
85769,2022-08-06,澎湖縣,望安鄉,2,198,1.14
86156,2022-08-05,澎湖縣,望安鄉,1,196,1.43
86540,2022-08-04,澎湖縣,望安鄉,2,195,1.71
87309,2022-08-02,澎湖縣,望安鄉,2,193,1.57
87698,2022-08-01,澎湖縣,望安鄉,1,191,1.57
88453,2022-07-30,澎湖縣,望安鄉,4,190,1.71
88836,2022-07-29,澎湖縣,望安鄉,3,186,1.57
89613,2022-07-27,澎湖縣,望安鄉,1,183,1.57
90000,2022-07-26,澎湖縣,望安鄉,2,182,2.43
90763,2022-07-24,澎湖縣,望安鄉,2,180,2.57
91146,2022-07-23,澎湖縣,望安鄉,3,178,2.57
91533,2022-07-22,澎湖縣,望安鄉,3,175,2.43
92303,2022-07-20,澎湖縣,望安鄉,7,172,2.71
92691,2022-07-19,澎湖縣,望安鄉,1,165,1.71
93080,2022-07-18,澎湖縣,望安鄉,2,164,1.71
93458,2022-07-17,澎湖縣,望安鄉,2,162,1.43
93845,2022-07-16,澎湖縣,望安鄉,2,160,1.14
94232,2022-07-15,澎湖縣,望安鄉,3,158,0.86
94620,2022-07-14,澎湖縣,望安鄉,2,155,0.71
95396,2022-07-12,澎湖縣,望安鄉,1,153,1.00
96946,2022-07-08,澎湖縣,望安鄉,2,152,3.00
97337,2022-07-07,澎湖縣,望安鄉,3,150,2.86
97726,2022-07-06,澎湖縣,望安鄉,1,147,2.86
98115,2022-07-05,澎湖縣,望安鄉,1,146,3.00
98504,2022-07-04,澎湖縣,望安鄉,2,145,3.43
98889,2022-07-03,澎湖縣,望安鄉,6,143,3.86
99277,2022-07-02,澎湖縣,望安鄉,6,137,3.71
99669,2022-07-01,澎湖縣,望安鄉,1,131,3.29
100061,2022-06-30,澎湖縣,望安鄉,3,130,4.00
100450,2022-06-29,澎湖縣,望安鄉,2,127,4.14
100841,2022-06-28,澎湖縣,望安鄉,4,125,4.57
101230,2022-06-27,澎湖縣,望安鄉,5,121,4.43
