UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6233,2023-03-20,澎湖縣,白沙鄉,60-64,110
6234,2023-03-20,澎湖縣,白沙鄉,20-24,125
6235,2023-03-20,澎湖縣,白沙鄉,45-49,117
6236,2023-03-20,澎湖縣,白沙鄉,65-69,97
6237,2023-03-19,澎湖縣,白沙鄉,40-44,108
6238,2023-03-19,澎湖縣,白沙鄉,30-34,106
6239,2023-03-15,澎湖縣,白沙鄉,15-19,96
6240,2023-03-15,澎湖縣,白沙鄉,25-29,120
6241,2023-03-14,澎湖縣,白沙鄉,55-59,96
6242,2023-03-12,澎湖縣,白沙鄉,50-54,114
6243,2023-03-10,澎湖縣,白沙鄉,70+,238
6244,2023-02-18,澎湖縣,白沙鄉,35-39,114
6245,2023-02-09,澎湖縣,白沙鄉,0,15
6246,2023-02-09,澎湖縣,白沙鄉,10-14,80
6247,2023-02-06,澎湖縣,白沙鄉,5-9,100
6248,2023-02-04,澎湖縣,白沙鄉,1,20
6249,2023-02-02,澎湖縣,白沙鄉,3,15
6250,2023-01-29,澎湖縣,白沙鄉,2,25
6251,2023-01-10,澎湖縣,白沙鄉,4,18
