UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
868,2023-03-20,澎湖縣,白沙鄉,4,1714,1.57
1196,2023-03-19,澎湖縣,白沙鄉,2,1710,1.14
2238,2023-03-16,澎湖縣,白沙鄉,1,1708,1.57
2590,2023-03-15,澎湖縣,白沙鄉,3,1707,1.43
2947,2023-03-14,澎湖縣,白沙鄉,1,1704,1.71
3306,2023-03-13,澎湖縣,白沙鄉,1,1703,2.00
3650,2023-03-12,澎湖縣,白沙鄉,1,1702,2.14
4006,2023-03-11,澎湖縣,白沙鄉,1,1701,2.29
4358,2023-03-10,澎湖縣,白沙鄉,3,1700,2.14
5071,2023-03-08,澎湖縣,白沙鄉,5,1697,2.29
5430,2023-03-07,澎湖縣,白沙鄉,3,1692,2.29
5795,2023-03-06,澎湖縣,白沙鄉,2,1689,2.14
6135,2023-03-05,澎湖縣,白沙鄉,2,1687,2.29
6846,2023-03-03,澎湖縣,白沙鄉,1,1685,2.43
7209,2023-03-02,澎湖縣,白沙鄉,3,1684,2.43
7580,2023-03-01,澎湖縣,白沙鄉,5,1681,2.00
7944,2023-02-28,澎湖縣,白沙鄉,2,1676,1.29
8305,2023-02-27,澎湖縣,白沙鄉,3,1674,1.00
8648,2023-02-26,澎湖縣,白沙鄉,1,1671,1.43
9018,2023-02-25,澎湖縣,白沙鄉,2,1670,1.86
9379,2023-02-24,澎湖縣,白沙鄉,1,1668,2.00
10871,2023-02-20,澎湖縣,白沙鄉,6,1667,2.43
11230,2023-02-19,澎湖縣,白沙鄉,4,1661,2.00
11597,2023-02-18,澎湖縣,白沙鄉,3,1657,1.57
11970,2023-02-17,澎湖縣,白沙鄉,1,1654,1.29
12345,2023-02-16,澎湖縣,白沙鄉,1,1653,1.14
12716,2023-02-15,澎湖縣,白沙鄉,2,1652,1.86
13468,2023-02-13,澎湖縣,白沙鄉,3,1650,2.14
13826,2023-02-12,澎湖縣,白沙鄉,1,1647,2.00
14200,2023-02-11,澎湖縣,白沙鄉,1,1646,2.00
14947,2023-02-09,澎湖縣,白沙鄉,6,1645,3.29
15325,2023-02-08,澎湖縣,白沙鄉,2,1639,3.29
15705,2023-02-07,澎湖縣,白沙鄉,2,1637,3.86
16088,2023-02-06,澎湖縣,白沙鄉,2,1635,4.43
16456,2023-02-05,澎湖縣,白沙鄉,1,1633,5.57
16834,2023-02-04,澎湖縣,白沙鄉,4,1632,8.14
17219,2023-02-03,澎湖縣,白沙鄉,6,1628,9.57
17602,2023-02-02,澎湖縣,白沙鄉,6,1622,10.86
17979,2023-02-01,澎湖縣,白沙鄉,6,1616,10.86
18365,2023-01-31,澎湖縣,白沙鄉,6,1610,10.43
18753,2023-01-30,澎湖縣,白沙鄉,10,1604,10.00
19129,2023-01-29,澎湖縣,白沙鄉,19,1594,9.43
19509,2023-01-28,澎湖縣,白沙鄉,14,1575,7.00
19888,2023-01-27,澎湖縣,白沙鄉,15,1561,5.71
20265,2023-01-26,澎湖縣,白沙鄉,6,1546,4.57
20631,2023-01-25,澎湖縣,白沙鄉,3,1540,4.43
