UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6214,2023-06-14,澎湖縣,西嶼鄉,45-49,93
6215,2023-06-14,澎湖縣,西嶼鄉,25-29,106
6216,2023-06-14,澎湖縣,西嶼鄉,15-19,87
6217,2023-03-08,澎湖縣,西嶼鄉,30-34,95
6218,2023-03-07,澎湖縣,西嶼鄉,55-59,87
6219,2023-03-05,澎湖縣,西嶼鄉,70+,210
6220,2023-02-27,澎湖縣,西嶼鄉,50-54,78
6221,2023-02-24,澎湖縣,西嶼鄉,65-69,117
6222,2023-02-21,澎湖縣,西嶼鄉,5-9,76
6223,2023-02-21,澎湖縣,西嶼鄉,35-39,104
6224,2023-02-20,澎湖縣,西嶼鄉,40-44,103
6225,2023-02-19,澎湖縣,西嶼鄉,1,9
6226,2023-02-19,澎湖縣,西嶼鄉,60-64,94
6227,2023-02-19,澎湖縣,西嶼鄉,3,16
6228,2023-02-15,澎湖縣,西嶼鄉,20-24,80
6229,2023-02-12,澎湖縣,西嶼鄉,2,22
6230,2023-02-11,澎湖縣,西嶼鄉,10-14,96
6231,2023-02-10,澎湖縣,西嶼鄉,4,9
6232,2022-11-10,澎湖縣,西嶼鄉,0,14
