UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
260,2023-06-14,澎湖縣,西嶼鄉,4,1496,0.57
3302,2023-03-13,澎湖縣,西嶼鄉,1,1492,0.71
4713,2023-03-09,澎湖縣,西嶼鄉,1,1491,0.71
5067,2023-03-08,澎湖縣,西嶼鄉,1,1490,0.86
5427,2023-03-07,澎湖縣,西嶼鄉,2,1489,0.71
6131,2023-03-05,澎湖縣,西嶼鄉,1,1487,0.57
7204,2023-03-02,澎湖縣,西嶼鄉,2,1486,0.71
8300,2023-02-27,澎湖縣,西嶼鄉,1,1484,0.86
9375,2023-02-24,澎湖縣,西嶼鄉,2,1483,2.57
10491,2023-02-21,澎湖縣,西嶼鄉,3,1481,2.86
10866,2023-02-20,澎湖縣,西嶼鄉,5,1478,2.43
11225,2023-02-19,澎湖縣,西嶼鄉,8,1473,2.43
12340,2023-02-16,澎湖縣,西嶼鄉,2,1465,3.29
12711,2023-02-15,澎湖縣,西嶼鄉,2,1463,3.14
13463,2023-02-13,澎湖縣,西嶼鄉,5,1461,3.29
13823,2023-02-12,澎湖縣,西嶼鄉,8,1456,2.86
14196,2023-02-11,澎湖縣,西嶼鄉,1,1448,1.86
14566,2023-02-10,澎湖縣,西嶼鄉,5,1447,2.29
14941,2023-02-09,澎湖縣,西嶼鄉,1,1442,2.29
15319,2023-02-08,澎湖縣,西嶼鄉,3,1441,2.29
16082,2023-02-06,澎湖縣,西嶼鄉,2,1438,3.14
16450,2023-02-05,澎湖縣,西嶼鄉,1,1436,3.29
16829,2023-02-04,澎湖縣,西嶼鄉,4,1435,4.43
17214,2023-02-03,澎湖縣,西嶼鄉,5,1431,3.86
17596,2023-02-02,澎湖縣,西嶼鄉,1,1426,4.00
17974,2023-02-01,澎湖縣,西嶼鄉,2,1425,4.71
18359,2023-01-31,澎湖縣,西嶼鄉,7,1423,4.71
18747,2023-01-30,澎湖縣,西嶼鄉,3,1416,4.57
19124,2023-01-29,澎湖縣,西嶼鄉,9,1413,4.71
19883,2023-01-27,澎湖縣,西嶼鄉,6,1404,4.00
20260,2023-01-26,澎湖縣,西嶼鄉,6,1398,3.29
20628,2023-01-25,澎湖縣,西嶼鄉,2,1392,2.57
20999,2023-01-24,澎湖縣,西嶼鄉,6,1390,2.29
21365,2023-01-23,澎湖縣,西嶼鄉,4,1384,1.86
21733,2023-01-22,澎湖縣,西嶼鄉,3,1380,1.29
22106,2023-01-21,澎湖縣,西嶼鄉,1,1377,1.29
22470,2023-01-20,澎湖縣,西嶼鄉,1,1376,1.14
22842,2023-01-19,澎湖縣,西嶼鄉,1,1375,1.14
23578,2023-01-17,澎湖縣,西嶼鄉,3,1374,1.14
24321,2023-01-15,澎湖縣,西嶼鄉,3,1371,0.86
25055,2023-01-13,澎湖縣,西嶼鄉,1,1368,0.71
25430,2023-01-12,澎湖縣,西嶼鄉,1,1367,0.86
26179,2023-01-10,澎湖縣,西嶼鄉,1,1366,1.00
27288,2023-01-07,澎湖縣,西嶼鄉,2,1365,1.29
27660,2023-01-06,澎湖縣,西嶼鄉,2,1363,1.29
28041,2023-01-05,澎湖縣,西嶼鄉,1,1361,1.57
28421,2023-01-04,澎湖縣,西嶼鄉,1,1360,1.71
28803,2023-01-03,澎湖縣,西嶼鄉,2,1359,1.57
29540,2023-01-01,澎湖縣,西嶼鄉,1,1357,1.29
29906,2022-12-31,澎湖縣,西嶼鄉,2,1356,1.29
30278,2022-12-30,澎湖縣,西嶼鄉,4,1354,1.00
30648,2022-12-29,澎湖縣,西嶼鄉,2,1350,0.57
32123,2022-12-25,澎湖縣,西嶼鄉,1,1348,0.71
32845,2022-12-23,澎湖縣,西嶼鄉,1,1347,0.86
33584,2022-12-21,澎湖縣,西嶼鄉,1,1346,1.00
34319,2022-12-19,澎湖縣,西嶼鄉,2,1345,0.86
35027,2022-12-17,澎湖縣,西嶼鄉,2,1343,0.71
35763,2022-12-15,澎湖縣,西嶼鄉,2,1341,0.57
36868,2022-12-12,澎湖縣,西嶼鄉,1,1339,0.43
37951,2022-12-09,澎湖縣,西嶼鄉,1,1338,0.43
38325,2022-12-08,澎湖縣,西嶼鄉,1,1337,0.29
39444,2022-12-05,澎湖縣,西嶼鄉,1,1336,0.57
41670,2022-11-29,澎湖縣,西嶼鄉,3,1335,0.71
43138,2022-11-25,澎湖縣,西嶼鄉,1,1332,1.00
43877,2022-11-23,澎湖縣,西嶼鄉,1,1331,1.29
44250,2022-11-22,澎湖縣,西嶼鄉,2,1330,1.71
44632,2022-11-21,澎湖縣,西嶼鄉,2,1328,1.57
45371,2022-11-19,澎湖縣,西嶼鄉,1,1326,1.71
46115,2022-11-17,澎湖縣,西嶼鄉,3,1325,1.86
46495,2022-11-16,澎湖縣,西嶼鄉,4,1322,1.57
46875,2022-11-15,澎湖縣,西嶼鄉,1,1318,1.00
47255,2022-11-14,澎湖縣,西嶼鄉,3,1317,0.86
48002,2022-11-12,澎湖縣,西嶼鄉,2,1314,1.43
48765,2022-11-10,澎湖縣,西嶼鄉,1,1312,2.43
49918,2022-11-07,澎湖縣,西嶼鄉,4,1311,3.00
