UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6176,2023-06-14,澎湖縣,馬公市,15-19,1326
6177,2023-03-20,澎湖縣,馬公市,30-34,1648
6178,2023-03-20,澎湖縣,馬公市,35-39,1509
6179,2023-03-19,澎湖縣,馬公市,20-24,1992
6180,2023-03-19,澎湖縣,馬公市,40-44,1528
6181,2023-03-19,澎湖縣,馬公市,55-59,1090
6182,2023-03-18,澎湖縣,馬公市,45-49,1311
6183,2023-03-18,澎湖縣,馬公市,50-54,1262
6184,2023-03-18,澎湖縣,馬公市,70+,1502
6185,2023-03-17,澎湖縣,馬公市,3,196
6186,2023-03-17,澎湖縣,馬公市,4,215
6187,2023-03-17,澎湖縣,馬公市,25-29,1726
6188,2023-03-17,澎湖縣,馬公市,5-9,1128
6189,2023-03-16,澎湖縣,馬公市,10-14,955
6190,2023-03-16,澎湖縣,馬公市,60-64,1034
6191,2023-03-16,澎湖縣,馬公市,65-69,877
6192,2023-03-15,澎湖縣,馬公市,0,136
6193,2023-02-27,澎湖縣,馬公市,2,200
6194,2023-02-26,澎湖縣,馬公市,1,200
