UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
188,2023-06-14,澎湖縣,馬公市,2,19835,0.29
755,2023-03-20,澎湖縣,馬公市,4,19833,10.00
1055,2023-03-19,澎湖縣,馬公市,5,19829,11.43
1383,2023-03-18,澎湖縣,馬公市,6,19824,13.14
1724,2023-03-17,澎湖縣,馬公市,14,19818,13.71
2078,2023-03-16,澎湖縣,馬公市,13,19804,12.57
2431,2023-03-15,澎湖縣,馬公市,9,19791,13.00
2780,2023-03-14,澎湖縣,馬公市,19,19782,13.00
3139,2023-03-13,澎湖縣,馬公市,14,19763,11.71
3493,2023-03-12,澎湖縣,馬公市,17,19749,11.43
3843,2023-03-11,澎湖縣,馬公市,10,19732,10.86
4193,2023-03-10,澎湖縣,馬公市,6,19722,11.57
4550,2023-03-09,澎湖縣,馬公市,16,19716,13.14
4907,2023-03-08,澎湖縣,馬公市,9,19700,13.00
5262,2023-03-07,澎湖縣,馬公市,10,19691,15.86
5625,2023-03-06,澎湖縣,馬公市,12,19681,18.57
5985,2023-03-05,澎湖縣,馬公市,13,19669,18.14
6324,2023-03-04,澎湖縣,馬公市,15,19656,19.00
6679,2023-03-03,澎湖縣,馬公市,17,19641,18.86
7039,2023-03-02,澎湖縣,馬公市,15,19624,20.00
7403,2023-03-01,澎湖縣,馬公市,29,19609,19.86
7775,2023-02-28,澎湖縣,馬公市,29,19580,18.71
8139,2023-02-27,澎湖縣,馬公市,9,19551,16.29
8493,2023-02-26,澎湖縣,馬公市,19,19542,18.00
8841,2023-02-25,澎湖縣,馬公市,14,19523,17.86
9210,2023-02-24,澎湖縣,馬公市,25,19509,17.86
9572,2023-02-23,澎湖縣,馬公市,14,19484,16.86
9943,2023-02-22,澎湖縣,馬公市,21,19470,16.57
10317,2023-02-21,澎湖縣,馬公市,12,19449,15.86
10688,2023-02-20,澎湖縣,馬公市,21,19437,16.14
11064,2023-02-19,澎湖縣,馬公市,18,19416,19.00
11425,2023-02-18,澎湖縣,馬公市,14,19398,20.14
11792,2023-02-17,澎湖縣,馬公市,18,19384,21.43
12165,2023-02-16,澎湖縣,馬公市,12,19366,23.43
12539,2023-02-15,澎湖縣,馬公市,16,19354,25.86
12912,2023-02-14,澎湖縣,馬公市,14,19338,28.29
13284,2023-02-13,澎湖縣,馬公市,41,19324,32.14
13663,2023-02-12,澎湖縣,馬公市,26,19283,31.43
14020,2023-02-11,澎湖縣,馬公市,23,19257,31.43
14392,2023-02-10,澎湖縣,馬公市,32,19234,32.14
14765,2023-02-09,澎湖縣,馬公市,29,19202,33.43
