UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6536,2023-03-19,花蓮縣,光復鄉,25-29,239
6537,2023-03-18,花蓮縣,光復鄉,35-39,211
6538,2023-03-18,花蓮縣,光復鄉,60-64,315
6539,2023-03-18,花蓮縣,光復鄉,40-44,211
6540,2023-03-18,花蓮縣,光復鄉,45-49,179
6541,2023-03-17,花蓮縣,光復鄉,65-69,303
6542,2023-03-17,花蓮縣,光復鄉,70+,653
6543,2023-03-16,花蓮縣,光復鄉,15-19,205
6544,2023-03-14,花蓮縣,光復鄉,30-34,204
6545,2023-03-14,花蓮縣,光復鄉,55-59,284
6546,2023-03-09,花蓮縣,光復鄉,0,27
6547,2023-03-06,花蓮縣,光復鄉,50-54,233
6548,2023-03-01,花蓮縣,光復鄉,20-24,192
6549,2023-02-25,花蓮縣,光復鄉,10-14,213
6550,2023-02-16,花蓮縣,光復鄉,5-9,187
6551,2023-02-10,花蓮縣,光復鄉,2,36
6552,2023-02-01,花蓮縣,光復鄉,4,30
6553,2023-01-29,花蓮縣,光復鄉,1,31
6554,2022-12-08,花蓮縣,光復鄉,3,35
