UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6327,2023-06-14,花蓮縣,全區,60-64,9345
6328,2023-06-14,花蓮縣,全區,70+,14297
6329,2023-06-14,花蓮縣,全區,5-9,8273
6330,2023-06-14,花蓮縣,全區,55-59,9385
6331,2023-06-14,花蓮縣,全區,50-54,10048
6332,2023-06-14,花蓮縣,全區,45-49,10543
6333,2023-06-14,花蓮縣,全區,35-39,10741
6334,2023-06-14,花蓮縣,全區,4,1482
6335,2023-06-14,花蓮縣,全區,25-29,11456
6336,2023-06-14,花蓮縣,全區,30-34,10329
6337,2023-06-14,花蓮縣,全區,65-69,8134
6338,2023-06-14,花蓮縣,全區,40-44,11760
6339,2023-06-14,花蓮縣,全區,15-19,8918
6340,2023-06-14,花蓮縣,全區,3,1431
6341,2023-03-20,花蓮縣,全區,10-14,7872
6342,2023-03-20,花蓮縣,全區,20-24,11074
6343,2023-03-20,花蓮縣,全區,2,1324
6344,2023-03-20,花蓮縣,全區,1,1268
6345,2023-03-16,花蓮縣,全區,0,1076
