UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
28,2023-05-14,花蓮縣,全區,1,303,0.14
248,2023-03-29,花蓮縣,全區,1,302,0.14
459,2023-03-20,花蓮縣,全區,1,301,0.57
500,2023-03-19,花蓮縣,全區,1,300,0.43
624,2023-03-16,花蓮縣,全區,1,299,0.71
702,2023-03-14,花蓮縣,全區,1,298,0.71
786,2023-03-12,花蓮縣,全區,2,297,0.57
878,2023-03-10,花蓮縣,全區,1,295,0.43
926,2023-03-09,花蓮縣,全區,1,294,0.57
1124,2023-03-05,花蓮縣,全區,1,293,0.86
1233,2023-03-03,花蓮縣,全區,2,292,0.71
1286,2023-03-02,花蓮縣,全區,1,290,0.71
1339,2023-03-01,花蓮縣,全區,1,289,0.57
1443,2023-02-27,花蓮縣,全區,1,288,0.71
1620,2023-02-24,花蓮縣,全區,2,287,0.71
1745,2023-02-22,花蓮縣,全區,1,285,1.00
1803,2023-02-21,花蓮縣,全區,1,284,0.86
1968,2023-02-18,花蓮縣,全區,1,283,0.86
2082,2023-02-16,花蓮縣,全區,4,282,1.14
2282,2023-02-13,花蓮縣,全區,1,278,1.29
2402,2023-02-11,花蓮縣,全區,2,277,1.29
2466,2023-02-10,花蓮縣,全區,1,275,1.14
2598,2023-02-08,花蓮縣,全區,3,274,1.14
2681,2023-02-07,花蓮縣,全區,2,271,0.86
2806,2023-02-05,花蓮縣,全區,1,269,0.71
2861,2023-02-04,花蓮縣,全區,1,268,0.71
2915,2023-02-03,花蓮縣,全區,1,267,0.57
3053,2023-02-01,花蓮縣,全區,1,266,0.43
3119,2023-01-31,花蓮縣,全區,1,265,0.43
3231,2023-01-29,花蓮縣,全區,1,264,0.43
3443,2023-01-25,花蓮縣,全區,1,263,0.43
3548,2023-01-23,花蓮縣,全區,1,262,0.29
3655,2023-01-21,花蓮縣,全區,1,261,0.14
4052,2023-01-13,花蓮縣,全區,1,260,0.43
4186,2023-01-10,花蓮縣,全區,1,259,0.29
4244,2023-01-09,花蓮縣,全區,1,258,0.14
4652,2023-01-01,花蓮縣,全區,1,257,0.29
4795,2022-12-29,花蓮縣,全區,1,256,0.29
5028,2022-12-23,花蓮縣,全區,1,255,0.57
5064,2022-12-22,花蓮縣,全區,1,254,0.43
5138,2022-12-20,花蓮縣,全區,1,253,0.57
