UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6498,2023-06-14,花蓮縣,卓溪鄉,70+,162
6499,2023-06-14,花蓮縣,卓溪鄉,55-59,164
6500,2023-06-14,花蓮縣,卓溪鄉,40-44,136
6501,2023-06-14,花蓮縣,卓溪鄉,3,35
6502,2023-06-14,花蓮縣,卓溪鄉,60-64,126
6503,2023-06-14,花蓮縣,卓溪鄉,50-54,142
6504,2023-06-14,花蓮縣,卓溪鄉,30-34,149
6505,2023-06-14,花蓮縣,卓溪鄉,25-29,148
6506,2023-03-16,花蓮縣,卓溪鄉,15-19,151
6507,2023-03-13,花蓮縣,卓溪鄉,10-14,194
6508,2023-03-06,花蓮縣,卓溪鄉,5-9,179
6509,2023-03-06,花蓮縣,卓溪鄉,65-69,104
6510,2023-03-04,花蓮縣,卓溪鄉,20-24,126
6511,2023-03-02,花蓮縣,卓溪鄉,45-49,119
6512,2023-02-21,花蓮縣,卓溪鄉,35-39,148
6513,2023-02-16,花蓮縣,卓溪鄉,0,26
6514,2022-12-11,花蓮縣,卓溪鄉,4,31
6515,2022-11-30,花蓮縣,卓溪鄉,2,33
6516,2022-10-31,花蓮縣,卓溪鄉,1,22
