UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
236,2023-06-14,花蓮縣,卓溪鄉,11,2195,1.57
1814,2023-03-17,花蓮縣,卓溪鄉,1,2184,0.71
2163,2023-03-16,花蓮縣,卓溪鄉,1,2183,0.71
3224,2023-03-13,花蓮縣,卓溪鄉,2,2182,1.43
3930,2023-03-11,花蓮縣,卓溪鄉,1,2180,1.57
4282,2023-03-10,花蓮縣,卓溪鄉,1,2179,1.57
4993,2023-03-08,花蓮縣,卓溪鄉,1,2178,2.14
5348,2023-03-07,花蓮縣,卓溪鄉,5,2177,2.43
5714,2023-03-06,花蓮縣,卓溪鄉,3,2172,2.14
6411,2023-03-04,花蓮縣,卓溪鄉,1,2169,1.86
6765,2023-03-03,花蓮縣,卓溪鄉,1,2168,2.43
7128,2023-03-02,花蓮縣,卓溪鄉,4,2167,2.43
7492,2023-03-01,花蓮縣,卓溪鄉,3,2163,2.29
7864,2023-02-28,花蓮縣,卓溪鄉,3,2160,2.43
8227,2023-02-27,花蓮縣,卓溪鄉,1,2157,2.43
8931,2023-02-25,花蓮縣,卓溪鄉,5,2156,3.00
9298,2023-02-24,花蓮縣,卓溪鄉,1,2151,2.57
9664,2023-02-23,花蓮縣,卓溪鄉,3,2150,2.71
10035,2023-02-22,花蓮縣,卓溪鄉,4,2147,3.00
10407,2023-02-21,花蓮縣,卓溪鄉,3,2143,2.71
10779,2023-02-20,花蓮縣,卓溪鄉,3,2140,2.86
11149,2023-02-19,花蓮縣,卓溪鄉,2,2137,2.86
11514,2023-02-18,花蓮縣,卓溪鄉,2,2135,3.14
11881,2023-02-17,花蓮縣,卓溪鄉,2,2133,3.00
12255,2023-02-16,花蓮縣,卓溪鄉,5,2131,3.14
12630,2023-02-15,花蓮縣,卓溪鄉,2,2126,2.71
13005,2023-02-14,花蓮縣,卓溪鄉,4,2124,2.57
13376,2023-02-13,花蓮縣,卓溪鄉,3,2120,2.00
13750,2023-02-12,花蓮縣,卓溪鄉,4,2117,1.86
14113,2023-02-11,花蓮縣,卓溪鄉,1,2113,1.43
14483,2023-02-10,花蓮縣,卓溪鄉,3,2112,1.57
14855,2023-02-09,花蓮縣,卓溪鄉,2,2109,1.43
15237,2023-02-08,花蓮縣,卓溪鄉,1,2107,1.86
15994,2023-02-06,花蓮縣,卓溪鄉,2,2106,1.86
16370,2023-02-05,花蓮縣,卓溪鄉,1,2104,2.29
16744,2023-02-04,花蓮縣,卓溪鄉,2,2103,3.00
17122,2023-02-03,花蓮縣,卓溪鄉,2,2101,3.00
17509,2023-02-02,花蓮縣,卓溪鄉,5,2099,2.71
18271,2023-01-31,花蓮縣,卓溪鄉,1,2094,2.43
18656,2023-01-30,花蓮縣,卓溪鄉,5,2093,2.43
19041,2023-01-29,花蓮縣,卓溪鄉,6,2088,1.86
19419,2023-01-28,花蓮縣,卓溪鄉,2,2082,1.14
20174,2023-01-26,花蓮縣,卓溪鄉,2,2080,1.14
20546,2023-01-25,花蓮縣,卓溪鄉,1,2078,1.00
20915,2023-01-24,花蓮縣,卓溪鄉,1,2077,1.71
21284,2023-01-23,花蓮縣,卓溪鄉,1,2076,1.57
21655,2023-01-22,花蓮縣,卓溪鄉,1,2075,2.00
22023,2023-01-21,花蓮縣,卓溪鄉,1,2074,1.86
22393,2023-01-20,花蓮縣,卓溪鄉,1,2073,1.86
22761,2023-01-19,花蓮縣,卓溪鄉,1,2072,1.86
23132,2023-01-18,花蓮縣,卓溪鄉,6,2071,2.43
23867,2023-01-16,花蓮縣,卓溪鄉,4,2065,1.71
24608,2023-01-14,花蓮縣,卓溪鄉,1,2061,1.86
24976,2023-01-13,花蓮縣,卓溪鄉,1,2060,1.71
25348,2023-01-12,花蓮縣,卓溪鄉,5,2059,1.71
26096,2023-01-10,花蓮縣,卓溪鄉,1,2054,2.43
26470,2023-01-09,花蓮縣,卓溪鄉,4,2053,3.14
26840,2023-01-08,花蓮縣,卓溪鄉,1,2049,2.71
27575,2023-01-06,花蓮縣,卓溪鄉,1,2048,3.00
27954,2023-01-05,花蓮縣,卓溪鄉,6,2047,2.86
28334,2023-01-04,花蓮縣,卓溪鄉,4,2041,2.29
28716,2023-01-03,花蓮縣,卓溪鄉,6,2037,1.86
29096,2023-01-02,花蓮縣,卓溪鄉,1,2031,1.57
29465,2023-01-01,花蓮縣,卓溪鄉,2,2030,1.86
29826,2022-12-31,花蓮縣,卓溪鄉,1,2028,1.86
30567,2022-12-29,花蓮縣,卓溪鄉,2,2027,2.86
30939,2022-12-28,花蓮縣,卓溪鄉,1,2025,2.86
31311,2022-12-27,花蓮縣,卓溪鄉,4,2024,2.71
31685,2022-12-26,花蓮縣,卓溪鄉,3,2020,2.43
32049,2022-12-25,花蓮縣,卓溪鄉,2,2017,2.00
32410,2022-12-24,花蓮縣,卓溪鄉,1,2015,2.14
32767,2022-12-23,花蓮縣,卓溪鄉,7,2014,2.00
33134,2022-12-22,花蓮縣,卓溪鄉,2,2007,1.43
33867,2022-12-20,花蓮縣,卓溪鄉,2,2005,1.14
34596,2022-12-18,花蓮縣,卓溪鄉,3,2003,1.86
35316,2022-12-16,花蓮縣,卓溪鄉,3,2000,2.57
36408,2022-12-13,花蓮縣,卓溪鄉,5,1997,3.86
36785,2022-12-12,花蓮縣,卓溪鄉,2,1992,3.57
37144,2022-12-11,花蓮縣,卓溪鄉,6,1990,3.71
37506,2022-12-10,花蓮縣,卓溪鄉,2,1984,3.00
37872,2022-12-09,花蓮縣,卓溪鄉,4,1982,2.86
38242,2022-12-08,花蓮縣,卓溪鄉,7,1978,3.14
38616,2022-12-07,花蓮縣,卓溪鄉,1,1971,2.86
38982,2022-12-06,花蓮縣,卓溪鄉,3,1970,3.57
39358,2022-12-05,花蓮縣,卓溪鄉,3,1967,3.43
39733,2022-12-04,花蓮縣,卓溪鄉,1,1964,4.14
40099,2022-12-03,花蓮縣,卓溪鄉,1,1963,4.29
40466,2022-12-02,花蓮縣,卓溪鄉,6,1962,4.14
40836,2022-12-01,花蓮縣,卓溪鄉,5,1956,3.57
41208,2022-11-30,花蓮縣,卓溪鄉,6,1951,3.29
41583,2022-11-29,花蓮縣,卓溪鄉,2,1945,2.71
41961,2022-11-28,花蓮縣,卓溪鄉,8,1943,2.57
42334,2022-11-27,花蓮縣,卓溪鄉,2,1935,1.57
43055,2022-11-25,花蓮縣,卓溪鄉,2,1933,1.29
43424,2022-11-24,花蓮縣,卓溪鄉,3,1931,1.00
43793,2022-11-23,花蓮縣,卓溪鄉,2,1928,0.57
44166,2022-11-22,花蓮縣,卓溪鄉,1,1926,0.71
44544,2022-11-21,花蓮縣,卓溪鄉,1,1925,0.71
46406,2022-11-16,花蓮縣,卓溪鄉,3,1924,1.86
46788,2022-11-15,花蓮縣,卓溪鄉,1,1921,1.43
47166,2022-11-14,花蓮縣,卓溪鄉,2,1920,1.57
47917,2022-11-12,花蓮縣,卓溪鄉,2,1918,2.00
48295,2022-11-11,花蓮縣,卓溪鄉,2,1916,1.71
48674,2022-11-10,花蓮縣,卓溪鄉,3,1914,1.57
