UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
794,2023-03-12,花蓮縣,吉安鄉,1,73,0.29
885,2023-03-10,花蓮縣,吉安鄉,1,72,0.29
1131,2023-03-05,花蓮縣,吉安鄉,1,71,0.57
1239,2023-03-03,花蓮縣,吉安鄉,1,70,0.43
1294,2023-03-02,花蓮縣,吉安鄉,1,69,0.43
1344,2023-03-01,花蓮縣,吉安鄉,1,68,0.29
1631,2023-02-24,花蓮縣,吉安鄉,1,67,0.43
1808,2023-02-21,花蓮縣,吉安鄉,1,66,0.29
1980,2023-02-18,花蓮縣,吉安鄉,1,65,0.29
2286,2023-02-13,花蓮縣,吉安鄉,1,64,0.14
3062,2023-02-01,花蓮縣,吉安鄉,1,63,0.14
3452,2023-01-25,花蓮縣,吉安鄉,1,62,0.29
3661,2023-01-21,花蓮縣,吉安鄉,1,61,0.14
4657,2023-01-01,花蓮縣,吉安鄉,1,60,0.14
5069,2022-12-22,花蓮縣,吉安鄉,1,59,0.43
5144,2022-12-20,花蓮縣,吉安鄉,1,58,0.57
5186,2022-12-19,花蓮縣,吉安鄉,1,57,0.43
5334,2022-12-15,花蓮縣,吉安鄉,1,56,0.57
5378,2022-12-14,花蓮縣,吉安鄉,1,55,0.43
5452,2022-12-12,花蓮縣,吉安鄉,1,54,0.29
5552,2022-12-09,花蓮縣,吉安鄉,1,53,0.14
6049,2022-11-26,花蓮縣,吉安鄉,1,52,0.29
6326,2022-11-20,花蓮縣,吉安鄉,1,51,0.14
6923,2022-11-09,花蓮縣,吉安鄉,1,50,0.43
7094,2022-11-06,花蓮縣,吉安鄉,1,49,0.43
7209,2022-11-04,花蓮縣,吉安鄉,1,48,0.29
7323,2022-11-02,花蓮縣,吉安鄉,1,47,0.14
7997,2022-10-23,花蓮縣,吉安鄉,1,46,0.43
8072,2022-10-22,花蓮縣,吉安鄉,1,45,0.43
8433,2022-10-17,花蓮縣,吉安鄉,1,44,0.71
8504,2022-10-16,花蓮縣,吉安鄉,1,43,0.57
8637,2022-10-14,花蓮縣,吉安鄉,1,42,0.57
8780,2022-10-12,花蓮縣,吉安鄉,1,41,0.43
8851,2022-10-11,花蓮縣,吉安鄉,1,40,0.29
8992,2022-10-09,花蓮縣,吉安鄉,1,39,0.14
9580,2022-09-30,花蓮縣,吉安鄉,1,38,0.29
9936,2022-09-24,花蓮縣,吉安鄉,1,37,0.57
10060,2022-09-22,花蓮縣,吉安鄉,1,36,0.71
10117,2022-09-21,花蓮縣,吉安鄉,2,35,0.57
10318,2022-09-17,花蓮縣,吉安鄉,1,33,0.57
10375,2022-09-16,花蓮縣,吉安鄉,1,32,0.43
10599,2022-09-12,花蓮縣,吉安鄉,2,31,0.29
10967,2022-09-04,花蓮縣,吉安鄉,1,29,0.14
11260,2022-08-28,花蓮縣,吉安鄉,1,28,0.14
11561,2022-08-20,花蓮縣,吉安鄉,1,27,0.43
11630,2022-08-18,花蓮縣,吉安鄉,1,26,0.29
11775,2022-08-14,花蓮縣,吉安鄉,1,25,0.29
11964,2022-08-09,花蓮縣,吉安鄉,1,24,0.14
12466,2022-07-29,花蓮縣,吉安鄉,1,23,0.14
13435,2022-07-13,花蓮縣,吉安鄉,1,22,0.29
13585,2022-07-11,花蓮縣,吉安鄉,1,21,0.29
13942,2022-07-06,花蓮縣,吉安鄉,1,20,0.57
14117,2022-07-04,花蓮縣,吉安鄉,1,19,0.71
14389,2022-07-01,花蓮縣,吉安鄉,1,18,0.71
14483,2022-06-30,花蓮縣,吉安鄉,1,17,0.71
14681,2022-06-28,花蓮縣,吉安鄉,2,16,0.86
14981,2022-06-25,花蓮縣,吉安鄉,1,14,0.57
15071,2022-06-24,花蓮縣,吉安鄉,1,13,0.43
15171,2022-06-23,花蓮縣,吉安鄉,2,12,0.43
15866,2022-06-17,花蓮縣,吉安鄉,1,10,0.43
16121,2022-06-15,花蓮縣,吉安鄉,1,9,0.43
16253,2022-06-14,花蓮縣,吉安鄉,1,8,0.29
16863,2022-06-09,花蓮縣,吉安鄉,1,7,0.29
17247,2022-06-06,花蓮縣,吉安鄉,1,6,0.29
17836,2022-06-01,花蓮縣,吉安鄉,1,5,0.43
18220,2022-05-29,花蓮縣,吉安鄉,1,4,0.29
18324,2022-05-28,花蓮縣,吉安鄉,1,3,0.14
19725,2022-05-06,花蓮縣,吉安鄉,1,2,0.29
19775,2022-05-03,花蓮縣,吉安鄉,1,1,0.14
