UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
173,2023-06-14,花蓮縣,吉安鄉,4,44254,0.57
732,2023-03-20,花蓮縣,吉安鄉,19,44250,33.43
1027,2023-03-19,花蓮縣,吉安鄉,30,44231,36.43
1357,2023-03-18,花蓮縣,吉安鄉,35,44201,36.29
1696,2023-03-17,花蓮縣,吉安鄉,39,44166,36.71
2050,2023-03-16,花蓮縣,吉安鄉,33,44127,36.43
2403,2023-03-15,花蓮縣,吉安鄉,38,44094,36.43
2752,2023-03-14,花蓮縣,吉安鄉,40,44056,36.71
3110,2023-03-13,花蓮縣,吉安鄉,40,44016,35.86
3467,2023-03-12,花蓮縣,吉安鄉,29,43976,34.86
3816,2023-03-11,花蓮縣,吉安鄉,38,43947,34.00
4167,2023-03-10,花蓮縣,吉安鄉,37,43909,34.57
4522,2023-03-09,花蓮縣,吉安鄉,33,43872,33.57
4881,2023-03-08,花蓮縣,吉安鄉,40,43839,35.86
5235,2023-03-07,花蓮縣,吉安鄉,34,43799,34.29
5596,2023-03-06,花蓮縣,吉安鄉,33,43765,36.29
5957,2023-03-05,花蓮縣,吉安鄉,23,43732,37.00
6296,2023-03-04,花蓮縣,吉安鄉,42,43709,36.43
6650,2023-03-03,花蓮縣,吉安鄉,30,43667,37.43
7010,2023-03-02,花蓮縣,吉安鄉,49,43637,39.14
7373,2023-03-01,花蓮縣,吉安鄉,29,43588,39.57
7745,2023-02-28,花蓮縣,吉安鄉,48,43559,42.86
8109,2023-02-27,花蓮縣,吉安鄉,38,43511,44.86
8466,2023-02-26,花蓮縣,吉安鄉,19,43473,48.14
8811,2023-02-25,花蓮縣,吉安鄉,49,43454,51.43
9182,2023-02-24,花蓮縣,吉安鄉,42,43405,51.71
9543,2023-02-23,花蓮縣,吉安鄉,52,43363,54.29
9913,2023-02-22,花蓮縣,吉安鄉,52,43311,53.71
10288,2023-02-21,花蓮縣,吉安鄉,62,43259,53.86
10658,2023-02-20,花蓮縣,吉安鄉,61,43197,55.57
11035,2023-02-19,花蓮縣,吉安鄉,42,43136,58.14
11396,2023-02-18,花蓮縣,吉安鄉,51,43094,59.57
11762,2023-02-17,花蓮縣,吉安鄉,60,43043,60.43
12135,2023-02-16,花蓮縣,吉安鄉,48,42983,62.00
12509,2023-02-15,花蓮縣,吉安鄉,53,42935,67.43
12883,2023-02-14,花蓮縣,吉安鄉,74,42882,70.57
13255,2023-02-13,花蓮縣,吉安鄉,79,42808,75.57
