UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
258,2023-06-14,花蓮縣,富里鄉,2,2668,0.29
1190,2023-03-19,花蓮縣,富里鄉,5,2666,3.00
1529,2023-03-18,花蓮縣,富里鄉,4,2661,2.86
1879,2023-03-17,花蓮縣,富里鄉,2,2657,2.43
2231,2023-03-16,花蓮縣,富里鄉,5,2655,2.43
2583,2023-03-15,花蓮縣,富里鄉,3,2650,2.00
2940,2023-03-14,花蓮縣,富里鄉,1,2647,2.00
3297,2023-03-13,花蓮縣,富里鄉,1,2646,2.14
3641,2023-03-12,花蓮縣,富里鄉,4,2645,3.14
3998,2023-03-11,花蓮縣,富里鄉,1,2641,2.71
4350,2023-03-10,花蓮縣,富里鄉,2,2640,2.57
4706,2023-03-09,花蓮縣,富里鄉,2,2638,2.43
5062,2023-03-08,花蓮縣,富里鄉,3,2636,2.29
5420,2023-03-07,花蓮縣,富里鄉,2,2633,2.71
5786,2023-03-06,花蓮縣,富里鄉,8,2631,3.00
6126,2023-03-05,花蓮縣,富里鄉,1,2623,2.14
6837,2023-03-03,花蓮縣,富里鄉,1,2622,2.43
7199,2023-03-02,花蓮縣,富里鄉,1,2621,2.71
7569,2023-03-01,花蓮縣,富里鄉,6,2620,2.71
7934,2023-02-28,花蓮縣,富里鄉,4,2614,2.00
8295,2023-02-27,花蓮縣,富里鄉,2,2610,1.86
9010,2023-02-25,花蓮縣,富里鄉,3,2608,2.29
9370,2023-02-24,花蓮縣,富里鄉,3,2605,2.14
9738,2023-02-23,花蓮縣,富里鄉,1,2602,2.00
10113,2023-02-22,花蓮縣,富里鄉,1,2601,2.00
10485,2023-02-21,花蓮縣,富里鄉,3,2600,2.43
10859,2023-02-20,花蓮縣,富里鄉,2,2597,2.43
11219,2023-02-19,花蓮縣,富里鄉,3,2595,2.57
11588,2023-02-18,花蓮縣,富里鄉,2,2592,2.29
11959,2023-02-17,花蓮縣,富里鄉,2,2590,2.29
12334,2023-02-16,花蓮縣,富里鄉,1,2588,2.29
12706,2023-02-15,花蓮縣,富里鄉,4,2587,3.00
13082,2023-02-14,花蓮縣,富里鄉,3,2583,2.86
13458,2023-02-13,花蓮縣,富里鄉,3,2580,2.86
13819,2023-02-12,花蓮縣,富里鄉,1,2577,3.57
14191,2023-02-11,花蓮縣,富里鄉,2,2576,4.00
14560,2023-02-10,花蓮縣,富里鄉,2,2574,4.14
14935,2023-02-09,花蓮縣,富里鄉,6,2572,4.43
15313,2023-02-08,花蓮縣,富里鄉,3,2566,4.29
15694,2023-02-07,花蓮縣,富里鄉,3,2563,4.71
16075,2023-02-06,花蓮縣,富里鄉,8,2560,5.14
16444,2023-02-05,花蓮縣,富里鄉,4,2552,5.43
16823,2023-02-04,花蓮縣,富里鄉,3,2548,5.14
17207,2023-02-03,花蓮縣,富里鄉,4,2545,5.14
17590,2023-02-02,花蓮縣,富里鄉,5,2541,4.86
17968,2023-02-01,花蓮縣,富里鄉,6,2536,4.71
18352,2023-01-31,花蓮縣,富里鄉,6,2530,4.14
18740,2023-01-30,花蓮縣,富里鄉,10,2524,3.57
19119,2023-01-29,花蓮縣,富里鄉,2,2514,3.00
19499,2023-01-28,花蓮縣,富里鄉,3,2512,2.71
19876,2023-01-27,花蓮縣,富里鄉,2,2509,2.71
20253,2023-01-26,花蓮縣,富里鄉,4,2507,3.00
20623,2023-01-25,花蓮縣,富里鄉,2,2503,3.00
20993,2023-01-24,花蓮縣,富里鄉,2,2501,3.00
21360,2023-01-23,花蓮縣,富里鄉,6,2499,3.71
22099,2023-01-21,花蓮縣,富里鄉,3,2493,3.14
22465,2023-01-20,花蓮縣,富里鄉,4,2490,3.14
22835,2023-01-19,花蓮縣,富里鄉,4,2486,3.43
23208,2023-01-18,花蓮縣,富里鄉,2,2482,3.57
23572,2023-01-17,花蓮縣,富里鄉,7,2480,3.43
23947,2023-01-16,花蓮縣,富里鄉,2,2473,2.71
24682,2023-01-14,花蓮縣,富里鄉,3,2471,3.57
25049,2023-01-13,花蓮縣,富里鄉,6,2468,3.57
25425,2023-01-12,花蓮縣,富里鄉,5,2462,5.00
25800,2023-01-11,花蓮縣,富里鄉,1,2457,4.86
26173,2023-01-10,花蓮縣,富里鄉,2,2456,5.57
26551,2023-01-09,花蓮縣,富里鄉,8,2454,5.43
27282,2023-01-07,花蓮縣,富里鄉,3,2446,4.57
27653,2023-01-06,花蓮縣,富里鄉,16,2443,4.57
28034,2023-01-05,花蓮縣,富里鄉,4,2427,2.29
28415,2023-01-04,花蓮縣,富里鄉,6,2423,2.43
28796,2023-01-03,花蓮縣,富里鄉,1,2417,2.29
29533,2023-01-01,花蓮縣,富里鄉,2,2416,3.00
29900,2022-12-31,花蓮縣,富里鄉,3,2414,2.71
30642,2022-12-29,花蓮縣,富里鄉,5,2411,3.00
31014,2022-12-28,花蓮縣,富里鄉,5,2406,2.29
