UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
203,2023-06-14,花蓮縣,新城鄉,1,11343,0.14
776,2023-03-20,花蓮縣,新城鄉,5,11342,9.29
1078,2023-03-19,花蓮縣,新城鄉,12,11337,9.57
1409,2023-03-18,花蓮縣,新城鄉,11,11325,9.00
1753,2023-03-17,花蓮縣,新城鄉,9,11314,8.71
2107,2023-03-16,花蓮縣,新城鄉,11,11305,8.86
2459,2023-03-15,花蓮縣,新城鄉,8,11294,8.43
2809,2023-03-14,花蓮縣,新城鄉,9,11286,9.00
3167,2023-03-13,花蓮縣,新城鄉,7,11277,9.14
3522,2023-03-12,花蓮縣,新城鄉,8,11270,8.71
3872,2023-03-11,花蓮縣,新城鄉,9,11262,8.14
4222,2023-03-10,花蓮縣,新城鄉,10,11253,7.71
4580,2023-03-09,花蓮縣,新城鄉,8,11243,6.86
4936,2023-03-08,花蓮縣,新城鄉,12,11235,7.71
5292,2023-03-07,花蓮縣,新城鄉,10,11223,7.29
5654,2023-03-06,花蓮縣,新城鄉,4,11213,7.14
6012,2023-03-05,花蓮縣,新城鄉,4,11209,8.00
6354,2023-03-04,花蓮縣,新城鄉,6,11205,8.29
6707,2023-03-03,花蓮縣,新城鄉,4,11199,8.86
7068,2023-03-02,花蓮縣,新城鄉,14,11195,11.29
7431,2023-03-01,花蓮縣,新城鄉,9,11181,10.14
7803,2023-02-28,花蓮縣,新城鄉,9,11172,10.86
8169,2023-02-27,花蓮縣,新城鄉,10,11163,11.71
8520,2023-02-26,花蓮縣,新城鄉,6,11153,14.29
8871,2023-02-25,花蓮縣,新城鄉,10,11147,14.71
9239,2023-02-24,花蓮縣,新城鄉,21,11137,15.00
9602,2023-02-23,花蓮縣,新城鄉,6,11116,14.86
9973,2023-02-22,花蓮縣,新城鄉,14,11110,15.71
10347,2023-02-21,花蓮縣,新城鄉,15,11096,16.00
10717,2023-02-20,花蓮縣,新城鄉,28,11081,16.86
11093,2023-02-19,花蓮縣,新城鄉,9,11053,15.43
11454,2023-02-18,花蓮縣,新城鄉,12,11044,16.57
11820,2023-02-17,花蓮縣,新城鄉,20,11032,16.43
12195,2023-02-16,花蓮縣,新城鄉,12,11012,16.14
12569,2023-02-15,花蓮縣,新城鄉,16,11000,16.14
12942,2023-02-14,花蓮縣,新城鄉,21,10984,17.43
13314,2023-02-13,花蓮縣,新城鄉,18,10963,18.00
13692,2023-02-12,花蓮縣,新城鄉,17,10945,18.00
14050,2023-02-11,花蓮縣,新城鄉,11,10928,18.00
14420,2023-02-10,花蓮縣,新城鄉,18,10917,19.14
14795,2023-02-09,花蓮縣,新城鄉,12,10899,19.14
15173,2023-02-08,花蓮縣,新城鄉,25,10887,20.00
15551,2023-02-07,花蓮縣,新城鄉,25,10862,20.57
15930,2023-02-06,花蓮縣,新城鄉,18,10837,20.29
16308,2023-02-05,花蓮縣,新城鄉,17,10819,22.71
16680,2023-02-04,花蓮縣,新城鄉,19,10802,23.00
17060,2023-02-03,花蓮縣,新城鄉,18,10783,23.86
17445,2023-02-02,花蓮縣,新城鄉,18,10765,24.29
17827,2023-02-01,花蓮縣,新城鄉,29,10747,24.57
18206,2023-01-31,花蓮縣,新城鄉,23,10718,22.57
18591,2023-01-30,花蓮縣,新城鄉,35,10695,20.71
18977,2023-01-29,花蓮縣,新城鄉,19,10660,17.00
19355,2023-01-28,花蓮縣,新城鄉,25,10641,15.14
19731,2023-01-27,花蓮縣,新城鄉,21,10616,12.57
20112,2023-01-26,花蓮縣,新城鄉,20,10595,11.14
20485,2023-01-25,花蓮縣,新城鄉,15,10575,9.57
20853,2023-01-24,花蓮縣,新城鄉,10,10560,8.71
21226,2023-01-23,花蓮縣,新城鄉,9,10550,8.86
21594,2023-01-22,花蓮縣,新城鄉,6,10541,8.57
21960,2023-01-21,花蓮縣,新城鄉,7,10535,9.43
22333,2023-01-20,花蓮縣,新城鄉,11,10528,9.57
22699,2023-01-19,花蓮縣,新城鄉,9,10517,9.29
23071,2023-01-18,花蓮縣,新城鄉,9,10508,9.14
23440,2023-01-17,花蓮縣,新城鄉,11,10499,9.29
23805,2023-01-16,花蓮縣,新城鄉,7,10488,10.14
24182,2023-01-15,花蓮縣,新城鄉,12,10481,10.57
24547,2023-01-14,花蓮縣,新城鄉,8,10469,10.14
24913,2023-01-13,花蓮縣,新城鄉,9,10461,11.14
25283,2023-01-12,花蓮縣,新城鄉,8,10452,11.29
25658,2023-01-11,花蓮縣,新城鄉,10,10444,12.00
26033,2023-01-10,花蓮縣,新城鄉,17,10434,13.86
