UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6422,2023-06-14,花蓮縣,玉里鎮,55-59,1094
6423,2023-06-14,花蓮縣,玉里鎮,60-64,1070
6424,2023-06-14,花蓮縣,玉里鎮,65-69,961
6425,2023-06-14,花蓮縣,玉里鎮,45-49,747
6426,2023-06-14,花蓮縣,玉里鎮,40-44,739
6427,2023-06-14,花蓮縣,玉里鎮,35-39,620
6428,2023-06-14,花蓮縣,玉里鎮,15-19,480
6429,2023-06-14,花蓮縣,玉里鎮,25-29,589
6430,2023-06-14,花蓮縣,玉里鎮,30-34,534
6431,2023-06-14,花蓮縣,玉里鎮,50-54,888
6432,2023-06-14,花蓮縣,玉里鎮,70+,1823
6433,2023-06-14,花蓮縣,玉里鎮,3,77
6434,2023-06-14,花蓮縣,玉里鎮,4,85
6435,2023-03-17,花蓮縣,玉里鎮,1,61
6436,2023-03-17,花蓮縣,玉里鎮,20-24,515
6437,2023-03-13,花蓮縣,玉里鎮,5-9,486
6438,2023-03-10,花蓮縣,玉里鎮,2,70
6439,2023-03-08,花蓮縣,玉里鎮,0,66
6440,2023-03-06,花蓮縣,玉里鎮,10-14,450
