UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
227,2023-06-14,花蓮縣,玉里鎮,460,11355,65.71
1121,2023-03-19,花蓮縣,玉里鎮,5,10895,11.43
1455,2023-03-18,花蓮縣,玉里鎮,6,10890,11.14
1804,2023-03-17,花蓮縣,玉里鎮,8,10884,10.71
2152,2023-03-16,花蓮縣,玉里鎮,31,10876,10.86
2508,2023-03-15,花蓮縣,玉里鎮,6,10845,8.29
2858,2023-03-14,花蓮縣,玉里鎮,13,10839,8.57
3214,2023-03-13,花蓮縣,玉里鎮,11,10826,7.71
3569,2023-03-12,花蓮縣,玉里鎮,3,10815,13.86
3920,2023-03-11,花蓮縣,玉里鎮,3,10812,13.86
4270,2023-03-10,花蓮縣,玉里鎮,9,10809,14.14
4627,2023-03-09,花蓮縣,玉里鎮,13,10800,14.43
4982,2023-03-08,花蓮縣,玉里鎮,8,10787,16.00
5338,2023-03-07,花蓮縣,玉里鎮,7,10779,20.00
5704,2023-03-06,花蓮縣,玉里鎮,54,10772,19.86
6058,2023-03-05,花蓮縣,玉里鎮,3,10718,17.29
6400,2023-03-04,花蓮縣,玉里鎮,5,10715,19.43
6753,2023-03-03,花蓮縣,玉里鎮,11,10710,21.43
7116,2023-03-02,花蓮縣,玉里鎮,24,10699,24.57
7480,2023-03-01,花蓮縣,玉里鎮,36,10675,22.71
7852,2023-02-28,花蓮縣,玉里鎮,6,10639,26.71
8216,2023-02-27,花蓮縣,玉里鎮,36,10633,28.29
8564,2023-02-26,花蓮縣,玉里鎮,18,10597,30.43
8920,2023-02-25,花蓮縣,玉里鎮,19,10579,32.14
9287,2023-02-24,花蓮縣,玉里鎮,33,10560,42.29
9652,2023-02-23,花蓮縣,玉里鎮,11,10527,46.29
10023,2023-02-22,花蓮縣,玉里鎮,64,10516,50.00
10396,2023-02-21,花蓮縣,玉里鎮,17,10452,45.86
10768,2023-02-20,花蓮縣,玉里鎮,51,10435,57.86
11138,2023-02-19,花蓮縣,玉里鎮,30,10384,56.71
11502,2023-02-18,花蓮縣,玉里鎮,90,10354,54.71
11869,2023-02-17,花蓮縣,玉里鎮,61,10264,44.86
12244,2023-02-16,花蓮縣,玉里鎮,37,10203,41.86
12618,2023-02-15,花蓮縣,玉里鎮,35,10166,39.14
12994,2023-02-14,花蓮縣,玉里鎮,101,10131,36.43
13364,2023-02-13,花蓮縣,玉里鎮,43,10030,26.71
13738,2023-02-12,花蓮縣,玉里鎮,16,9987,24.57
14102,2023-02-11,花蓮縣,玉里鎮,21,9971,24.86
14471,2023-02-10,花蓮縣,玉里鎮,40,9950,24.86
14843,2023-02-09,花蓮縣,玉里鎮,18,9910,39.71
15225,2023-02-08,花蓮縣,玉里鎮,16,9892,40.29
15603,2023-02-07,花蓮縣,玉里鎮,33,9876,44.57
15982,2023-02-06,花蓮縣,玉里鎮,28,9843,43.00
16358,2023-02-05,花蓮縣,玉里鎮,18,9815,44.00
16733,2023-02-04,花蓮縣,玉里鎮,21,9797,43.57
17111,2023-02-03,花蓮縣,玉里鎮,144,9776,44.43
17497,2023-02-02,花蓮縣,玉里鎮,22,9632,26.14
17878,2023-02-01,花蓮縣,玉里鎮,46,9610,24.57
18259,2023-01-31,花蓮縣,玉里鎮,22,9564,19.43
18644,2023-01-30,花蓮縣,玉里鎮,35,9542,18.29
19030,2023-01-29,花蓮縣,玉里鎮,15,9507,15.29
19407,2023-01-28,花蓮縣,玉里鎮,27,9492,14.71
19784,2023-01-27,花蓮縣,玉里鎮,16,9465,11.86
20164,2023-01-26,花蓮縣,玉里鎮,11,9449,11.43
20534,2023-01-25,花蓮縣,玉里鎮,10,9438,13.00
20903,2023-01-24,花蓮縣,玉里鎮,14,9428,13.43
21274,2023-01-23,花蓮縣,玉里鎮,14,9414,12.14
21644,2023-01-22,花蓮縣,玉里鎮,11,9400,14.29
22012,2023-01-21,花蓮縣,玉里鎮,7,9389,13.14
22382,2023-01-20,花蓮縣,玉里鎮,13,9382,13.57
22750,2023-01-19,花蓮縣,玉里鎮,22,9369,12.57
23122,2023-01-18,花蓮縣,玉里鎮,13,9347,10.14
23488,2023-01-17,花蓮縣,玉里鎮,5,9334,8.43
23855,2023-01-16,花蓮縣,玉里鎮,29,9329,9.00
24231,2023-01-15,花蓮縣,玉里鎮,3,9300,7.00
