UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
226,2023-06-14,花蓮縣,瑞穗鄉,2,3162,0.29
814,2023-03-20,花蓮縣,瑞穗鄉,1,3160,1.57
1120,2023-03-19,花蓮縣,瑞穗鄉,3,3159,1.57
1803,2023-03-17,花蓮縣,瑞穗鄉,1,3156,1.57
2151,2023-03-16,花蓮縣,瑞穗鄉,3,3155,2.14
2857,2023-03-14,花蓮縣,瑞穗鄉,3,3152,2.57
3213,2023-03-13,花蓮縣,瑞穗鄉,1,3149,2.71
3919,2023-03-11,花蓮縣,瑞穗鄉,3,3148,4.43
4269,2023-03-10,花蓮縣,瑞穗鄉,5,3145,4.71
4626,2023-03-09,花蓮縣,瑞穗鄉,2,3140,4.57
4981,2023-03-08,花蓮縣,瑞穗鄉,4,3138,6.00
5337,2023-03-07,花蓮縣,瑞穗鄉,4,3134,6.43
5703,2023-03-06,花蓮縣,瑞穗鄉,10,3130,6.14
6057,2023-03-05,花蓮縣,瑞穗鄉,3,3120,5.00
6399,2023-03-04,花蓮縣,瑞穗鄉,5,3117,4.57
6752,2023-03-03,花蓮縣,瑞穗鄉,4,3112,3.86
7115,2023-03-02,花蓮縣,瑞穗鄉,12,3108,3.57
7479,2023-03-01,花蓮縣,瑞穗鄉,7,3096,2.14
7851,2023-02-28,花蓮縣,瑞穗鄉,2,3089,1.57
8215,2023-02-27,花蓮縣,瑞穗鄉,2,3087,1.57
9286,2023-02-24,花蓮縣,瑞穗鄉,2,3085,2.57
9651,2023-02-23,花蓮縣,瑞穗鄉,2,3083,3.29
10022,2023-02-22,花蓮縣,瑞穗鄉,3,3081,3.43
10395,2023-02-21,花蓮縣,瑞穗鄉,2,3078,3.71
10767,2023-02-20,花蓮縣,瑞穗鄉,4,3076,4.43
11137,2023-02-19,花蓮縣,瑞穗鄉,4,3072,5.14
11501,2023-02-18,花蓮縣,瑞穗鄉,1,3068,5.00
11868,2023-02-17,花蓮縣,瑞穗鄉,7,3067,5.43
12243,2023-02-16,花蓮縣,瑞穗鄉,3,3060,4.71
12617,2023-02-15,花蓮縣,瑞穗鄉,5,3057,4.71
12993,2023-02-14,花蓮縣,瑞穗鄉,7,3052,4.71
13363,2023-02-13,花蓮縣,瑞穗鄉,9,3045,5.00
13737,2023-02-12,花蓮縣,瑞穗鄉,3,3036,4.71
14101,2023-02-11,花蓮縣,瑞穗鄉,4,3033,4.86
14470,2023-02-10,花蓮縣,瑞穗鄉,2,3029,5.43
14842,2023-02-09,花蓮縣,瑞穗鄉,3,3027,6.14
15224,2023-02-08,花蓮縣,瑞穗鄉,5,3024,6.57
15602,2023-02-07,花蓮縣,瑞穗鄉,9,3019,7.14
15981,2023-02-06,花蓮縣,瑞穗鄉,7,3010,6.71
16357,2023-02-05,花蓮縣,瑞穗鄉,4,3003,7.57
16732,2023-02-04,花蓮縣,瑞穗鄉,8,2999,7.86
17110,2023-02-03,花蓮縣,瑞穗鄉,7,2991,7.86
17496,2023-02-02,花蓮縣,瑞穗鄉,6,2984,7.86
17877,2023-02-01,花蓮縣,瑞穗鄉,9,2978,7.86
18258,2023-01-31,花蓮縣,瑞穗鄉,6,2969,7.43
