UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
202,2023-06-14,花蓮縣,秀林鄉,1,7539,0.14
775,2023-03-20,花蓮縣,秀林鄉,3,7538,1.57
1408,2023-03-18,花蓮縣,秀林鄉,1,7535,1.86
2458,2023-03-15,花蓮縣,秀林鄉,3,7534,3.00
2808,2023-03-14,花蓮縣,秀林鄉,4,7531,3.14
3166,2023-03-13,花蓮縣,秀林鄉,3,7527,2.86
3521,2023-03-12,花蓮縣,秀林鄉,2,7524,2.43
3871,2023-03-11,花蓮縣,秀林鄉,3,7522,2.43
4221,2023-03-10,花蓮縣,秀林鄉,3,7519,2.43
4579,2023-03-09,花蓮縣,秀林鄉,3,7516,2.57
4935,2023-03-08,花蓮縣,秀林鄉,4,7513,3.29
5291,2023-03-07,花蓮縣,秀林鄉,2,7509,3.71
6011,2023-03-05,花蓮縣,秀林鄉,2,7507,5.29
6353,2023-03-04,花蓮縣,秀林鄉,3,7505,5.43
6706,2023-03-03,花蓮縣,秀林鄉,4,7502,5.71
7067,2023-03-02,花蓮縣,秀林鄉,8,7498,6.00
7430,2023-03-01,花蓮縣,秀林鄉,7,7490,5.57
7802,2023-02-28,花蓮縣,秀林鄉,10,7483,4.86
8168,2023-02-27,花蓮縣,秀林鄉,3,7473,4.43
8519,2023-02-26,花蓮縣,秀林鄉,3,7470,4.57
8870,2023-02-25,花蓮縣,秀林鄉,5,7467,5.00
9238,2023-02-24,花蓮縣,秀林鄉,6,7462,4.86
9601,2023-02-23,花蓮縣,秀林鄉,5,7456,4.71
9972,2023-02-22,花蓮縣,秀林鄉,2,7451,5.00
10346,2023-02-21,花蓮縣,秀林鄉,7,7449,5.14
10716,2023-02-20,花蓮縣,秀林鄉,4,7442,5.00
11092,2023-02-19,花蓮縣,秀林鄉,6,7438,6.57
11453,2023-02-18,花蓮縣,秀林鄉,4,7432,6.86
11819,2023-02-17,花蓮縣,秀林鄉,5,7428,7.00
12194,2023-02-16,花蓮縣,秀林鄉,7,7423,7.00
