UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
460,2023-03-20,花蓮縣,花蓮市,1,72,0.14
1234,2023-03-03,花蓮縣,花蓮市,1,71,0.29
1444,2023-02-27,花蓮縣,花蓮市,1,70,0.29
1746,2023-02-22,花蓮縣,花蓮市,1,69,0.29
2083,2023-02-16,花蓮縣,花蓮市,1,68,0.29
2403,2023-02-11,花蓮縣,花蓮市,1,67,0.43
2599,2023-02-08,花蓮縣,花蓮市,1,66,0.43
2682,2023-02-07,花蓮縣,花蓮市,1,65,0.29
2916,2023-02-03,花蓮縣,花蓮市,1,64,0.14
3549,2023-01-23,花蓮縣,花蓮市,1,63,0.14
4187,2023-01-10,花蓮縣,花蓮市,1,62,0.29
4245,2023-01-09,花蓮縣,花蓮市,1,61,0.14
5029,2022-12-23,花蓮縣,花蓮市,1,60,0.14
5633,2022-12-07,花蓮縣,花蓮市,1,59,0.14
6177,2022-11-23,花蓮縣,花蓮市,1,58,0.29
6374,2022-11-19,花蓮縣,花蓮市,1,57,0.14
7088,2022-11-06,花蓮縣,花蓮市,1,56,0.43
7264,2022-11-03,花蓮縣,花蓮市,1,55,0.29
7315,2022-11-02,花蓮縣,花蓮市,1,54,0.14
8063,2022-10-22,花蓮縣,花蓮市,1,53,0.43
8283,2022-10-19,花蓮縣,花蓮市,1,52,0.29
8345,2022-10-18,花蓮縣,花蓮市,1,51,0.29
8774,2022-10-12,花蓮縣,花蓮市,1,50,0.14
9310,2022-10-04,花蓮縣,花蓮市,1,49,0.29
9515,2022-10-01,花蓮縣,花蓮市,1,48,0.14
10048,2022-09-22,花蓮縣,花蓮市,2,47,0.57
10164,2022-09-20,花蓮縣,花蓮市,1,45,0.29
10369,2022-09-16,花蓮縣,花蓮市,1,44,0.29
10539,2022-09-13,花蓮縣,花蓮市,1,43,0.29
10745,2022-09-09,花蓮縣,花蓮市,1,42,0.29
10961,2022-09-04,花蓮縣,花蓮市,1,41,0.43
11054,2022-09-02,花蓮縣,花蓮市,2,40,0.29
11331,2022-08-26,花蓮縣,花蓮市,1,38,0.43
11481,2022-08-22,花蓮縣,花蓮市,1,37,0.43
11523,2022-08-21,花蓮縣,花蓮市,1,36,0.29
11658,2022-08-17,花蓮縣,花蓮市,1,35,0.14
12126,2022-08-05,花蓮縣,花蓮市,1,34,0.43
12163,2022-08-04,花蓮縣,花蓮市,1,33,0.29
12310,2022-08-01,花蓮縣,花蓮市,1,32,0.29
12568,2022-07-27,花蓮縣,花蓮市,1,31,0.14
13501,2022-07-12,花蓮縣,花蓮市,1,30,0.14
14292,2022-07-02,花蓮縣,花蓮市,1,29,0.86
14380,2022-07-01,花蓮縣,花蓮市,1,28,0.71
14472,2022-06-30,花蓮縣,花蓮市,2,27,0.86
14671,2022-06-28,花蓮縣,花蓮市,1,25,0.71
14876,2022-06-26,花蓮縣,花蓮市,1,24,0.71
15063,2022-06-24,花蓮縣,花蓮市,2,23,0.57
15157,2022-06-23,花蓮縣,花蓮市,1,21,0.43
15387,2022-06-21,花蓮縣,花蓮市,1,20,0.29
15854,2022-06-17,花蓮縣,花蓮市,1,19,0.43
16490,2022-06-12,花蓮縣,花蓮市,1,18,0.57
16610,2022-06-11,花蓮縣,花蓮市,1,17,0.43
16973,2022-06-08,花蓮縣,花蓮市,1,16,0.29
17105,2022-06-07,花蓮縣,花蓮市,1,15,0.43
17825,2022-06-01,花蓮縣,花蓮市,2,14,0.43
18082,2022-05-30,花蓮縣,花蓮市,1,12,0.29
18706,2022-05-24,花蓮縣,花蓮市,1,11,0.71
18889,2022-05-22,花蓮縣,花蓮市,1,10,0.57
18977,2022-05-21,花蓮縣,花蓮市,1,9,0.43
19059,2022-05-20,花蓮縣,花蓮市,1,8,0.43
19201,2022-05-18,花蓮縣,花蓮市,1,7,0.29
19446,2022-05-14,花蓮縣,花蓮市,1,6,0.29
19581,2022-05-11,花蓮縣,花蓮市,1,5,0.29
19744,2022-05-05,花蓮縣,花蓮市,1,4,0.29
19760,2022-05-04,花蓮縣,花蓮市,1,3,0.14
20287,2021-06-23,花蓮縣,花蓮市,1,2,0.29
20312,2021-06-21,花蓮縣,花蓮市,1,1,0.14
