UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
6346,2023-06-14,花蓮縣,萬榮鄉,5-9,183
6347,2023-03-13,花蓮縣,萬榮鄉,45-49,122
6348,2023-03-13,花蓮縣,萬榮鄉,20-24,182
6349,2023-03-12,花蓮縣,萬榮鄉,70+,143
6350,2023-03-12,花蓮縣,萬榮鄉,50-54,137
6351,2023-03-10,花蓮縣,萬榮鄉,40-44,143
6352,2023-03-10,花蓮縣,萬榮鄉,55-59,155
6353,2023-03-03,花蓮縣,萬榮鄉,2,30
6354,2023-03-03,花蓮縣,萬榮鄉,25-29,213
6355,2023-03-03,花蓮縣,萬榮鄉,4,25
6356,2023-03-03,花蓮縣,萬榮鄉,30-34,158
6357,2023-02-27,花蓮縣,萬榮鄉,35-39,141
6358,2023-02-25,花蓮縣,萬榮鄉,60-64,163
6359,2023-02-16,花蓮縣,萬榮鄉,65-69,99
6360,2023-02-13,花蓮縣,萬榮鄉,1,28
6361,2023-02-11,花蓮縣,萬榮鄉,10-14,176
6362,2023-02-09,花蓮縣,萬榮鄉,0,26
6363,2023-02-06,花蓮縣,萬榮鄉,15-19,184
6364,2022-10-15,花蓮縣,萬榮鄉,3,27
