UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
235,2023-06-14,花蓮縣,萬榮鄉,1,2335,0.14
3223,2023-03-13,花蓮縣,萬榮鄉,2,2334,0.86
3578,2023-03-12,花蓮縣,萬榮鄉,2,2332,0.57
4281,2023-03-10,花蓮縣,萬榮鄉,2,2330,0.43
6067,2023-03-05,花蓮縣,萬榮鄉,1,2328,1.86
6764,2023-03-03,花蓮縣,萬榮鄉,7,2327,2.00
7127,2023-03-02,花蓮縣,萬榮鄉,1,2320,1.00
7491,2023-03-01,花蓮縣,萬榮鄉,1,2319,1.43
7863,2023-02-28,花蓮縣,萬榮鄉,1,2318,1.57
8226,2023-02-27,花蓮縣,萬榮鄉,2,2317,1.86
8930,2023-02-25,花蓮縣,萬榮鄉,2,2315,2.14
9663,2023-02-23,花蓮縣,萬榮鄉,4,2313,2.14
10034,2023-02-22,花蓮縣,萬榮鄉,2,2309,1.86
10406,2023-02-21,花蓮縣,萬榮鄉,3,2307,1.86
10778,2023-02-20,花蓮縣,萬榮鄉,3,2304,1.71
11148,2023-02-19,花蓮縣,萬榮鄉,1,2301,2.71
11513,2023-02-18,花蓮縣,萬榮鄉,1,2300,3.14
11880,2023-02-17,花蓮縣,萬榮鄉,1,2299,4.14
12254,2023-02-16,花蓮縣,萬榮鄉,2,2298,4.29
12629,2023-02-15,花蓮縣,萬榮鄉,2,2296,4.71
13004,2023-02-14,花蓮縣,萬榮鄉,2,2294,4.57
13375,2023-02-13,花蓮縣,萬榮鄉,10,2292,5.00
13749,2023-02-12,花蓮縣,萬榮鄉,4,2282,4.29
14112,2023-02-11,花蓮縣,萬榮鄉,8,2278,4.00
14482,2023-02-10,花蓮縣,萬榮鄉,2,2270,2.86
14854,2023-02-09,花蓮縣,萬榮鄉,5,2268,2.57
15236,2023-02-08,花蓮縣,萬榮鄉,1,2263,2.29
15614,2023-02-07,花蓮縣,萬榮鄉,5,2262,2.71
15993,2023-02-06,花蓮縣,萬榮鄉,5,2257,2.57
16369,2023-02-05,花蓮縣,萬榮鄉,2,2252,2.71
17508,2023-02-02,花蓮縣,萬榮鄉,3,2250,4.29
17889,2023-02-01,花蓮縣,萬榮鄉,4,2247,3.86
18270,2023-01-31,花蓮縣,萬榮鄉,4,2243,3.43
18655,2023-01-30,花蓮縣,萬榮鄉,6,2239,3.00
19418,2023-01-28,花蓮縣,萬榮鄉,8,2233,2.14
19795,2023-01-27,花蓮縣,萬榮鄉,5,2225,1.00
20545,2023-01-25,花蓮縣,萬榮鄉,1,2220,0.29
20914,2023-01-24,花蓮縣,萬榮鄉,1,2219,0.29
23131,2023-01-18,花蓮縣,萬榮鄉,1,2218,1.14
23499,2023-01-17,花蓮縣,萬榮鄉,1,2217,1.57
23866,2023-01-16,花蓮縣,萬榮鄉,2,2216,1.57
24975,2023-01-13,花蓮縣,萬榮鄉,2,2214,1.43
25347,2023-01-12,花蓮縣,萬榮鄉,2,2212,1.43
25718,2023-01-11,花蓮縣,萬榮鄉,4,2210,1.14
26095,2023-01-10,花蓮縣,萬榮鄉,1,2206,1.29
26469,2023-01-09,花蓮縣,萬榮鄉,1,2205,1.29
27574,2023-01-06,花蓮縣,萬榮鄉,2,2204,1.71
28333,2023-01-04,花蓮縣,萬榮鄉,5,2202,1.57
28715,2023-01-03,花蓮縣,萬榮鄉,1,2197,1.00
29095,2023-01-02,花蓮縣,萬榮鄉,1,2196,1.43
29825,2022-12-31,花蓮縣,萬榮鄉,3,2195,1.57
30193,2022-12-30,花蓮縣,萬榮鄉,1,2192,1.14
30938,2022-12-28,花蓮縣,萬榮鄉,1,2191,1.29
31310,2022-12-27,花蓮縣,萬榮鄉,4,2190,1.29
31684,2022-12-26,花蓮縣,萬榮鄉,2,2186,0.71
32766,2022-12-23,花蓮縣,萬榮鄉,2,2184,0.43
33500,2022-12-21,花蓮縣,萬榮鄉,1,2182,1.14
35315,2022-12-16,花蓮縣,萬榮鄉,4,2181,2.29
35677,2022-12-15,花蓮縣,萬榮鄉,3,2177,1.86
36042,2022-12-14,花蓮縣,萬榮鄉,4,2174,2.00
36407,2022-12-13,花蓮縣,萬榮鄉,2,2170,1.57
36784,2022-12-12,花蓮縣,萬榮鄉,2,2168,1.71
37505,2022-12-10,花蓮縣,萬榮鄉,1,2166,2.14
37871,2022-12-09,花蓮縣,萬榮鄉,1,2165,2.00
38241,2022-12-08,花蓮縣,萬榮鄉,4,2164,1.86
38615,2022-12-07,花蓮縣,萬榮鄉,1,2160,1.71
38981,2022-12-06,花蓮縣,萬榮鄉,3,2159,1.71
39357,2022-12-05,花蓮縣,萬榮鄉,4,2156,1.43
39732,2022-12-04,花蓮縣,萬榮鄉,1,2152,1.00
40835,2022-12-01,花蓮縣,萬榮鄉,3,2151,1.00
41207,2022-11-30,花蓮縣,萬榮鄉,1,2148,0.71
41582,2022-11-29,花蓮縣,萬榮鄉,1,2147,1.00
41960,2022-11-28,花蓮縣,萬榮鄉,1,2146,1.29
42690,2022-11-26,花蓮縣,萬榮鄉,1,2145,1.43
43423,2022-11-24,花蓮縣,萬榮鄉,1,2144,1.43
43792,2022-11-23,花蓮縣,萬榮鄉,3,2143,1.43
44165,2022-11-22,花蓮縣,萬榮鄉,3,2140,1.14
44543,2022-11-21,花蓮縣,萬榮鄉,1,2137,0.71
44920,2022-11-20,花蓮縣,萬榮鄉,1,2136,0.57
45658,2022-11-18,花蓮縣,萬榮鄉,1,2135,0.57
46031,2022-11-17,花蓮縣,萬榮鄉,1,2134,0.71
46405,2022-11-16,花蓮縣,萬榮鄉,1,2133,0.86
47916,2022-11-12,花蓮縣,萬榮鄉,1,2132,2.14
48294,2022-11-11,花蓮縣,萬榮鄉,2,2131,2.14
48673,2022-11-10,花蓮縣,萬榮鄉,2,2129,2.29
49057,2022-11-09,花蓮縣,萬榮鄉,5,2127,2.14
49443,2022-11-08,花蓮縣,萬榮鄉,1,2122,2.14
49828,2022-11-07,花蓮縣,萬榮鄉,3,2121,2.43
50206,2022-11-06,花蓮縣,萬榮鄉,1,2118,2.14
50576,2022-11-05,花蓮縣,萬榮鄉,1,2117,2.14
50959,2022-11-04,花蓮縣,萬榮鄉,3,2116,2.71
51342,2022-11-03,花蓮縣,萬榮鄉,1,2113,2.57
51722,2022-11-02,花蓮縣,萬榮鄉,5,2112,2.86
52109,2022-11-01,花蓮縣,萬榮鄉,3,2107,2.57
52492,2022-10-31,花蓮縣,萬榮鄉,1,2104,2.71
52875,2022-10-30,花蓮縣,萬榮鄉,1,2103,2.86
53252,2022-10-29,花蓮縣,萬榮鄉,5,2102,2.86
53636,2022-10-28,花蓮縣,萬榮鄉,2,2097,2.29
54022,2022-10-27,花蓮縣,萬榮鄉,3,2095,2.71
54407,2022-10-26,花蓮縣,萬榮鄉,3,2092,2.29
54793,2022-10-25,花蓮縣,萬榮鄉,4,2089,2.14
55184,2022-10-24,花蓮縣,萬榮鄉,2,2085,2.71
55569,2022-10-23,花蓮縣,萬榮鄉,1,2083,3.00
