UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1793,2023-03-17,花蓮縣,豐濱鄉,1,993,0.14
12983,2023-02-14,花蓮縣,豐濱鄉,1,992,0.43
14091,2023-02-11,花蓮縣,豐濱鄉,1,991,0.57
15213,2023-02-08,花蓮縣,豐濱鄉,1,990,0.86
15591,2023-02-07,花蓮縣,豐濱鄉,2,989,0.71
16721,2023-02-04,花蓮縣,豐濱鄉,1,987,1.14
17486,2023-02-02,花蓮縣,豐濱鄉,2,986,2.57
18247,2023-01-31,花蓮縣,豐濱鄉,1,984,2.86
18632,2023-01-30,花蓮縣,豐濱鄉,3,983,2.71
19018,2023-01-29,花蓮縣,豐濱鄉,1,980,2.29
19396,2023-01-28,花蓮縣,豐濱鄉,3,979,2.57
19772,2023-01-27,花蓮縣,豐濱鄉,8,976,2.29
20153,2023-01-26,花蓮縣,豐濱鄉,3,968,1.14
20524,2023-01-25,花蓮縣,豐濱鄉,1,965,0.86
21633,2023-01-22,花蓮縣,豐濱鄉,3,964,1.57
22001,2023-01-21,花蓮縣,豐濱鄉,1,961,1.29
22739,2023-01-19,花蓮縣,豐濱鄉,1,960,1.71
23112,2023-01-18,花蓮縣,豐濱鄉,2,959,1.71
23477,2023-01-17,花蓮縣,豐濱鄉,1,957,1.57
23844,2023-01-16,花蓮縣,豐濱鄉,3,956,1.57
24222,2023-01-15,花蓮縣,豐濱鄉,1,953,1.29
24586,2023-01-14,花蓮縣,豐濱鄉,2,952,1.57
24953,2023-01-13,花蓮縣,豐濱鄉,2,950,1.29
25324,2023-01-12,花蓮縣,豐濱鄉,1,948,1.00
25697,2023-01-11,花蓮縣,豐濱鄉,1,947,1.00
26073,2023-01-10,花蓮縣,豐濱鄉,1,946,1.43
26447,2023-01-09,花蓮縣,豐濱鄉,1,945,1.71
26821,2023-01-08,花蓮縣,豐濱鄉,3,944,1.86
27931,2023-01-05,花蓮縣,豐濱鄉,1,941,1.86
28310,2023-01-04,花蓮縣,豐濱鄉,4,940,1.71
28692,2023-01-03,花蓮縣,豐濱鄉,3,936,1.14
29072,2023-01-02,花蓮縣,豐濱鄉,2,933,0.86
29444,2023-01-01,花蓮縣,豐濱鄉,2,931,0.71
29804,2022-12-31,花蓮縣,豐濱鄉,1,929,0.43
31287,2022-12-27,花蓮縣,豐濱鄉,1,928,0.57
31662,2022-12-26,花蓮縣,豐濱鄉,1,927,0.43
33114,2022-12-22,花蓮縣,豐濱鄉,2,926,0.43
35292,2022-12-16,花蓮縣,豐濱鄉,1,924,1.14
35655,2022-12-15,花蓮縣,豐濱鄉,2,923,1.00
