UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
238,2023-06-14,花蓮縣,鳳林鎮,28,3357,4.00
1135,2023-03-19,花蓮縣,鳳林鎮,1,3329,2.00
1818,2023-03-17,花蓮縣,鳳林鎮,1,3328,2.71
2167,2023-03-16,花蓮縣,鳳林鎮,5,3327,3.00
2521,2023-03-15,花蓮縣,鳳林鎮,1,3322,2.86
2872,2023-03-14,花蓮縣,鳳林鎮,3,3321,2.86
3229,2023-03-13,花蓮縣,鳳林鎮,3,3318,3.00
3934,2023-03-11,花蓮縣,鳳林鎮,6,3315,3.57
4286,2023-03-10,花蓮縣,鳳林鎮,3,3309,3.29
4642,2023-03-09,花蓮縣,鳳林鎮,4,3306,3.00
4998,2023-03-08,花蓮縣,鳳林鎮,1,3302,2.86
5352,2023-03-07,花蓮縣,鳳林鎮,4,3301,3.29
5718,2023-03-06,花蓮縣,鳳林鎮,4,3297,2.86
6072,2023-03-05,花蓮縣,鳳林鎮,3,3293,2.29
6415,2023-03-04,花蓮縣,鳳林鎮,4,3290,1.86
6770,2023-03-03,花蓮縣,鳳林鎮,1,3286,2.14
7132,2023-03-02,花蓮縣,鳳林鎮,3,3285,3.29
7497,2023-03-01,花蓮縣,鳳林鎮,4,3282,3.14
7868,2023-02-28,花蓮縣,鳳林鎮,1,3278,2.71
8936,2023-02-25,花蓮縣,鳳林鎮,6,3277,4.00
9303,2023-02-24,花蓮縣,鳳林鎮,9,3271,3.29
9668,2023-02-23,花蓮縣,鳳林鎮,2,3262,2.43
10039,2023-02-22,花蓮縣,鳳林鎮,1,3260,2.14
10412,2023-02-21,花蓮縣,鳳林鎮,3,3259,2.29
10784,2023-02-20,花蓮縣,鳳林鎮,5,3256,2.57
11154,2023-02-19,花蓮縣,鳳林鎮,2,3251,2.29
11518,2023-02-18,花蓮縣,鳳林鎮,1,3249,2.29
11886,2023-02-17,花蓮縣,鳳林鎮,3,3248,2.29
12635,2023-02-15,花蓮縣,鳳林鎮,2,3245,4.43
13010,2023-02-14,花蓮縣,鳳林鎮,5,3243,4.57
13381,2023-02-13,花蓮縣,鳳林鎮,3,3238,4.57
13755,2023-02-12,花蓮縣,鳳林鎮,2,3235,5.43
14117,2023-02-11,花蓮縣,鳳林鎮,1,3233,5.86
14487,2023-02-10,花蓮縣,鳳林鎮,8,3232,7.14
14860,2023-02-09,花蓮縣,鳳林鎮,10,3224,7.57
15241,2023-02-08,花蓮縣,鳳林鎮,3,3214,7.43
15619,2023-02-07,花蓮縣,鳳林鎮,5,3211,7.86
15999,2023-02-06,花蓮縣,鳳林鎮,9,3206,8.00
16374,2023-02-05,花蓮縣,鳳林鎮,5,3197,8.00
16748,2023-02-04,花蓮縣,鳳林鎮,10,3192,7.43
17127,2023-02-03,花蓮縣,鳳林鎮,11,3182,7.43
17514,2023-02-02,花蓮縣,鳳林鎮,9,3171,7.57
17894,2023-02-01,花蓮縣,鳳林鎮,6,3162,7.86
18276,2023-01-31,花蓮縣,鳳林鎮,6,3156,7.57
18661,2023-01-30,花蓮縣,鳳林鎮,9,3150,7.71
19046,2023-01-29,花蓮縣,鳳林鎮,1,3141,7.43
19424,2023-01-28,花蓮縣,鳳林鎮,10,3140,8.29
19800,2023-01-27,花蓮縣,鳳林鎮,12,3130,7.86
20179,2023-01-26,花蓮縣,鳳林鎮,11,3118,7.86
20550,2023-01-25,花蓮縣,鳳林鎮,4,3107,7.29
20920,2023-01-24,花蓮縣,鳳林鎮,7,3103,7.71
21288,2023-01-23,花蓮縣,鳳林鎮,7,3096,7.14
21660,2023-01-22,花蓮縣,鳳林鎮,7,3089,7.71
22027,2023-01-21,花蓮縣,鳳林鎮,7,3082,7.29
22397,2023-01-20,花蓮縣,鳳林鎮,12,3075,6.71
22765,2023-01-19,花蓮縣,鳳林鎮,7,3063,5.29
23136,2023-01-18,花蓮縣,鳳林鎮,7,3056,4.57
23503,2023-01-17,花蓮縣,鳳林鎮,3,3049,3.86
23871,2023-01-16,花蓮縣,鳳林鎮,11,3046,4.00
24245,2023-01-15,花蓮縣,鳳林鎮,4,3035,3.14
24612,2023-01-14,花蓮縣,鳳林鎮,3,3031,3.00
24980,2023-01-13,花蓮縣,鳳林鎮,2,3028,3.00
25352,2023-01-12,花蓮縣,鳳林鎮,2,3026,3.57
25723,2023-01-11,花蓮縣,鳳林鎮,2,3024,3.71
26101,2023-01-10,花蓮縣,鳳林鎮,4,3022,3.71
26475,2023-01-09,花蓮縣,鳳林鎮,5,3018,3.71
26844,2023-01-08,花蓮縣,鳳林鎮,3,3013,3.57
27206,2023-01-07,花蓮縣,鳳林鎮,3,3010,3.43
27580,2023-01-06,花蓮縣,鳳林鎮,6,3007,3.71
27959,2023-01-05,花蓮縣,鳳林鎮,3,3001,4.14
28339,2023-01-04,花蓮縣,鳳林鎮,2,2998,4.14
28721,2023-01-03,花蓮縣,鳳林鎮,4,2996,3.86
29100,2023-01-02,花蓮縣,鳳林鎮,4,2992,3.71
29470,2023-01-01,花蓮縣,鳳林鎮,2,2988,3.86
29830,2022-12-31,花蓮縣,鳳林鎮,5,2986,3.71
30197,2022-12-30,花蓮縣,鳳林鎮,9,2981,3.29
30571,2022-12-29,花蓮縣,鳳林鎮,3,2972,2.43
31316,2022-12-27,花蓮縣,鳳林鎮,3,2969,3.43
31690,2022-12-26,花蓮縣,鳳林鎮,5,2966,3.86
32053,2022-12-25,花蓮縣,鳳林鎮,1,2961,3.43
32414,2022-12-24,花蓮縣,鳳林鎮,2,2960,3.43
32772,2022-12-23,花蓮縣,鳳林鎮,3,2958,3.86
33138,2022-12-22,花蓮縣,鳳林鎮,6,2955,3.86
33504,2022-12-21,花蓮縣,鳳林鎮,4,2949,3.57
33872,2022-12-20,花蓮縣,鳳林鎮,6,2945,3.29
34238,2022-12-19,花蓮縣,鳳林鎮,2,2939,2.43
34600,2022-12-18,花蓮縣,鳳林鎮,1,2937,3.00
34953,2022-12-17,花蓮縣,鳳林鎮,5,2936,3.43
35321,2022-12-16,花蓮縣,鳳林鎮,3,2931,3.86
35682,2022-12-15,花蓮縣,鳳林鎮,4,2928,3.57
36046,2022-12-14,花蓮縣,鳳林鎮,2,2924,3.71
36790,2022-12-12,花蓮縣,鳳林鎮,6,2922,4.43
37149,2022-12-11,花蓮縣,鳳林鎮,4,2916,5.00
37511,2022-12-10,花蓮縣,鳳林鎮,8,2912,5.00
37876,2022-12-09,花蓮縣,鳳林鎮,1,2904,4.29
38247,2022-12-08,花蓮縣,鳳林鎮,5,2903,5.14
38621,2022-12-07,花蓮縣,鳳林鎮,4,2898,5.00
38986,2022-12-06,花蓮縣,鳳林鎮,3,2894,4.71
39363,2022-12-05,花蓮縣,鳳林鎮,10,2891,4.86
39738,2022-12-04,花蓮縣,鳳林鎮,4,2881,4.14
40104,2022-12-03,花蓮縣,鳳林鎮,3,2877,4.14
40471,2022-12-02,花蓮縣,鳳林鎮,7,2874,4.43
40840,2022-12-01,花蓮縣,鳳林鎮,4,2867,3.57
41213,2022-11-30,花蓮縣,鳳林鎮,2,2863,3.71
41588,2022-11-29,花蓮縣,鳳林鎮,4,2861,4.00
41966,2022-11-28,花蓮縣,鳳林鎮,5,2857,4.00
42339,2022-11-27,花蓮縣,鳳林鎮,4,2852,3.86
42694,2022-11-26,花蓮縣,鳳林鎮,5,2848,3.71
43059,2022-11-25,花蓮縣,鳳林鎮,1,2843,3.29
43429,2022-11-24,花蓮縣,鳳林鎮,5,2842,3.57
43797,2022-11-23,花蓮縣,鳳林鎮,4,2837,3.00
44170,2022-11-22,花蓮縣,鳳林鎮,4,2833,3.29
44549,2022-11-21,花蓮縣,鳳林鎮,4,2829,4.86
44925,2022-11-20,花蓮縣,鳳林鎮,3,2825,5.14
45292,2022-11-19,花蓮縣,鳳林鎮,2,2822,4.86
45662,2022-11-18,花蓮縣,鳳林鎮,3,2820,5.14
46035,2022-11-17,花蓮縣,鳳林鎮,1,2817,4.71
