UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1017,2023-03-19,苗栗縣,三灣鄉,1,2033,1.29
1687,2023-03-17,苗栗縣,三灣鄉,2,2032,1.86
2040,2023-03-16,苗栗縣,三灣鄉,1,2030,2.29
2392,2023-03-15,苗栗縣,三灣鄉,2,2029,2.86
3099,2023-03-13,苗栗縣,三灣鄉,3,2027,2.86
3458,2023-03-12,苗栗縣,三灣鄉,1,2024,2.86
3805,2023-03-11,苗栗縣,三灣鄉,4,2023,2.71
4156,2023-03-10,苗栗縣,三灣鄉,5,2019,2.43
4512,2023-03-09,苗栗縣,三灣鄉,5,2014,2.29
5224,2023-03-07,苗栗縣,三灣鄉,2,2009,2.43
5585,2023-03-06,苗栗縣,三灣鄉,3,2007,2.43
6286,2023-03-04,苗栗縣,三灣鄉,2,2004,2.43
6641,2023-03-03,苗栗縣,三灣鄉,4,2002,2.57
6999,2023-03-02,苗栗縣,三灣鄉,4,1998,2.29
7364,2023-03-01,苗栗縣,三灣鄉,2,1994,2.14
7734,2023-02-28,苗栗縣,三灣鄉,2,1992,2.43
8098,2023-02-27,苗栗縣,三灣鄉,2,1990,2.86
8456,2023-02-26,苗栗縣,三灣鄉,1,1988,2.86
8801,2023-02-25,苗栗縣,三灣鄉,3,1987,2.86
9171,2023-02-24,苗栗縣,三灣鄉,2,1984,3.14
9532,2023-02-23,苗栗縣,三灣鄉,3,1982,4.14
9903,2023-02-22,苗栗縣,三灣鄉,4,1979,4.71
10277,2023-02-21,苗栗縣,三灣鄉,5,1975,5.00
10647,2023-02-20,苗栗縣,三灣鄉,2,1970,4.57
11025,2023-02-19,苗栗縣,三灣鄉,1,1968,5.14
11385,2023-02-18,苗栗縣,三灣鄉,5,1967,5.71
11751,2023-02-17,苗栗縣,三灣鄉,9,1962,5.14
12124,2023-02-16,苗栗縣,三灣鄉,7,1953,4.14
12498,2023-02-15,苗栗縣,三灣鄉,6,1946,3.57
12872,2023-02-14,苗栗縣,三灣鄉,2,1940,3.14
13244,2023-02-13,苗栗縣,三灣鄉,6,1938,3.43
13622,2023-02-12,苗栗縣,三灣鄉,5,1932,3.43
13980,2023-02-11,苗栗縣,三灣鄉,1,1927,2.86
14352,2023-02-10,苗栗縣,三灣鄉,2,1926,3.29
14725,2023-02-09,苗栗縣,三灣鄉,3,1924,4.00
15102,2023-02-08,苗栗縣,三灣鄉,3,1921,4.00
15481,2023-02-07,苗栗縣,三灣鄉,4,1918,4.29
15860,2023-02-06,苗栗縣,三灣鄉,6,1914,4.29
16241,2023-02-05,苗栗縣,三灣鄉,1,1908,4.29
16610,2023-02-04,苗栗縣,三灣鄉,4,1907,4.86
16989,2023-02-03,苗栗縣,三灣鄉,7,1903,4.57
17375,2023-02-02,苗栗縣,三灣鄉,3,1896,3.86
17758,2023-02-01,苗栗縣,三灣鄉,5,1893,4.29
18135,2023-01-31,苗栗縣,三灣鄉,4,1888,4.14
18520,2023-01-30,苗栗縣,三灣鄉,6,1884,3.86
18908,2023-01-29,苗栗縣,三灣鄉,5,1878,3.00
19285,2023-01-28,苗栗縣,三灣鄉,2,1873,2.29
19664,2023-01-27,苗栗縣,三灣鄉,2,1871,2.71
20042,2023-01-26,苗栗縣,三灣鄉,6,1869,2.86
20419,2023-01-25,苗栗縣,三灣鄉,4,1863,2.43
20784,2023-01-24,苗栗縣,三灣鄉,2,1859,2.00
21890,2023-01-21,苗栗縣,三灣鄉,5,1857,3.29
22262,2023-01-20,苗栗縣,三灣鄉,3,1852,3.86
22629,2023-01-19,苗栗縣,三灣鄉,3,1849,4.43
23000,2023-01-18,苗栗縣,三灣鄉,1,1846,5.00
23370,2023-01-17,苗栗縣,三灣鄉,4,1845,5.43
23736,2023-01-16,苗栗縣,三灣鄉,3,1841,5.86
24112,2023-01-15,苗栗縣,三灣鄉,4,1838,6.29
24478,2023-01-14,苗栗縣,三灣鄉,9,1834,6.57
24847,2023-01-13,苗栗縣,三灣鄉,7,1825,5.43
25215,2023-01-12,苗栗縣,三灣鄉,7,1818,5.14
25590,2023-01-11,苗栗縣,三灣鄉,4,1811,4.29
25965,2023-01-10,苗栗縣,三灣鄉,7,1807,4.57
26338,2023-01-09,苗栗縣,三灣鄉,6,1800,4.57
26715,2023-01-08,苗栗縣,三灣鄉,6,1794,4.71
27073,2023-01-07,苗栗縣,三灣鄉,1,1788,4.43
