UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
47,2023-05-04,苗栗縣,全區,1,538,0.14
74,2023-04-18,苗栗縣,全區,1,537,0.14
116,2023-04-09,苗栗縣,全區,1,536,0.14
342,2023-03-24,苗栗縣,全區,1,535,1.14
366,2023-03-23,苗栗縣,全區,1,534,1.14
430,2023-03-21,苗栗縣,全區,2,533,1.00
461,2023-03-20,苗栗縣,全區,1,531,0.86
537,2023-03-18,苗栗縣,全區,3,530,1.14
581,2023-03-17,苗栗縣,全區,1,527,0.71
703,2023-03-14,苗栗縣,全區,1,526,1.14
748,2023-03-13,苗栗縣,全區,2,525,1.00
787,2023-03-12,苗栗縣,全區,1,523,0.86
879,2023-03-10,苗栗縣,全區,3,522,1.29
979,2023-03-08,苗栗縣,全區,1,519,1.14
1067,2023-03-06,苗栗縣,全區,1,518,1.14
1125,2023-03-05,苗栗縣,全區,3,517,1.43
1176,2023-03-04,苗栗縣,全區,1,514,1.14
1235,2023-03-03,苗栗縣,全區,1,513,1.29
1287,2023-03-02,苗栗縣,全區,1,512,1.57
1390,2023-02-28,苗栗縣,全區,1,511,2.00
1445,2023-02-27,苗栗縣,全區,3,510,2.14
1507,2023-02-26,苗栗縣,全區,1,507,2.00
1567,2023-02-25,苗栗縣,全區,2,506,2.00
1622,2023-02-24,苗栗縣,全區,3,504,1.86
1678,2023-02-23,苗栗縣,全區,4,501,2.14
1805,2023-02-21,苗栗縣,全區,2,497,2.00
1858,2023-02-20,苗栗縣,全區,2,495,2.29
1914,2023-02-19,苗栗縣,全區,1,493,2.00
1969,2023-02-18,苗栗縣,全區,1,492,2.43
2024,2023-02-17,苗栗縣,全區,5,491,2.57
2084,2023-02-16,苗栗縣,全區,1,486,2.00
2146,2023-02-15,苗栗縣,全區,2,485,1.86
2210,2023-02-14,苗栗縣,全區,4,483,1.71
2338,2023-02-12,苗栗縣,全區,4,479,1.57
2404,2023-02-11,苗栗縣,全區,2,475,1.57
2468,2023-02-10,苗栗縣,全區,1,473,1.57
2601,2023-02-08,苗栗縣,全區,1,472,2.00
2683,2023-02-07,苗栗縣,全區,2,471,2.29
2743,2023-02-06,苗栗縣,全區,1,469,2.14
2807,2023-02-05,苗栗縣,全區,4,468,2.29
2862,2023-02-04,苗栗縣,全區,2,464,2.00
2917,2023-02-03,苗栗縣,全區,2,462,1.71
2981,2023-02-02,苗栗縣,全區,2,460,1.57
3054,2023-02-01,苗栗縣,全區,3,458,1.57
3120,2023-01-31,苗栗縣,全區,1,455,1.29
3171,2023-01-30,苗栗縣,全區,2,454,1.29
3232,2023-01-29,苗栗縣,全區,2,452,1.14
3338,2023-01-27,苗栗縣,全區,1,450,1.00
3390,2023-01-26,苗栗縣,全區,2,449,1.43
3444,2023-01-25,苗栗縣,全區,1,447,1.57
3501,2023-01-24,苗栗縣,全區,1,446,1.57
3551,2023-01-23,苗栗縣,全區,1,445,1.71
3605,2023-01-22,苗栗縣,全區,1,444,1.71
3691,2023-01-20,苗栗縣,全區,4,443,1.86
3742,2023-01-19,苗栗縣,全區,3,439,1.57
3792,2023-01-18,苗栗縣,全區,1,436,1.14
3829,2023-01-17,苗栗縣,全區,2,435,1.14
3884,2023-01-16,苗栗縣,全區,1,433,1.29
3936,2023-01-15,苗栗縣,全區,1,432,1.14
3996,2023-01-14,苗栗縣,全區,1,431,1.29
4053,2023-01-13,苗栗縣,全區,2,430,1.43
4139,2023-01-11,苗栗縣,全區,1,428,1.43
4188,2023-01-10,苗栗縣,全區,3,427,1.29
4289,2023-01-08,苗栗縣,全區,2,424,1.29
4338,2023-01-07,苗栗縣,全區,2,422,1.29
4436,2023-01-05,苗栗縣,全區,2,420,1.29
4538,2023-01-03,苗栗縣,全區,1,418,1.00
4596,2023-01-02,苗栗縣,全區,2,417,1.14
4653,2023-01-01,苗栗縣,全區,2,415,1.14
4703,2022-12-31,苗栗縣,全區,1,413,1.14
4758,2022-12-30,苗栗縣,全區,1,412,1.14
