UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
32,2023-07-17,苗栗縣,全區,1,230883,0.14
134,2023-06-14,苗栗縣,全區,37,230882,5.29
424,2023-03-22,苗栗縣,全區,3,230845,106.14
510,2023-03-21,苗栗縣,全區,3,230842,137.57
667,2023-03-20,苗栗縣,全區,42,230839,175.86
955,2023-03-19,苗栗縣,全區,148,230797,211.71
1284,2023-03-18,苗栗縣,全區,191,230649,218.71
1623,2023-03-17,苗栗縣,全區,180,230458,222.29
1976,2023-03-16,苗栗縣,全區,176,230278,223.29
2329,2023-03-15,苗栗縣,全區,223,230102,226.71
2679,2023-03-14,苗栗縣,全區,271,229879,226.29
3037,2023-03-13,苗栗縣,全區,293,229608,219.00
3395,2023-03-12,苗栗縣,全區,197,229315,214.43
3741,2023-03-11,苗栗縣,全區,216,229118,205.57
4093,2023-03-10,苗栗縣,全區,187,228902,209.86
4449,2023-03-09,苗栗縣,全區,200,228715,216.86
4808,2023-03-08,苗栗縣,全區,220,228515,225.43
5161,2023-03-07,苗栗縣,全區,220,228295,244.57
5521,2023-03-06,苗栗縣,全區,261,228075,247.43
5885,2023-03-05,苗栗縣,全區,135,227814,240.71
6224,2023-03-04,苗栗縣,全區,246,227679,245.14
6577,2023-03-03,苗栗縣,全區,236,227433,244.71
6936,2023-03-02,苗栗縣,全區,260,227197,249.86
7300,2023-03-01,苗栗縣,全區,354,226937,258.57
7671,2023-02-28,苗栗縣,全區,240,226583,254.00
8034,2023-02-27,苗栗縣,全區,214,226343,274.00
8393,2023-02-26,苗栗縣,全區,166,226129,300.14
8737,2023-02-25,苗栗縣,全區,243,225963,320.57
9107,2023-02-24,苗栗縣,全區,272,225720,333.14
9468,2023-02-23,苗栗縣,全區,321,225448,339.29
9839,2023-02-22,苗栗縣,全區,322,225127,344.57
10213,2023-02-21,苗栗縣,全區,380,224805,346.29
10583,2023-02-20,苗栗縣,全區,397,224425,357.57
10962,2023-02-19,苗栗縣,全區,309,224028,374.71
11321,2023-02-18,苗栗縣,全區,331,223719,371.86
11687,2023-02-17,苗栗縣,全區,315,223388,375.86
12060,2023-02-16,苗栗縣,全區,358,223073,385.86
12435,2023-02-15,苗栗縣,全區,334,222715,395.00
12808,2023-02-14,苗栗縣,全區,459,222381,411.86
13180,2023-02-13,苗栗縣,全區,517,221922,428.14
