UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2965,2023-06-14,苗栗縣,公館鄉,50-54,852
2966,2023-06-14,苗栗縣,公館鄉,5-9,756
2967,2023-03-20,苗栗縣,公館鄉,25-29,1025
2968,2023-03-20,苗栗縣,公館鄉,70+,1150
2969,2023-03-19,苗栗縣,公館鄉,30-34,1042
2970,2023-03-19,苗栗縣,公館鄉,15-19,750
2971,2023-03-19,苗栗縣,公館鄉,55-59,874
2972,2023-03-19,苗栗縣,公館鄉,35-39,969
2973,2023-03-19,苗栗縣,公館鄉,40-44,955
2974,2023-03-18,苗栗縣,公館鄉,10-14,692
2975,2023-03-18,苗栗縣,公館鄉,45-49,801
2976,2023-03-18,苗栗縣,公館鄉,3,110
2977,2023-03-18,苗栗縣,公館鄉,4,133
2978,2023-03-17,苗栗縣,公館鄉,65-69,563
2979,2023-03-16,苗栗縣,公館鄉,20-24,821
2980,2023-03-15,苗栗縣,公館鄉,60-64,793
2981,2023-03-11,苗栗縣,公館鄉,0,86
2982,2023-03-04,苗栗縣,公館鄉,2,103
2983,2023-03-03,苗栗縣,公館鄉,1,114
