UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
195,2023-06-14,苗栗縣,公館鄉,2,12589,0.29
766,2023-03-20,苗栗縣,公館鄉,2,12587,10.29
1067,2023-03-19,苗栗縣,公館鄉,12,12585,13.00
1395,2023-03-18,苗栗縣,公館鄉,14,12573,12.29
1738,2023-03-17,苗栗縣,公館鄉,5,12559,11.43
2092,2023-03-16,苗栗縣,公館鄉,5,12554,11.86
2445,2023-03-15,苗栗縣,公館鄉,13,12549,13.00
2793,2023-03-14,苗栗縣,公館鄉,21,12536,11.71
3151,2023-03-13,苗栗縣,公館鄉,21,12515,10.14
3506,2023-03-12,苗栗縣,公館鄉,7,12494,8.71
3856,2023-03-11,苗栗縣,公館鄉,8,12487,8.29
4207,2023-03-10,苗栗縣,公館鄉,8,12479,9.57
4564,2023-03-09,苗栗縣,公館鄉,13,12471,11.29
4920,2023-03-08,苗栗縣,公館鄉,4,12458,11.14
5276,2023-03-07,苗栗縣,公館鄉,10,12454,13.86
5639,2023-03-06,苗栗縣,公館鄉,11,12444,13.86
5998,2023-03-05,苗栗縣,公館鄉,4,12433,15.00
6338,2023-03-04,苗栗縣,公館鄉,17,12429,15.29
6693,2023-03-03,苗栗縣,公館鄉,20,12412,14.29
7052,2023-03-02,苗栗縣,公館鄉,12,12392,12.29
7417,2023-03-01,苗栗縣,公館鄉,23,12380,12.14
7787,2023-02-28,苗栗縣,公館鄉,10,12357,11.00
8153,2023-02-27,苗栗縣,公館鄉,19,12347,12.00
8505,2023-02-26,苗栗縣,公館鄉,6,12328,12.57
8855,2023-02-25,苗栗縣,公館鄉,10,12322,13.57
9223,2023-02-24,苗栗縣,公館鄉,6,12312,14.14
9586,2023-02-23,苗栗縣,公館鄉,11,12306,15.29
9957,2023-02-22,苗栗縣,公館鄉,15,12295,15.57
10331,2023-02-21,苗栗縣,公館鄉,17,12280,15.43
10701,2023-02-20,苗栗縣,公館鄉,23,12263,15.14
11078,2023-02-19,苗栗縣,公館鄉,13,12240,18.29
11439,2023-02-18,苗栗縣,公館鄉,14,12227,18.00
11806,2023-02-17,苗栗縣,公館鄉,14,12213,18.14
12179,2023-02-16,苗栗縣,公館鄉,13,12199,19.86
12553,2023-02-15,苗栗縣,公館鄉,14,12186,21.57
12926,2023-02-14,苗栗縣,公館鄉,15,12172,23.29
13298,2023-02-13,苗栗縣,公館鄉,45,12157,26.14
13676,2023-02-12,苗栗縣,公館鄉,11,12112,27.00
14034,2023-02-11,苗栗縣,公館鄉,15,12101,28.14
14405,2023-02-10,苗栗縣,公館鄉,26,12086,30.57
14779,2023-02-09,苗栗縣,公館鄉,25,12060,31.29
15157,2023-02-08,苗栗縣,公館鄉,26,12035,32.00
15535,2023-02-07,苗栗縣,公館鄉,35,12009,33.29
15915,2023-02-06,苗栗縣,公館鄉,51,11974,33.57
16292,2023-02-05,苗栗縣,公館鄉,19,11923,33.43
16664,2023-02-04,苗栗縣,公館鄉,32,11904,33.86
17044,2023-02-03,苗栗縣,公館鄉,31,11872,33.43
17429,2023-02-02,苗栗縣,公館鄉,30,11841,34.14
17811,2023-02-01,苗栗縣,公館鄉,35,11811,34.29
18190,2023-01-31,苗栗縣,公館鄉,37,11776,32.43
18575,2023-01-30,苗栗縣,公館鄉,50,11739,30.29
18961,2023-01-29,苗栗縣,公館鄉,22,11689,25.71
19339,2023-01-28,苗栗縣,公館鄉,29,11667,24.57
19715,2023-01-27,苗栗縣,公館鄉,36,11638,23.00
20096,2023-01-26,苗栗縣,公館鄉,31,11602,20.00
20469,2023-01-25,苗栗縣,公館鄉,22,11571,16.71
20837,2023-01-24,苗栗縣,公館鄉,22,11549,16.57
21210,2023-01-23,苗栗縣,公館鄉,18,11527,16.71
21578,2023-01-22,苗栗縣,公館鄉,14,11509,17.71
21944,2023-01-21,苗栗縣,公館鄉,18,11495,17.43
22317,2023-01-20,苗栗縣,公館鄉,15,11477,17.29
22683,2023-01-19,苗栗縣,公館鄉,8,11462,17.57
23055,2023-01-18,苗栗縣,公館鄉,21,11454,18.29
23424,2023-01-17,苗栗縣,公館鄉,23,11433,18.86
23789,2023-01-16,苗栗縣,公館鄉,25,11410,21.14
24166,2023-01-15,苗栗縣,公館鄉,12,11385,22.14
24531,2023-01-14,苗栗縣,公館鄉,17,11373,22.00
