UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3060,2023-03-20,苗栗縣,卓蘭鎮,25-29,268
3061,2023-03-20,苗栗縣,卓蘭鎮,60-64,297
3062,2023-03-19,苗栗縣,卓蘭鎮,70+,524
3063,2023-03-19,苗栗縣,卓蘭鎮,45-49,204
3064,2023-03-18,苗栗縣,卓蘭鎮,35-39,321
3065,2023-03-18,苗栗縣,卓蘭鎮,40-44,289
3066,2023-03-18,苗栗縣,卓蘭鎮,30-34,284
3067,2023-03-18,苗栗縣,卓蘭鎮,5-9,228
3068,2023-03-17,苗栗縣,卓蘭鎮,20-24,258
3069,2023-03-16,苗栗縣,卓蘭鎮,55-59,230
3070,2023-03-15,苗栗縣,卓蘭鎮,15-19,260
3071,2023-03-14,苗栗縣,卓蘭鎮,10-14,213
3072,2023-03-13,苗栗縣,卓蘭鎮,2,33
3073,2023-03-13,苗栗縣,卓蘭鎮,50-54,178
3074,2023-03-11,苗栗縣,卓蘭鎮,65-69,229
3075,2023-03-04,苗栗縣,卓蘭鎮,3,40
3076,2023-02-27,苗栗縣,卓蘭鎮,0,33
3077,2023-02-10,苗栗縣,卓蘭鎮,1,40
3078,2023-01-21,苗栗縣,卓蘭鎮,4,32
