UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
844,2023-03-20,苗栗縣,卓蘭鎮,2,3961,3.57
1165,2023-03-19,苗栗縣,卓蘭鎮,3,3959,4.86
1497,2023-03-18,苗栗縣,卓蘭鎮,6,3956,4.86
1850,2023-03-17,苗栗縣,卓蘭鎮,3,3950,4.29
2197,2023-03-16,苗栗縣,卓蘭鎮,3,3947,4.29
2549,2023-03-15,苗栗縣,卓蘭鎮,4,3944,5.00
2907,2023-03-14,苗栗縣,卓蘭鎮,4,3940,5.43
3264,2023-03-13,苗栗縣,卓蘭鎮,11,3936,5.29
3612,2023-03-12,苗栗縣,卓蘭鎮,3,3925,4.43
3967,2023-03-11,苗栗縣,卓蘭鎮,2,3922,4.29
4320,2023-03-10,苗栗縣,卓蘭鎮,3,3920,4.57
4673,2023-03-09,苗栗縣,卓蘭鎮,8,3917,4.14
5031,2023-03-08,苗栗縣,卓蘭鎮,7,3909,4.14
5387,2023-03-07,苗栗縣,卓蘭鎮,3,3902,3.71
5752,2023-03-06,苗栗縣,卓蘭鎮,5,3899,3.71
6099,2023-03-05,苗栗縣,卓蘭鎮,2,3894,4.14
6448,2023-03-04,苗栗縣,卓蘭鎮,4,3892,3.86
7166,2023-03-02,苗栗縣,卓蘭鎮,8,3888,4.14
7532,2023-03-01,苗栗縣,卓蘭鎮,4,3880,3.43
7901,2023-02-28,苗栗縣,卓蘭鎮,3,3876,3.57
8261,2023-02-27,苗栗縣,卓蘭鎮,8,3873,4.14
8973,2023-02-25,苗栗縣,卓蘭鎮,1,3865,4.86
9336,2023-02-24,苗栗縣,卓蘭鎮,5,3864,5.57
9703,2023-02-23,苗栗縣,卓蘭鎮,3,3859,5.29
10077,2023-02-22,苗栗縣,卓蘭鎮,5,3856,5.14
10448,2023-02-21,苗栗縣,卓蘭鎮,7,3851,5.14
10822,2023-02-20,苗栗縣,卓蘭鎮,8,3844,4.86
11183,2023-02-19,苗栗縣,卓蘭鎮,5,3836,5.14
11552,2023-02-18,苗栗縣,卓蘭鎮,6,3831,5.14
11924,2023-02-17,苗栗縣,卓蘭鎮,3,3825,4.86
12297,2023-02-16,苗栗縣,卓蘭鎮,2,3822,5.71
12670,2023-02-15,苗栗縣,卓蘭鎮,5,3820,6.29
13045,2023-02-14,苗栗縣,卓蘭鎮,5,3815,7.00
13420,2023-02-13,苗栗縣,卓蘭鎮,10,3810,8.00
13788,2023-02-12,苗栗縣,卓蘭鎮,5,3800,7.57
14155,2023-02-11,苗栗縣,卓蘭鎮,4,3795,7.71
14523,2023-02-10,苗栗縣,卓蘭鎮,9,3791,7.57
14897,2023-02-09,苗栗縣,卓蘭鎮,6,3782,6.86
15276,2023-02-08,苗栗縣,卓蘭鎮,10,3776,6.86
15657,2023-02-07,苗栗縣,卓蘭鎮,12,3766,6.71
16036,2023-02-06,苗栗縣,卓蘭鎮,7,3754,6.71
16409,2023-02-05,苗栗縣,卓蘭鎮,6,3747,8.14
16786,2023-02-04,苗栗縣,卓蘭鎮,3,3741,8.29
17166,2023-02-03,苗栗縣,卓蘭鎮,4,3738,9.71
17553,2023-02-02,苗栗縣,卓蘭鎮,6,3734,9.86
17932,2023-02-01,苗栗縣,卓蘭鎮,9,3728,10.43
18315,2023-01-31,苗栗縣,卓蘭鎮,12,3719,9.43
18700,2023-01-30,苗栗縣,卓蘭鎮,17,3707,8.29
19084,2023-01-29,苗栗縣,卓蘭鎮,7,3690,7.43
19462,2023-01-28,苗栗縣,卓蘭鎮,13,3683,6.71
19839,2023-01-27,苗栗縣,卓蘭鎮,5,3670,5.86
20215,2023-01-26,苗栗縣,卓蘭鎮,10,3665,6.29
20588,2023-01-25,苗栗縣,卓蘭鎮,2,3655,5.43
20957,2023-01-24,苗栗縣,卓蘭鎮,4,3653,5.43
21325,2023-01-23,苗栗縣,卓蘭鎮,11,3649,6.57
21694,2023-01-22,苗栗縣,卓蘭鎮,2,3638,6.29
22063,2023-01-21,苗栗縣,卓蘭鎮,7,3636,7.14
22431,2023-01-20,苗栗縣,卓蘭鎮,8,3629,6.29
22799,2023-01-19,苗栗縣,卓蘭鎮,4,3621,6.00
23171,2023-01-18,苗栗縣,卓蘭鎮,2,3617,6.00
23536,2023-01-17,苗栗縣,卓蘭鎮,12,3615,6.29
23909,2023-01-16,苗栗縣,卓蘭鎮,9,3603,5.71
24281,2023-01-15,苗栗縣,卓蘭鎮,8,3594,6.29
24647,2023-01-14,苗栗縣,卓蘭鎮,1,3586,5.57
25015,2023-01-13,苗栗縣,卓蘭鎮,6,3585,7.29
25389,2023-01-12,苗栗縣,卓蘭鎮,4,3579,7.43
25762,2023-01-11,苗栗縣,卓蘭鎮,4,3575,8.29
26137,2023-01-10,苗栗縣,卓蘭鎮,8,3571,9.43
26513,2023-01-09,苗栗縣,卓蘭鎮,13,3563,9.43
26879,2023-01-08,苗栗縣,卓蘭鎮,3,3550,9.86
27244,2023-01-07,苗栗縣,卓蘭鎮,13,3547,9.86
27616,2023-01-06,苗栗縣,卓蘭鎮,7,3534,9.29
27997,2023-01-05,苗栗縣,卓蘭鎮,10,3527,9.43
28377,2023-01-04,苗栗縣,卓蘭鎮,12,3517,8.57
28759,2023-01-03,苗栗縣,卓蘭鎮,8,3505,9.14
29134,2023-01-02,苗栗縣,卓蘭鎮,16,3497,8.57
29500,2023-01-01,苗栗縣,卓蘭鎮,3,3481,7.43
29867,2022-12-31,苗栗縣,卓蘭鎮,9,3478,7.43
30233,2022-12-30,苗栗縣,卓蘭鎮,8,3469,6.86
30606,2022-12-29,苗栗縣,卓蘭鎮,4,3461,6.43
30978,2022-12-28,苗栗縣,卓蘭鎮,16,3457,6.86
31352,2022-12-27,苗栗縣,卓蘭鎮,4,3441,6.00
31726,2022-12-26,苗栗縣,卓蘭鎮,8,3437,6.14
32084,2022-12-25,苗栗縣,卓蘭鎮,3,3429,5.71
32445,2022-12-24,苗栗縣,卓蘭鎮,5,3426,5.29
32805,2022-12-23,苗栗縣,卓蘭鎮,5,3421,5.29
33173,2022-12-22,苗栗縣,卓蘭鎮,7,3416,5.86
33542,2022-12-21,苗栗縣,卓蘭鎮,10,3409,6.43
33908,2022-12-20,苗栗縣,卓蘭鎮,5,3399,6.29
34275,2022-12-19,苗栗縣,卓蘭鎮,5,3394,7.29
34990,2022-12-17,苗栗縣,卓蘭鎮,5,3389,8.71
35353,2022-12-16,苗栗縣,卓蘭鎮,9,3384,8.71
35718,2022-12-15,苗栗縣,卓蘭鎮,11,3375,8.43
36080,2022-12-14,苗栗縣,卓蘭鎮,9,3364,7.71
36449,2022-12-13,苗栗縣,卓蘭鎮,12,3355,7.57
36827,2022-12-12,苗栗縣,卓蘭鎮,12,3343,6.86
37178,2022-12-11,苗栗縣,卓蘭鎮,3,3331,6.71
37545,2022-12-10,苗栗縣,卓蘭鎮,5,3328,6.86
37913,2022-12-09,苗栗縣,卓蘭鎮,7,3323,7.57
38282,2022-12-08,苗栗縣,卓蘭鎮,6,3316,8.14
38656,2022-12-07,苗栗縣,卓蘭鎮,8,3310,7.86
39022,2022-12-06,苗栗縣,卓蘭鎮,7,3302,8.71
39399,2022-12-05,苗栗縣,卓蘭鎮,11,3295,8.71
39772,2022-12-04,苗栗縣,卓蘭鎮,4,3284,9.00
40140,2022-12-03,苗栗縣,卓蘭鎮,10,3280,8.57
