UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
256,2023-06-14,苗栗縣,大湖鄉,4,3631,0.57
1183,2023-03-19,苗栗縣,大湖鄉,3,3627,4.43
1520,2023-03-18,苗栗縣,大湖鄉,2,3624,4.43
1871,2023-03-17,苗栗縣,大湖鄉,8,3622,4.14
2220,2023-03-16,苗栗縣,大湖鄉,2,3614,3.71
2575,2023-03-15,苗栗縣,大湖鄉,6,3612,3.86
2929,2023-03-14,苗栗縣,大湖鄉,4,3606,3.43
3287,2023-03-13,苗栗縣,大湖鄉,6,3602,3.29
3635,2023-03-12,苗栗縣,大湖鄉,3,3596,2.86
4341,2023-03-10,苗栗縣,大湖鄉,5,3593,3.00
4696,2023-03-09,苗栗縣,大湖鄉,3,3588,3.14
5054,2023-03-08,苗栗縣,大湖鄉,3,3585,3.00
5411,2023-03-07,苗栗縣,大湖鄉,3,3582,3.29
5777,2023-03-06,苗栗縣,大湖鄉,3,3579,3.14
6121,2023-03-05,苗栗縣,大湖鄉,1,3576,3.57
6472,2023-03-04,苗栗縣,大湖鄉,3,3575,3.71
6828,2023-03-03,苗栗縣,大湖鄉,6,3572,3.43
7191,2023-03-02,苗栗縣,大湖鄉,2,3566,2.57
7559,2023-03-01,苗栗縣,大湖鄉,5,3564,2.71
7925,2023-02-28,苗栗縣,大湖鄉,2,3559,2.71
8285,2023-02-27,苗栗縣,大湖鄉,6,3557,3.14
8633,2023-02-26,苗栗縣,大湖鄉,2,3551,3.29
9000,2023-02-25,苗栗縣,大湖鄉,1,3549,3.14
9727,2023-02-23,苗栗縣,大湖鄉,3,3548,4.43
10102,2023-02-22,苗栗縣,大湖鄉,5,3545,4.00
10476,2023-02-21,苗栗縣,大湖鄉,5,3540,3.71
10849,2023-02-20,苗栗縣,大湖鄉,7,3535,3.57
11209,2023-02-19,苗栗縣,大湖鄉,1,3528,2.86
11578,2023-02-18,苗栗縣,大湖鄉,3,3527,3.00
11950,2023-02-17,苗栗縣,大湖鄉,7,3524,3.43
12697,2023-02-15,苗栗縣,大湖鄉,3,3517,4.00
13071,2023-02-14,苗栗縣,大湖鄉,4,3514,4.00
13447,2023-02-13,苗栗縣,大湖鄉,2,3510,4.29
13810,2023-02-12,苗栗縣,大湖鄉,2,3508,5.43
14181,2023-02-11,苗栗縣,大湖鄉,6,3506,5.43
14550,2023-02-10,苗栗縣,大湖鄉,5,3500,5.86
14924,2023-02-09,苗栗縣,大湖鄉,6,3495,6.43
15302,2023-02-08,苗栗縣,大湖鄉,3,3489,6.57
15684,2023-02-07,苗栗縣,大湖鄉,6,3486,7.29
16064,2023-02-06,苗栗縣,大湖鄉,10,3480,8.71
16435,2023-02-05,苗栗縣,大湖鄉,2,3470,7.86
16813,2023-02-04,苗栗縣,大湖鄉,9,3468,8.43
17194,2023-02-03,苗栗縣,大湖鄉,9,3459,7.71
17578,2023-02-02,苗栗縣,大湖鄉,7,3450,7.71
17960,2023-02-01,苗栗縣,大湖鄉,8,3443,8.14
18341,2023-01-31,苗栗縣,大湖鄉,16,3435,7.57
18728,2023-01-30,苗栗縣,大湖鄉,4,3419,5.86
19111,2023-01-29,苗栗縣,大湖鄉,6,3415,5.71
19490,2023-01-28,苗栗縣,大湖鄉,4,3409,5.14
19865,2023-01-27,苗栗縣,大湖鄉,9,3405,5.57
20242,2023-01-26,苗栗縣,大湖鄉,10,3396,5.71
20614,2023-01-25,苗栗縣,大湖鄉,4,3386,5.43
20982,2023-01-24,苗栗縣,大湖鄉,4,3382,5.00
21352,2023-01-23,苗栗縣,大湖鄉,3,3378,4.86
21718,2023-01-22,苗栗縣,大湖鄉,2,3375,6.57
22089,2023-01-21,苗栗縣,大湖鄉,7,3373,7.29
22456,2023-01-20,苗栗縣,大湖鄉,10,3366,8.14
22824,2023-01-19,苗栗縣,大湖鄉,8,3356,7.57
23197,2023-01-18,苗栗縣,大湖鄉,1,3348,7.43
23562,2023-01-17,苗栗縣,大湖鄉,3,3347,8.14
23936,2023-01-16,苗栗縣,大湖鄉,15,3344,8.29
24309,2023-01-15,苗栗縣,大湖鄉,7,3329,7.29
24673,2023-01-14,苗栗縣,大湖鄉,13,3322,6.71
25040,2023-01-13,苗栗縣,大湖鄉,6,3309,6.14
25416,2023-01-12,苗栗縣,大湖鄉,7,3303,6.43
25788,2023-01-11,苗栗縣,大湖鄉,6,3296,7.00
26163,2023-01-10,苗栗縣,大湖鄉,4,3290,7.86
26540,2023-01-09,苗栗縣,大湖鄉,8,3286,8.86
26907,2023-01-08,苗栗縣,大湖鄉,3,3278,9.14
27271,2023-01-07,苗栗縣,大湖鄉,9,3275,9.71
27643,2023-01-06,苗栗縣,大湖鄉,8,3266,9.43
28023,2023-01-05,苗栗縣,大湖鄉,11,3258,10.29
28404,2023-01-04,苗栗縣,大湖鄉,12,3247,10.57
28785,2023-01-03,苗栗縣,大湖鄉,11,3235,10.57
29161,2023-01-02,苗栗縣,大湖鄉,10,3224,9.29
29525,2023-01-01,苗栗縣,大湖鄉,7,3214,8.57
29892,2022-12-31,苗栗縣,大湖鄉,7,3207,7.71
30261,2022-12-30,苗栗縣,大湖鄉,14,3200,7.29
30632,2022-12-29,苗栗縣,大湖鄉,13,3186,6.57
31005,2022-12-28,苗栗縣,大湖鄉,12,3173,5.29
31380,2022-12-27,苗栗縣,大湖鄉,2,3161,4.14
31753,2022-12-26,苗栗縣,大湖鄉,5,3159,4.57
32110,2022-12-25,苗栗縣,大湖鄉,1,3154,4.86
32470,2022-12-24,苗栗縣,大湖鄉,4,3153,5.71
32831,2022-12-23,苗栗縣,大湖鄉,9,3149,5.29
33198,2022-12-22,苗栗縣,大湖鄉,4,3140,4.29
33569,2022-12-21,苗栗縣,大湖鄉,4,3136,4.00
33933,2022-12-20,苗栗縣,大湖鄉,5,3132,4.00
34301,2022-12-19,苗栗縣,大湖鄉,7,3127,4.29
34653,2022-12-18,苗栗縣,大湖鄉,7,3120,3.86
35015,2022-12-17,苗栗縣,大湖鄉,1,3113,3.71
35379,2022-12-16,苗栗縣,大湖鄉,2,3112,4.57
35744,2022-12-15,苗栗縣,大湖鄉,2,3110,5.14
36105,2022-12-14,苗栗縣,大湖鄉,4,3108,5.86
36477,2022-12-13,苗栗縣,大湖鄉,7,3104,6.71
36853,2022-12-12,苗栗縣,大湖鄉,4,3097,6.86
37205,2022-12-11,苗栗縣,大湖鄉,6,3093,7.57
37572,2022-12-10,苗栗縣,大湖鄉,7,3087,7.43
37937,2022-12-09,苗栗縣,大湖鄉,6,3080,7.71
38308,2022-12-08,苗栗縣,大湖鄉,7,3074,8.00
38683,2022-12-07,苗栗縣,大湖鄉,10,3067,9.29
39049,2022-12-06,苗栗縣,大湖鄉,8,3057,9.71
39427,2022-12-05,苗栗縣,大湖鄉,9,3049,9.29
39797,2022-12-04,苗栗縣,大湖鄉,5,3040,9.43
40166,2022-12-03,苗栗縣,大湖鄉,9,3035,9.57
40535,2022-12-02,苗栗縣,大湖鄉,8,3026,9.29
40902,2022-12-01,苗栗縣,大湖鄉,16,3018,8.57
41276,2022-11-30,苗栗縣,大湖鄉,13,3002,7.57
41652,2022-11-29,苗栗縣,大湖鄉,5,2989,6.57
42030,2022-11-28,苗栗縣,大湖鄉,10,2984,7.29
42398,2022-11-27,苗栗縣,大湖鄉,6,2974,7.71
42750,2022-11-26,苗栗縣,大湖鄉,7,2968,7.14
43121,2022-11-25,苗栗縣,大湖鄉,3,2961,7.71
43491,2022-11-24,苗栗縣,大湖鄉,9,2958,9.29
43860,2022-11-23,苗栗縣,大湖鄉,6,2949,10.43
