UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
749,2023-03-13,苗栗縣,後龍鎮,1,43,0.43
880,2023-03-10,苗栗縣,後龍鎮,2,42,0.29
2339,2023-02-12,苗栗縣,後龍鎮,1,40,0.14
3445,2023-01-25,苗栗縣,後龍鎮,1,39,0.14
3830,2023-01-17,苗栗縣,後龍鎮,1,38,0.29
3997,2023-01-14,苗栗縣,後龍鎮,1,37,0.14
4873,2022-12-27,苗栗縣,後龍鎮,1,36,0.29
4961,2022-12-25,苗栗縣,後龍鎮,1,35,0.14
5412,2022-12-13,苗栗縣,後龍鎮,2,34,0.71
5546,2022-12-09,苗栗縣,後龍鎮,1,32,0.43
5587,2022-12-08,苗栗縣,後龍鎮,1,31,0.29
5635,2022-12-07,苗栗縣,後龍鎮,1,30,0.14
6010,2022-11-27,苗栗縣,後龍鎮,1,29,0.43
6133,2022-11-24,苗栗縣,後龍鎮,1,28,0.29
6272,2022-11-21,苗栗縣,後龍鎮,1,27,0.14
7090,2022-11-06,苗栗縣,後龍鎮,1,26,0.14
8499,2022-10-16,苗栗縣,後龍鎮,1,25,0.57
8628,2022-10-14,苗栗縣,後龍鎮,1,24,0.57
8705,2022-10-13,苗栗縣,後龍鎮,1,23,0.43
8845,2022-10-11,苗栗縣,後龍鎮,1,22,0.29
8984,2022-10-09,苗栗縣,後龍鎮,1,21,0.14
10309,2022-09-17,苗栗縣,後龍鎮,1,20,0.14
11167,2022-08-30,苗栗縣,後龍鎮,1,19,0.43
11216,2022-08-29,苗栗縣,後龍鎮,1,18,0.29
11296,2022-08-27,苗栗縣,後龍鎮,1,17,0.14
12799,2022-07-23,苗栗縣,後龍鎮,1,16,0.14
13294,2022-07-15,苗栗縣,後龍鎮,1,15,0.43
13427,2022-07-13,苗栗縣,後龍鎮,1,14,0.29
13646,2022-07-10,苗栗縣,後龍鎮,1,13,0.29
14023,2022-07-05,苗栗縣,後龍鎮,1,12,0.29
14382,2022-07-01,苗栗縣,後龍鎮,1,11,0.14
15159,2022-06-23,苗栗縣,後龍鎮,1,10,0.29
15730,2022-06-18,苗栗縣,後龍鎮,1,9,0.43
16370,2022-06-13,苗栗縣,後龍鎮,1,8,0.43
16492,2022-06-12,苗栗縣,後龍鎮,1,7,0.29
16976,2022-06-08,苗栗縣,後龍鎮,1,6,0.43
17359,2022-06-05,苗栗縣,後龍鎮,1,5,0.29
17467,2022-06-04,苗栗縣,後龍鎮,1,4,0.14
18515,2022-05-26,苗栗縣,後龍鎮,1,3,0.14
20092,2021-07-12,苗栗縣,後龍鎮,1,2,0.14
20238,2021-06-27,苗栗縣,後龍鎮,1,1,0.14
