UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
854,2023-03-20,苗栗縣,獅潭鄉,2,839,1.00
2214,2023-03-16,苗栗縣,獅潭鄉,2,837,0.86
2568,2023-03-15,苗栗縣,獅潭鄉,1,835,0.57
2922,2023-03-14,苗栗縣,獅潭鄉,2,834,0.43
3985,2023-03-11,苗栗縣,獅潭鄉,1,832,0.14
6467,2023-03-04,苗栗縣,獅潭鄉,1,831,0.57
6822,2023-03-03,苗栗縣,獅潭鄉,1,830,0.57
7552,2023-03-01,苗栗縣,獅潭鄉,1,829,0.71
7919,2023-02-28,苗栗縣,獅潭鄉,1,828,1.14
8993,2023-02-25,苗栗縣,獅潭鄉,1,827,2.14
9355,2023-02-24,苗栗縣,獅潭鄉,2,826,2.29
10097,2023-02-22,苗栗縣,獅潭鄉,4,824,2.29
10469,2023-02-21,苗栗縣,獅潭鄉,5,820,1.86
10842,2023-02-20,苗栗縣,獅潭鄉,3,815,1.71
11572,2023-02-18,苗栗縣,獅潭鄉,2,812,1.43
11944,2023-02-17,苗栗縣,獅潭鄉,1,810,1.14
12318,2023-02-16,苗栗縣,獅潭鄉,1,809,1.43
12690,2023-02-15,苗栗縣,獅潭鄉,1,808,1.57
13065,2023-02-14,苗栗縣,獅潭鄉,4,807,1.43
13440,2023-02-13,苗栗縣,獅潭鄉,1,803,1.00
14543,2023-02-10,苗栗縣,獅潭鄉,3,802,1.57
14918,2023-02-09,苗栗縣,獅潭鄉,2,799,1.43
15678,2023-02-07,苗栗縣,獅潭鄉,1,797,2.00
16057,2023-02-06,苗栗縣,獅潭鄉,1,796,2.29
16428,2023-02-05,苗栗縣,獅潭鄉,1,795,2.57
16806,2023-02-04,苗栗縣,獅潭鄉,3,794,2.57
17187,2023-02-03,苗栗縣,獅潭鄉,2,791,2.29
17572,2023-02-02,苗栗縣,獅潭鄉,4,789,2.57
17953,2023-02-01,苗栗縣,獅潭鄉,2,785,2.43
18336,2023-01-31,苗栗縣,獅潭鄉,3,783,2.29
18721,2023-01-30,苗栗縣,獅潭鄉,3,780,2.00
19105,2023-01-29,苗栗縣,獅潭鄉,1,777,2.00
19483,2023-01-28,苗栗縣,獅潭鄉,1,776,1.86
19859,2023-01-27,苗栗縣,獅潭鄉,4,775,1.71
20235,2023-01-26,苗栗縣,獅潭鄉,3,771,1.14
20608,2023-01-25,苗栗縣,獅潭鄉,1,768,1.29
20976,2023-01-24,苗栗縣,獅潭鄉,1,767,1.57
21345,2023-01-23,苗栗縣,獅潭鄉,3,766,1.86
22819,2023-01-19,苗栗縣,獅潭鄉,4,763,3.29
23191,2023-01-18,苗栗縣,獅潭鄉,3,759,3.00
23556,2023-01-17,苗栗縣,獅潭鄉,3,756,2.57
23930,2023-01-16,苗栗縣,獅潭鄉,8,753,2.14
24302,2023-01-15,苗栗縣,獅潭鄉,1,745,1.14
24668,2023-01-14,苗栗縣,獅潭鄉,4,744,1.14
25410,2023-01-12,苗栗縣,獅潭鄉,2,740,1.00
26534,2023-01-09,苗栗縣,獅潭鄉,1,738,1.43
26900,2023-01-08,苗栗縣,獅潭鄉,1,737,1.57
27265,2023-01-07,苗栗縣,獅潭鄉,1,736,1.86
27637,2023-01-06,苗栗縣,獅潭鄉,2,735,2.43
28018,2023-01-05,苗栗縣,獅潭鄉,4,733,2.57
28779,2023-01-03,苗栗縣,獅潭鄉,1,729,3.14
29154,2023-01-02,苗栗縣,獅潭鄉,2,728,3.14
29520,2023-01-01,苗栗縣,獅潭鄉,3,726,3.14
29886,2022-12-31,苗栗縣,獅潭鄉,5,723,3.14
30254,2022-12-30,苗栗縣,獅潭鄉,3,718,2.43
30626,2022-12-29,苗栗縣,獅潭鄉,5,715,2.14
30998,2022-12-28,苗栗縣,獅潭鄉,3,710,1.43
31373,2022-12-27,苗栗縣,獅潭鄉,1,707,1.14
31747,2022-12-26,苗栗縣,獅潭鄉,2,706,1.00
32105,2022-12-25,苗栗縣,獅潭鄉,3,704,0.86
