UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
186,2023-06-14,苗栗縣,竹南鎮,4,46699,0.57
546,2023-03-21,苗栗縣,竹南鎮,2,46695,33.43
753,2023-03-20,苗栗縣,竹南鎮,9,46693,40.43
1053,2023-03-19,苗栗縣,竹南鎮,38,46684,46.00
1381,2023-03-18,苗栗縣,竹南鎮,46,46646,46.71
1722,2023-03-17,苗栗縣,竹南鎮,35,46600,47.57
2075,2023-03-16,苗栗縣,竹南鎮,46,46565,48.00
2429,2023-03-15,苗栗縣,竹南鎮,58,46519,46.71
2778,2023-03-14,苗栗縣,竹南鎮,51,46461,43.57
3137,2023-03-13,苗栗縣,竹南鎮,48,46410,41.43
3491,2023-03-12,苗栗縣,竹南鎮,43,46362,40.29
3841,2023-03-11,苗栗縣,竹南鎮,52,46319,38.71
4191,2023-03-10,苗栗縣,竹南鎮,38,46267,39.14
4548,2023-03-09,苗栗縣,竹南鎮,37,46229,38.86
4905,2023-03-08,苗栗縣,竹南鎮,36,46192,42.57
5260,2023-03-07,苗栗縣,竹南鎮,36,46156,45.86
5622,2023-03-06,苗栗縣,竹南鎮,40,46120,47.29
5983,2023-03-05,苗栗縣,竹南鎮,32,46080,46.14
6322,2023-03-04,苗栗縣,竹南鎮,55,46048,45.43
6676,2023-03-03,苗栗縣,竹南鎮,36,45993,43.86
7036,2023-03-02,苗栗縣,竹南鎮,63,45957,45.86
7400,2023-03-01,苗栗縣,竹南鎮,59,45894,45.57
7772,2023-02-28,苗栗縣,竹南鎮,46,45835,46.14
8136,2023-02-27,苗栗縣,竹南鎮,32,45789,51.14
8491,2023-02-26,苗栗縣,竹南鎮,27,45757,57.43
8839,2023-02-25,苗栗縣,竹南鎮,44,45730,62.00
9208,2023-02-24,苗栗縣,竹南鎮,50,45686,64.14
9570,2023-02-23,苗栗縣,竹南鎮,61,45636,64.43
9940,2023-02-22,苗栗縣,竹南鎮,63,45575,65.00
10315,2023-02-21,苗栗縣,竹南鎮,81,45512,64.14
10685,2023-02-20,苗栗縣,竹南鎮,76,45431,65.00
11062,2023-02-19,苗栗縣,竹南鎮,59,45355,66.57
11422,2023-02-18,苗栗縣,竹南鎮,59,45296,64.29
11789,2023-02-17,苗栗縣,竹南鎮,52,45237,65.43
12162,2023-02-16,苗栗縣,竹南鎮,65,45185,66.43
12536,2023-02-15,苗栗縣,竹南鎮,57,45120,67.57
12909,2023-02-14,苗栗縣,竹南鎮,87,45063,70.57
13281,2023-02-13,苗栗縣,竹南鎮,87,44976,75.57
13660,2023-02-12,苗栗縣,竹南鎮,43,44889,78.71
14017,2023-02-11,苗栗縣,竹南鎮,67,44846,85.14
14389,2023-02-10,苗栗縣,竹南鎮,59,44779,88.86
14762,2023-02-09,苗栗縣,竹南鎮,73,44720,97.29
15140,2023-02-08,苗栗縣,竹南鎮,78,44647,101.29
15520,2023-02-07,苗栗縣,竹南鎮,122,44569,111.29
15898,2023-02-06,苗栗縣,竹南鎮,109,44447,118.86
16277,2023-02-05,苗栗縣,竹南鎮,88,44338,130.43
16648,2023-02-04,苗栗縣,竹南鎮,93,44250,134.14
17028,2023-02-03,苗栗縣,竹南鎮,118,44157,143.57
17413,2023-02-02,苗栗縣,竹南鎮,101,44039,150.57
17796,2023-02-01,苗栗縣,竹南鎮,148,43938,155.43
18174,2023-01-31,苗栗縣,竹南鎮,175,43790,146.57
18558,2023-01-30,苗栗縣,竹南鎮,190,43615,135.14
18945,2023-01-29,苗栗縣,竹南鎮,114,43425,120.86
19323,2023-01-28,苗栗縣,竹南鎮,159,43311,111.86
19700,2023-01-27,苗栗縣,竹南鎮,167,43152,105.86
20080,2023-01-26,苗栗縣,竹南鎮,135,42985,99.43
20453,2023-01-25,苗栗縣,竹南鎮,86,42850,93.29
20820,2023-01-24,苗栗縣,竹南鎮,95,42764,93.14
21194,2023-01-23,苗栗縣,竹南鎮,90,42669,98.86
21562,2023-01-22,苗栗縣,竹南鎮,51,42579,105.43
21927,2023-01-21,苗栗縣,竹南鎮,117,42528,109.43
22300,2023-01-20,苗栗縣,竹南鎮,122,42411,109.71
22666,2023-01-19,苗栗縣,竹南鎮,92,42289,104.71
23039,2023-01-18,苗栗縣,竹南鎮,85,42197,111.14
23407,2023-01-17,苗栗縣,竹南鎮,135,42112,121.57
23774,2023-01-16,苗栗縣,竹南鎮,136,41977,123.14
24149,2023-01-15,苗栗縣,竹南鎮,79,41841,128.29
24515,2023-01-14,苗栗縣,竹南鎮,119,41762,127.29
24882,2023-01-13,苗栗縣,竹南鎮,87,41643,128.43
25251,2023-01-12,苗栗縣,竹南鎮,137,41556,130.14
25626,2023-01-11,苗栗縣,竹南鎮,158,41419,132.57
26002,2023-01-10,苗栗縣,竹南鎮,146,41261,132.43
26375,2023-01-09,苗栗縣,竹南鎮,172,41115,138.57
26750,2023-01-08,苗栗縣,竹南鎮,72,40943,131.14
27111,2023-01-07,苗栗縣,竹南鎮,127,40871,137.29
27482,2023-01-06,苗栗縣,竹南鎮,99,40744,138.86
27859,2023-01-05,苗栗縣,竹南鎮,154,40645,148.43
28238,2023-01-04,苗栗縣,竹南鎮,157,40491,151.14
28619,2023-01-03,苗栗縣,竹南鎮,189,40334,153.29
28999,2023-01-02,苗栗縣,竹南鎮,120,40145,151.57
29373,2023-01-01,苗栗縣,竹南鎮,115,40025,163.00
29734,2022-12-31,苗栗縣,竹南鎮,138,39910,156.14
30099,2022-12-30,苗栗縣,竹南鎮,166,39772,150.00
30474,2022-12-29,苗栗縣,竹南鎮,173,39606,141.86
30845,2022-12-28,苗栗縣,竹南鎮,172,39433,129.57
31215,2022-12-27,苗栗縣,竹南鎮,177,39261,122.71
31591,2022-12-26,苗栗縣,竹南鎮,200,39084,112.14
31960,2022-12-25,苗栗縣,竹南鎮,67,38884,98.14
32317,2022-12-24,苗栗縣,竹南鎮,95,38817,99.86
32676,2022-12-23,苗栗縣,竹南鎮,109,38722,98.43
33042,2022-12-22,苗栗縣,竹南鎮,87,38613,94.43
33408,2022-12-21,苗栗縣,竹南鎮,124,38526,95.57
33777,2022-12-20,苗栗縣,竹南鎮,103,38402,89.57
34142,2022-12-19,苗栗縣,竹南鎮,102,38299,88.29
34511,2022-12-18,苗栗縣,竹南鎮,79,38197,89.29
34859,2022-12-17,苗栗縣,竹南鎮,85,38118,84.29
35221,2022-12-16,苗栗縣,竹南鎮,81,38033,80.00
35585,2022-12-15,苗栗縣,竹南鎮,95,37952,82.43
35954,2022-12-14,苗栗縣,竹南鎮,82,37857,80.71
36313,2022-12-13,苗栗縣,竹南鎮,94,37775,82.29
36691,2022-12-12,苗栗縣,竹南鎮,109,37681,81.57
37057,2022-12-11,苗栗縣,竹南鎮,44,37572,75.14
37413,2022-12-10,苗栗縣,竹南鎮,55,37528,75.29
37782,2022-12-09,苗栗縣,竹南鎮,98,37473,77.00
38146,2022-12-08,苗栗縣,竹南鎮,83,37375,72.86
38519,2022-12-07,苗栗縣,竹南鎮,93,37292,71.71
38890,2022-12-06,苗栗縣,竹南鎮,89,37199,69.43
39264,2022-12-05,苗栗縣,竹南鎮,64,37110,70.43
39641,2022-12-04,苗栗縣,竹南鎮,45,37046,72.71
40006,2022-12-03,苗栗縣,竹南鎮,67,37001,71.29
40377,2022-12-02,苗栗縣,竹南鎮,69,36934,69.43
40742,2022-12-01,苗栗縣,竹南鎮,75,36865,70.14
41115,2022-11-30,苗栗縣,竹南鎮,77,36790,71.57
41487,2022-11-29,苗栗縣,竹南鎮,96,36713,74.43
41867,2022-11-28,苗栗縣,竹南鎮,80,36617,75.43
42244,2022-11-27,苗栗縣,竹南鎮,35,36537,82.43
42602,2022-11-26,苗栗縣,竹南鎮,54,36502,86.00
42962,2022-11-25,苗栗縣,竹南鎮,74,36448,88.71
43331,2022-11-24,苗栗縣,竹南鎮,85,36374,91.43
43700,2022-11-23,苗栗縣,竹南鎮,97,36289,91.71
44074,2022-11-22,苗栗縣,竹南鎮,103,36192,98.86
44449,2022-11-21,苗栗縣,竹南鎮,129,36089,101.71
44829,2022-11-20,苗栗縣,竹南鎮,60,35960,100.14
45194,2022-11-19,苗栗縣,竹南鎮,73,35900,105.86
45567,2022-11-18,苗栗縣,竹南鎮,93,35827,107.43
45940,2022-11-17,苗栗縣,竹南鎮,87,35734,105.86
46312,2022-11-16,苗栗縣,竹南鎮,147,35647,106.43
46694,2022-11-15,苗栗縣,竹南鎮,123,35500,100.57
47072,2022-11-14,苗栗縣,竹南鎮,118,35377,99.57
47452,2022-11-13,苗栗縣,竹南鎮,100,35259,96.57
47824,2022-11-12,苗栗縣,竹南鎮,84,35159,91.43
48200,2022-11-11,苗栗縣,竹南鎮,82,35075,90.43
48579,2022-11-10,苗栗縣,竹南鎮,91,34993,92.43
48962,2022-11-09,苗栗縣,竹南鎮,106,34902,99.57
49348,2022-11-08,苗栗縣,竹南鎮,116,34796,100.00
