UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
249,2023-06-14,苗栗縣,苑裡鎮,4,17939,0.57
447,2023-03-22,苗栗縣,苑裡鎮,1,17935,7.86
842,2023-03-20,苗栗縣,苑裡鎮,4,17934,11.71
1160,2023-03-19,苗栗縣,苑裡鎮,4,17930,13.00
1492,2023-03-18,苗栗縣,苑裡鎮,21,17926,14.86
1845,2023-03-17,苗栗縣,苑裡鎮,12,17905,15.14
2191,2023-03-16,苗栗縣,苑裡鎮,13,17893,15.86
2544,2023-03-15,苗栗縣,苑裡鎮,16,17880,16.00
2901,2023-03-14,苗栗縣,苑裡鎮,12,17864,16.57
3258,2023-03-13,苗栗縣,苑裡鎮,13,17852,17.57
3607,2023-03-12,苗栗縣,苑裡鎮,17,17839,18.43
3962,2023-03-11,苗栗縣,苑裡鎮,23,17822,18.86
4314,2023-03-10,苗栗縣,苑裡鎮,17,17799,18.14
4669,2023-03-09,苗栗縣,苑裡鎮,14,17782,18.00
5026,2023-03-08,苗栗縣,苑裡鎮,20,17768,17.43
5381,2023-03-07,苗栗縣,苑裡鎮,19,17748,18.00
5746,2023-03-06,苗栗縣,苑裡鎮,19,17729,18.43
6096,2023-03-05,苗栗縣,苑裡鎮,20,17710,18.57
6443,2023-03-04,苗栗縣,苑裡鎮,18,17690,18.14
6798,2023-03-03,苗栗縣,苑裡鎮,16,17672,19.29
7160,2023-03-02,苗栗縣,苑裡鎮,10,17656,19.43
7527,2023-03-01,苗栗縣,苑裡鎮,24,17646,22.57
7896,2023-02-28,苗栗縣,苑裡鎮,22,17622,22.43
8257,2023-02-27,苗栗縣,苑裡鎮,20,17600,24.14
8603,2023-02-26,苗栗縣,苑裡鎮,17,17580,23.86
8967,2023-02-25,苗栗縣,苑裡鎮,26,17563,25.43
9330,2023-02-24,苗栗縣,苑裡鎮,17,17537,25.86
9697,2023-02-23,苗栗縣,苑裡鎮,32,17520,27.57
10071,2023-02-22,苗栗縣,苑裡鎮,23,17488,27.00
10442,2023-02-21,苗栗縣,苑裡鎮,34,17465,26.43
10816,2023-02-20,苗栗縣,苑裡鎮,18,17431,27.71
11178,2023-02-19,苗栗縣,苑裡鎮,28,17413,30.43
11546,2023-02-18,苗栗縣,苑裡鎮,29,17385,28.00
11918,2023-02-17,苗栗縣,苑裡鎮,29,17356,27.57
12291,2023-02-16,苗栗縣,苑裡鎮,28,17327,27.43
12665,2023-02-15,苗栗縣,苑裡鎮,19,17299,29.29
13039,2023-02-14,苗栗縣,苑裡鎮,43,17280,32.14
13414,2023-02-13,苗栗縣,苑裡鎮,37,17237,33.57
13782,2023-02-12,苗栗縣,苑裡鎮,11,17200,36.71
14149,2023-02-11,苗栗縣,苑裡鎮,26,17189,44.00
14517,2023-02-10,苗栗縣,苑裡鎮,28,17163,46.86
14891,2023-02-09,苗栗縣,苑裡鎮,41,17135,49.57
15270,2023-02-08,苗栗縣,苑裡鎮,39,17094,54.14
15651,2023-02-07,苗栗縣,苑裡鎮,53,17055,58.14
16031,2023-02-06,苗栗縣,苑裡鎮,59,17002,63.14
16403,2023-02-05,苗栗縣,苑裡鎮,62,16943,63.86
16780,2023-02-04,苗栗縣,苑裡鎮,46,16881,65.71
17160,2023-02-03,苗栗縣,苑裡鎮,47,16835,67.14
17547,2023-02-02,苗栗縣,苑裡鎮,73,16788,68.71
17926,2023-02-01,苗栗縣,苑裡鎮,67,16715,67.57
18309,2023-01-31,苗栗縣,苑裡鎮,88,16648,61.43
18694,2023-01-30,苗栗縣,苑裡鎮,64,16560,54.43
19078,2023-01-29,苗栗縣,苑裡鎮,75,16496,51.00
19456,2023-01-28,苗栗縣,苑裡鎮,56,16421,44.71
19833,2023-01-27,苗栗縣,苑裡鎮,58,16365,42.71
20210,2023-01-26,苗栗縣,苑裡鎮,65,16307,40.29
20582,2023-01-25,苗栗縣,苑裡鎮,24,16242,35.14
20951,2023-01-24,苗栗縣,苑裡鎮,39,16218,36.43
21319,2023-01-23,苗栗縣,苑裡鎮,40,16179,36.43
21689,2023-01-22,苗栗縣,苑裡鎮,31,16139,34.29
22057,2023-01-21,苗栗縣,苑裡鎮,42,16108,34.14
22426,2023-01-20,苗栗縣,苑裡鎮,41,16066,32.43
22793,2023-01-19,苗栗縣,苑裡鎮,29,16025,30.71
23165,2023-01-18,苗栗縣,苑裡鎮,33,15996,30.86
23530,2023-01-17,苗栗縣,苑裡鎮,39,15963,30.14
23903,2023-01-16,苗栗縣,苑裡鎮,25,15924,30.29
24275,2023-01-15,苗栗縣,苑裡鎮,30,15899,31.29
24641,2023-01-14,苗栗縣,苑裡鎮,30,15869,30.86
25009,2023-01-13,苗栗縣,苑裡鎮,29,15839,32.14
25383,2023-01-12,苗栗縣,苑裡鎮,30,15810,35.29
25756,2023-01-11,苗栗縣,苑裡鎮,28,15780,38.57
26131,2023-01-10,苗栗縣,苑裡鎮,40,15752,40.86
26507,2023-01-09,苗栗縣,苑裡鎮,32,15712,41.57
26873,2023-01-08,苗栗縣,苑裡鎮,27,15680,42.29
27238,2023-01-07,苗栗縣,苑裡鎮,39,15653,43.00
27610,2023-01-06,苗栗縣,苑裡鎮,51,15614,41.71
27991,2023-01-05,苗栗縣,苑裡鎮,53,15563,40.14
28371,2023-01-04,苗栗縣,苑裡鎮,44,15510,39.57
28753,2023-01-03,苗栗縣,苑裡鎮,45,15466,38.57
29128,2023-01-02,苗栗縣,苑裡鎮,37,15421,38.86
29495,2023-01-01,苗栗縣,苑裡鎮,32,15384,40.29
29861,2022-12-31,苗栗縣,苑裡鎮,30,15352,39.86
30227,2022-12-30,苗栗縣,苑裡鎮,40,15322,37.86
30600,2022-12-29,苗栗縣,苑裡鎮,49,15282,34.71
30973,2022-12-28,苗栗縣,苑裡鎮,37,15233,30.86
31347,2022-12-27,苗栗縣,苑裡鎮,47,15196,29.57
31720,2022-12-26,苗栗縣,苑裡鎮,47,15149,26.43
32079,2022-12-25,苗栗縣,苑裡鎮,29,15102,24.71
32441,2022-12-24,苗栗縣,苑裡鎮,16,15073,24.86
32800,2022-12-23,苗栗縣,苑裡鎮,18,15057,24.29
33167,2022-12-22,苗栗縣,苑裡鎮,22,15039,24.29
33536,2022-12-21,苗栗縣,苑裡鎮,28,15017,25.29
33902,2022-12-20,苗栗縣,苑裡鎮,25,14989,24.71
34269,2022-12-19,苗栗縣,苑裡鎮,35,14964,24.43
34624,2022-12-18,苗栗縣,苑裡鎮,30,14929,22.29
34984,2022-12-17,苗栗縣,苑裡鎮,12,14899,20.14
35348,2022-12-16,苗栗縣,苑裡鎮,18,14887,21.14
35712,2022-12-15,苗栗縣,苑裡鎮,29,14869,22.86
36074,2022-12-14,苗栗縣,苑裡鎮,24,14840,22.14
36443,2022-12-13,苗栗縣,苑裡鎮,23,14816,22.29
36821,2022-12-12,苗栗縣,苑裡鎮,20,14793,22.14
37172,2022-12-11,苗栗縣,苑裡鎮,15,14773,24.14
37539,2022-12-10,苗栗縣,苑裡鎮,19,14758,26.14
37907,2022-12-09,苗栗縣,苑裡鎮,30,14739,26.57
38276,2022-12-08,苗栗縣,苑裡鎮,24,14709,25.29
38651,2022-12-07,苗栗縣,苑裡鎮,25,14685,25.86
39016,2022-12-06,苗栗縣,苑裡鎮,22,14660,26.43
39393,2022-12-05,苗栗縣,苑裡鎮,34,14638,29.29
39766,2022-12-04,苗栗縣,苑裡鎮,29,14604,28.00
40135,2022-12-03,苗栗縣,苑裡鎮,22,14575,27.29
40502,2022-12-02,苗栗縣,苑裡鎮,21,14553,26.14
40869,2022-12-01,苗栗縣,苑裡鎮,28,14532,26.43
41243,2022-11-30,苗栗縣,苑裡鎮,29,14504,25.86
41618,2022-11-29,苗栗縣,苑裡鎮,42,14475,25.14
41997,2022-11-28,苗栗縣,苑裡鎮,25,14433,23.71
42368,2022-11-27,苗栗縣,苑裡鎮,24,14408,24.00
42721,2022-11-26,苗栗縣,苑裡鎮,14,14384,24.57
43089,2022-11-25,苗栗縣,苑裡鎮,23,14370,25.29
43459,2022-11-24,苗栗縣,苑裡鎮,24,14347,27.29
43827,2022-11-23,苗栗縣,苑裡鎮,24,14323,27.14
44202,2022-11-22,苗栗縣,苑裡鎮,32,14299,28.43
44580,2022-11-21,苗栗縣,苑裡鎮,27,14267,27.43
44952,2022-11-20,苗栗縣,苑裡鎮,28,14240,27.43
45321,2022-11-19,苗栗縣,苑裡鎮,19,14212,27.86
45692,2022-11-18,苗栗縣,苑裡鎮,37,14193,28.29
46064,2022-11-17,苗栗縣,苑裡鎮,23,14156,26.86
46442,2022-11-16,苗栗縣,苑裡鎮,33,14133,28.57
46823,2022-11-15,苗栗縣,苑裡鎮,25,14100,29.14
47203,2022-11-14,苗栗縣,苑裡鎮,27,14075,30.43
47578,2022-11-13,苗栗縣,苑裡鎮,31,14048,32.57
47951,2022-11-12,苗栗縣,苑裡鎮,22,14017,34.00
48331,2022-11-11,苗栗縣,苑裡鎮,27,13995,37.86
48712,2022-11-10,苗栗縣,苑裡鎮,35,13968,39.57
49095,2022-11-09,苗栗縣,苑裡鎮,37,13933,43.14
49481,2022-11-08,苗栗縣,苑裡鎮,34,13896,47.57
49865,2022-11-07,苗栗縣,苑裡鎮,42,13862,53.00
50238,2022-11-06,苗栗縣,苑裡鎮,41,13820,55.43
50612,2022-11-05,苗栗縣,苑裡鎮,49,13779,57.71
50996,2022-11-04,苗栗縣,苑裡鎮,39,13730,58.29
51379,2022-11-03,苗栗縣,苑裡鎮,60,13691,61.71
51760,2022-11-02,苗栗縣,苑裡鎮,68,13631,63.14
52148,2022-11-01,苗栗縣,苑裡鎮,72,13563,61.57
52529,2022-10-31,苗栗縣,苑裡鎮,59,13491,59.71
52911,2022-10-30,苗栗縣,苑裡鎮,57,13432,62.14
53290,2022-10-29,苗栗縣,苑裡鎮,53,13375,65.14
53674,2022-10-28,苗栗縣,苑裡鎮,63,13322,64.86
54060,2022-10-27,苗栗縣,苑裡鎮,70,13259,67.00
54444,2022-10-26,苗栗縣,苑裡鎮,57,13189,67.86
54832,2022-10-25,苗栗縣,苑裡鎮,59,13132,69.14
55222,2022-10-24,苗栗縣,苑裡鎮,76,13073,72.43
55605,2022-10-23,苗栗縣,苑裡鎮,78,12997,72.00
55987,2022-10-22,苗栗縣,苑裡鎮,51,12919,72.86
56375,2022-10-21,苗栗縣,苑裡鎮,78,12868,77.00
56761,2022-10-20,苗栗縣,苑裡鎮,76,12790,81.71
57148,2022-10-19,苗栗縣,苑裡鎮,66,12714,87.86
57536,2022-10-18,苗栗縣,苑裡鎮,82,12648,93.57
57926,2022-10-17,苗栗縣,苑裡鎮,73,12566,97.29
58314,2022-10-16,苗栗縣,苑裡鎮,84,12493,99.86
58700,2022-10-15,苗栗縣,苑裡鎮,80,12409,97.43
59086,2022-10-14,苗栗縣,苑裡鎮,111,12329,95.29
59475,2022-10-13,苗栗縣,苑裡鎮,119,12218,89.57
59866,2022-10-12,苗栗縣,苑裡鎮,106,12099,85.57
60256,2022-10-11,苗栗縣,苑裡鎮,108,11993,83.00
60646,2022-10-10,苗栗縣,苑裡鎮,91,11885,82.00
