UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
192,2023-06-14,苗栗縣,苗栗市,14,39031,2.00
438,2023-03-22,苗栗縣,苗栗市,1,39017,14.00
758,2023-03-20,苗栗縣,苗栗市,5,39016,23.29
1059,2023-03-19,苗栗縣,苗栗市,19,39011,29.71
1387,2023-03-18,苗栗縣,苗栗市,27,38992,31.86
1730,2023-03-17,苗栗縣,苗栗市,28,38965,32.71
2084,2023-03-16,苗栗縣,苗栗市,18,38937,33.71
2437,2023-03-15,苗栗縣,苗栗市,24,38919,36.14
2785,2023-03-14,苗栗縣,苗栗市,42,38895,38.29
3143,2023-03-13,苗栗縣,苗栗市,50,38853,36.14
3498,2023-03-12,苗栗縣,苗栗市,34,38803,34.71
3848,2023-03-11,苗栗縣,苗栗市,33,38769,32.71
4199,2023-03-10,苗栗縣,苗栗市,35,38736,33.57
4556,2023-03-09,苗栗縣,苗栗市,35,38701,34.71
4912,2023-03-08,苗栗縣,苗栗市,39,38666,34.14
5268,2023-03-07,苗栗縣,苗栗市,27,38627,37.71
5631,2023-03-06,苗栗縣,苗栗市,40,38600,40.43
5990,2023-03-05,苗栗縣,苗栗市,20,38560,37.57
6330,2023-03-04,苗栗縣,苗栗市,39,38540,40.00
6685,2023-03-03,苗栗縣,苗栗市,43,38501,39.71
7044,2023-03-02,苗栗縣,苗栗市,31,38458,42.29
7409,2023-03-01,苗栗縣,苗栗市,64,38427,45.43
7779,2023-02-28,苗栗縣,苗栗市,46,38363,45.29
8145,2023-02-27,苗栗縣,苗栗市,20,38317,49.57
8497,2023-02-26,苗栗縣,苗栗市,37,38297,60.29
8847,2023-02-25,苗栗縣,苗栗市,37,38260,61.86
9215,2023-02-24,苗栗縣,苗栗市,61,38223,66.14
9578,2023-02-23,苗栗縣,苗栗市,53,38162,66.71
9949,2023-02-22,苗栗縣,苗栗市,63,38109,69.29
10323,2023-02-21,苗栗縣,苗栗市,76,38046,73.43
10693,2023-02-20,苗栗縣,苗栗市,95,37970,75.71
11070,2023-02-19,苗栗縣,苗栗市,48,37875,77.29
11431,2023-02-18,苗栗縣,苗栗市,67,37827,79.00
11798,2023-02-17,苗栗縣,苗栗市,65,37760,81.43
12171,2023-02-16,苗栗縣,苗栗市,71,37695,81.43
12545,2023-02-15,苗栗縣,苗栗市,92,37624,81.86
12918,2023-02-14,苗栗縣,苗栗市,92,37532,80.29
13290,2023-02-13,苗栗縣,苗栗市,106,37440,79.71
13668,2023-02-12,苗栗縣,苗栗市,60,37334,79.14
14026,2023-02-11,苗栗縣,苗栗市,84,37274,87.00
14397,2023-02-10,苗栗縣,苗栗市,65,37190,88.14
14771,2023-02-09,苗栗縣,苗栗市,74,37125,91.57
15149,2023-02-08,苗栗縣,苗栗市,81,37051,98.29
15527,2023-02-07,苗栗縣,苗栗市,88,36970,97.43
15907,2023-02-06,苗栗縣,苗栗市,102,36882,101.00
16284,2023-02-05,苗栗縣,苗栗市,115,36780,107.00
16656,2023-02-04,苗栗縣,苗栗市,92,36665,105.71
17036,2023-02-03,苗栗縣,苗栗市,89,36573,105.71
17421,2023-02-02,苗栗縣,苗栗市,121,36484,105.29
17803,2023-02-01,苗栗縣,苗栗市,75,36363,100.14
18182,2023-01-31,苗栗縣,苗栗市,113,36288,101.57
18567,2023-01-30,苗栗縣,苗栗市,144,36175,96.86
18953,2023-01-29,苗栗縣,苗栗市,106,36031,84.43
19331,2023-01-28,苗栗縣,苗栗市,92,35925,78.14
19707,2023-01-27,苗栗縣,苗栗市,86,35833,77.57
20088,2023-01-26,苗栗縣,苗栗市,85,35747,79.00
20461,2023-01-25,苗栗縣,苗栗市,85,35662,78.00
20829,2023-01-24,苗栗縣,苗栗市,80,35577,78.29
21202,2023-01-23,苗栗縣,苗栗市,57,35497,81.57
21570,2023-01-22,苗栗縣,苗栗市,62,35440,86.43
21936,2023-01-21,苗栗縣,苗栗市,88,35378,86.14
22309,2023-01-20,苗栗縣,苗栗市,96,35290,86.86
22675,2023-01-19,苗栗縣,苗栗市,78,35194,87.86
23047,2023-01-18,苗栗縣,苗栗市,87,35116,86.86
23416,2023-01-17,苗栗縣,苗栗市,103,35029,89.00
23781,2023-01-16,苗栗縣,苗栗市,91,34926,88.14
24158,2023-01-15,苗栗縣,苗栗市,60,34835,89.14
24523,2023-01-14,苗栗縣,苗栗市,93,34775,93.29
24889,2023-01-13,苗栗縣,苗栗市,103,34682,94.14
25259,2023-01-12,苗栗縣,苗栗市,71,34579,92.43
25634,2023-01-11,苗栗縣,苗栗市,102,34508,99.29
26010,2023-01-10,苗栗縣,苗栗市,97,34406,102.43
26383,2023-01-09,苗栗縣,苗栗市,98,34309,113.29
26757,2023-01-08,苗栗縣,苗栗市,89,34211,115.14
27118,2023-01-07,苗栗縣,苗栗市,99,34122,111.29
27490,2023-01-06,苗栗縣,苗栗市,91,34023,106.86
27867,2023-01-05,苗栗縣,苗栗市,119,33932,109.14
28246,2023-01-04,苗栗縣,苗栗市,124,33813,109.00
28627,2023-01-03,苗栗縣,苗栗市,173,33689,105.00
29008,2023-01-02,苗栗縣,苗栗市,111,33516,97.86
29381,2023-01-01,苗栗縣,苗栗市,62,33405,94.57
29742,2022-12-31,苗栗縣,苗栗市,68,33343,99.00
30108,2022-12-30,苗栗縣,苗栗市,107,33275,99.29
30482,2022-12-29,苗栗縣,苗栗市,118,33168,91.14
30854,2022-12-28,苗栗縣,苗栗市,96,33050,85.43
31223,2022-12-27,苗栗縣,苗栗市,123,32954,81.86
31599,2022-12-26,苗栗縣,苗栗市,88,32831,75.00
31967,2022-12-25,苗栗縣,苗栗市,93,32743,74.43
32325,2022-12-24,苗栗縣,苗栗市,70,32650,69.57
32684,2022-12-23,苗栗縣,苗栗市,50,32580,67.86
33050,2022-12-22,苗栗縣,苗栗市,78,32530,70.71
33416,2022-12-21,苗栗縣,苗栗市,71,32452,67.00
33784,2022-12-20,苗栗縣,苗栗市,75,32381,69.14
34150,2022-12-19,苗栗縣,苗栗市,84,32306,70.71
34519,2022-12-18,苗栗縣,苗栗市,59,32222,71.71
34867,2022-12-17,苗栗縣,苗栗市,58,32163,70.86
35229,2022-12-16,苗栗縣,苗栗市,70,32105,70.29
35593,2022-12-15,苗栗縣,苗栗市,52,32035,69.14
