UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
448,2023-03-22,苗栗縣,通霄鎮,1,10444,6.29
848,2023-03-20,苗栗縣,通霄鎮,4,10443,8.71
1171,2023-03-19,苗栗縣,通霄鎮,9,10439,9.71
1502,2023-03-18,苗栗縣,通霄鎮,9,10430,9.71
1856,2023-03-17,苗栗縣,通霄鎮,14,10421,9.86
2203,2023-03-16,苗栗縣,通霄鎮,7,10407,8.86
2555,2023-03-15,苗栗縣,通霄鎮,11,10400,9.00
2912,2023-03-14,苗栗縣,通霄鎮,7,10389,10.00
3270,2023-03-13,苗栗縣,通霄鎮,11,10382,10.57
3617,2023-03-12,苗栗縣,通霄鎮,9,10371,10.86
3973,2023-03-11,苗栗縣,通霄鎮,10,10362,10.14
4326,2023-03-10,苗栗縣,通霄鎮,7,10352,10.29
4679,2023-03-09,苗栗縣,通霄鎮,8,10345,11.71
5037,2023-03-08,苗栗縣,通霄鎮,18,10337,12.14
5393,2023-03-07,苗栗縣,通霄鎮,11,10319,12.57
5758,2023-03-06,苗栗縣,通霄鎮,13,10308,13.57
6104,2023-03-05,苗栗縣,通霄鎮,4,10295,13.57
6454,2023-03-04,苗栗縣,通霄鎮,11,10291,14.57
6807,2023-03-03,苗栗縣,通霄鎮,17,10280,16.00
7172,2023-03-02,苗栗縣,通霄鎮,11,10263,15.86
7538,2023-03-01,苗栗縣,通霄鎮,21,10252,16.71
7907,2023-02-28,苗栗縣,通霄鎮,18,10231,16.43
8267,2023-02-27,苗栗縣,通霄鎮,13,10213,16.57
8614,2023-02-26,苗栗縣,通霄鎮,11,10200,16.71
8979,2023-02-25,苗栗縣,通霄鎮,21,10189,17.00
9342,2023-02-24,苗栗縣,通霄鎮,16,10168,15.86
9709,2023-02-23,苗栗縣,通霄鎮,17,10152,15.00
10083,2023-02-22,苗栗縣,通霄鎮,19,10135,14.14
10454,2023-02-21,苗栗縣,通霄鎮,19,10116,12.57
10828,2023-02-20,苗栗縣,通霄鎮,14,10097,12.00
11189,2023-02-19,苗栗縣,通霄鎮,13,10083,12.86
11558,2023-02-18,苗栗縣,通霄鎮,13,10070,12.57
11930,2023-02-17,苗栗縣,通霄鎮,10,10057,12.43
12303,2023-02-16,苗栗縣,通霄鎮,11,10047,12.29
12676,2023-02-15,苗栗縣,通霄鎮,8,10036,13.71
13051,2023-02-14,苗栗縣,通霄鎮,15,10028,15.14
13426,2023-02-13,苗栗縣,通霄鎮,20,10013,16.29
13793,2023-02-12,苗栗縣,通霄鎮,11,9993,18.43
14161,2023-02-11,苗栗縣,通霄鎮,12,9982,18.43
14529,2023-02-10,苗栗縣,通霄鎮,9,9970,20.00
14903,2023-02-09,苗栗縣,通霄鎮,21,9961,22.86
15282,2023-02-08,苗栗縣,通霄鎮,18,9940,24.71
15663,2023-02-07,苗栗縣,通霄鎮,23,9922,26.29
16042,2023-02-06,苗栗縣,通霄鎮,35,9899,27.14
16415,2023-02-05,苗栗縣,通霄鎮,11,9864,27.57
16792,2023-02-04,苗栗縣,通霄鎮,23,9853,29.57
17172,2023-02-03,苗栗縣,通霄鎮,29,9830,30.14
17559,2023-02-02,苗栗縣,通霄鎮,34,9801,29.57
17938,2023-02-01,苗栗縣,通霄鎮,29,9767,29.00
18321,2023-01-31,苗栗縣,通霄鎮,29,9738,26.57
18706,2023-01-30,苗栗縣,通霄鎮,38,9709,25.43
19090,2023-01-29,苗栗縣,通霄鎮,25,9671,22.57
19468,2023-01-28,苗栗縣,通霄鎮,27,9646,20.57
19845,2023-01-27,苗栗縣,通霄鎮,25,9619,21.29
20221,2023-01-26,苗栗縣,通霄鎮,30,9594,19.57
20594,2023-01-25,苗栗縣,通霄鎮,12,9564,17.71
20963,2023-01-24,苗栗縣,通霄鎮,21,9552,18.29
21331,2023-01-23,苗栗縣,通霄鎮,18,9531,17.29
21700,2023-01-22,苗栗縣,通霄鎮,11,9513,17.00
22069,2023-01-21,苗栗縣,通霄鎮,32,9502,18.43
22437,2023-01-20,苗栗縣,通霄鎮,13,9470,16.29
22804,2023-01-19,苗栗縣,通霄鎮,17,9457,17.14
23177,2023-01-18,苗栗縣,通霄鎮,16,9440,17.71
23542,2023-01-17,苗栗縣,通霄鎮,14,9424,20.00
23915,2023-01-16,苗栗縣,通霄鎮,16,9410,22.71
24287,2023-01-15,苗栗縣,通霄鎮,21,9394,23.57
24653,2023-01-14,苗栗縣,通霄鎮,17,9373,23.14
25021,2023-01-13,苗栗縣,通霄鎮,19,9356,23.71
25395,2023-01-12,苗栗縣,通霄鎮,21,9337,25.57
25768,2023-01-11,苗栗縣,通霄鎮,32,9316,28.14
26143,2023-01-10,苗栗縣,通霄鎮,33,9284,28.00
26519,2023-01-09,苗栗縣,通霄鎮,22,9251,27.29
26885,2023-01-08,苗栗縣,通霄鎮,18,9229,28.14
27250,2023-01-07,苗栗縣,通霄鎮,21,9211,29.43
27622,2023-01-06,苗栗縣,通霄鎮,32,9190,29.29
28003,2023-01-05,苗栗縣,通霄鎮,39,9158,27.14
28383,2023-01-04,苗栗縣,通霄鎮,31,9119,24.57
28765,2023-01-03,苗栗縣,通霄鎮,28,9088,24.57
29140,2023-01-02,苗栗縣,通霄鎮,28,9060,23.43
29506,2023-01-01,苗栗縣,通霄鎮,27,9032,22.86
29873,2022-12-31,苗栗縣,通霄鎮,20,9005,20.29
30239,2022-12-30,苗栗縣,通霄鎮,17,8985,19.29
