UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
536,2023-03-21,苗栗縣,造橋鄉,1,5957,2.86
723,2023-03-20,苗栗縣,造橋鄉,1,5956,3.14
1016,2023-03-19,苗栗縣,造橋鄉,2,5955,3.86
1346,2023-03-18,苗栗縣,造橋鄉,5,5953,3.86
1686,2023-03-17,苗栗縣,造橋鄉,6,5948,3.29
2039,2023-03-16,苗栗縣,造橋鄉,1,5942,2.86
2391,2023-03-15,苗栗縣,造橋鄉,4,5941,2.86
2741,2023-03-14,苗栗縣,造橋鄉,3,5937,2.57
3098,2023-03-13,苗栗縣,造橋鄉,6,5934,3.14
3457,2023-03-12,苗栗縣,造橋鄉,2,5928,3.29
3804,2023-03-11,苗栗縣,造橋鄉,1,5926,3.29
4155,2023-03-10,苗栗縣,造橋鄉,3,5925,3.86
4511,2023-03-09,苗栗縣,造橋鄉,1,5922,4.00
4870,2023-03-08,苗栗縣,造橋鄉,2,5921,5.14
5223,2023-03-07,苗栗縣,造橋鄉,7,5919,5.71
5584,2023-03-06,苗栗縣,造橋鄉,7,5912,5.14
5948,2023-03-05,苗栗縣,造橋鄉,2,5905,4.43
6285,2023-03-04,苗栗縣,造橋鄉,5,5903,4.43
6640,2023-03-03,苗栗縣,造橋鄉,4,5898,4.71
6998,2023-03-02,苗栗縣,造橋鄉,9,5894,4.43
7363,2023-03-01,苗栗縣,造橋鄉,6,5885,3.71
7733,2023-02-28,苗栗縣,造橋鄉,3,5879,3.57
8097,2023-02-27,苗栗縣,造橋鄉,2,5876,4.29
8455,2023-02-26,苗栗縣,造橋鄉,2,5874,5.14
8800,2023-02-25,苗栗縣,造橋鄉,7,5872,6.57
9170,2023-02-24,苗栗縣,造橋鄉,2,5865,6.00
9531,2023-02-23,苗栗縣,造橋鄉,4,5863,6.14
9902,2023-02-22,苗栗縣,造橋鄉,5,5859,6.86
10276,2023-02-21,苗栗縣,造橋鄉,8,5854,7.00
10646,2023-02-20,苗栗縣,造橋鄉,8,5846,7.29
11024,2023-02-19,苗栗縣,造橋鄉,12,5838,7.29
11384,2023-02-18,苗栗縣,造橋鄉,3,5826,7.43
11750,2023-02-17,苗栗縣,造橋鄉,3,5823,8.57
12123,2023-02-16,苗栗縣,造橋鄉,9,5820,9.86
12497,2023-02-15,苗栗縣,造橋鄉,6,5811,9.86
12871,2023-02-14,苗栗縣,造橋鄉,10,5805,11.00
13243,2023-02-13,苗栗縣,造橋鄉,8,5795,11.29
13621,2023-02-12,苗栗縣,造橋鄉,13,5787,13.43
13979,2023-02-11,苗栗縣,造橋鄉,11,5774,12.29
14351,2023-02-10,苗栗縣,造橋鄉,12,5763,13.14
