UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
3022,2023-03-20,苗栗縣,銅鑼鄉,25-29,487
3023,2023-03-19,苗栗縣,銅鑼鄉,65-69,258
3024,2023-03-19,苗栗縣,銅鑼鄉,45-49,342
3025,2023-03-18,苗栗縣,銅鑼鄉,50-54,384
3026,2023-03-18,苗栗縣,銅鑼鄉,40-44,399
3027,2023-03-18,苗栗縣,銅鑼鄉,20-24,354
3028,2023-03-18,苗栗縣,銅鑼鄉,60-64,340
3029,2023-03-18,苗栗縣,銅鑼鄉,15-19,348
3030,2023-03-17,苗栗縣,銅鑼鄉,35-39,435
3031,2023-03-17,苗栗縣,銅鑼鄉,70+,583
3032,2023-03-16,苗栗縣,銅鑼鄉,30-34,499
3033,2023-03-15,苗栗縣,銅鑼鄉,55-59,413
3034,2023-03-15,苗栗縣,銅鑼鄉,4,58
3035,2023-03-13,苗栗縣,銅鑼鄉,10-14,320
3036,2023-03-08,苗栗縣,銅鑼鄉,5-9,302
3037,2023-03-08,苗栗縣,銅鑼鄉,1,56
3038,2023-03-06,苗栗縣,銅鑼鄉,2,49
3039,2023-03-01,苗栗縣,銅鑼鄉,3,65
3040,2023-02-16,苗栗縣,銅鑼鄉,0,37
