UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1475,2023-02-27,苗栗縣,銅鑼鄉,1,23,0.14
2111,2023-02-16,苗栗縣,銅鑼鄉,1,22,0.14
3766,2023-01-19,苗栗縣,銅鑼鄉,1,21,0.14
4457,2023-01-05,苗栗縣,銅鑼鄉,1,20,0.14
5236,2022-12-18,苗栗縣,銅鑼鄉,1,19,0.14
5485,2022-12-11,苗栗縣,銅鑼鄉,1,18,0.14
6296,2022-11-21,苗栗縣,銅鑼鄉,1,17,0.14
6825,2022-11-11,苗栗縣,銅鑼鄉,1,16,0.14
8172,2022-10-21,苗栗縣,銅鑼鄉,1,15,0.14
9489,2022-10-02,苗栗縣,銅鑼鄉,1,14,0.43
9608,2022-09-30,苗栗縣,銅鑼鄉,1,13,0.29
9670,2022-09-29,苗栗縣,銅鑼鄉,1,12,0.14
10762,2022-09-09,苗栗縣,銅鑼鄉,1,11,0.14
13002,2022-07-20,苗栗縣,銅鑼鄉,1,10,0.43
13269,2022-07-16,苗栗縣,銅鑼鄉,1,9,0.43
13399,2022-07-14,苗栗縣,銅鑼鄉,1,8,0.29
13470,2022-07-13,苗栗縣,銅鑼鄉,1,7,0.14
14348,2022-07-02,苗栗縣,銅鑼鄉,1,6,0.14
15122,2022-06-24,苗栗縣,銅鑼鄉,1,5,0.14
16318,2022-06-14,苗栗縣,銅鑼鄉,2,4,0.57
16689,2022-06-11,苗栗縣,銅鑼鄉,2,2,0.29
