UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
783,2023-03-20,苗栗縣,銅鑼鄉,1,5729,5.43
1085,2023-03-19,苗栗縣,銅鑼鄉,5,5728,6.29
1417,2023-03-18,苗栗縣,銅鑼鄉,5,5723,6.14
1762,2023-03-17,苗栗縣,銅鑼鄉,8,5718,5.71
2114,2023-03-16,苗栗縣,銅鑼鄉,5,5710,5.14
2467,2023-03-15,苗栗縣,銅鑼鄉,10,5705,5.00
2817,2023-03-14,苗栗縣,銅鑼鄉,4,5695,5.14
3175,2023-03-13,苗栗縣,銅鑼鄉,7,5691,5.14
3530,2023-03-12,苗栗縣,銅鑼鄉,4,5684,5.14
3881,2023-03-11,苗栗縣,銅鑼鄉,2,5680,4.86
4229,2023-03-10,苗栗縣,銅鑼鄉,4,5678,5.14
4588,2023-03-09,苗栗縣,銅鑼鄉,4,5674,4.71
4943,2023-03-08,苗栗縣,銅鑼鄉,11,5670,4.71
5299,2023-03-07,苗栗縣,銅鑼鄉,4,5659,4.00
5661,2023-03-06,苗栗縣,銅鑼鄉,7,5655,4.00
6020,2023-03-05,苗栗縣,銅鑼鄉,2,5648,3.86
6361,2023-03-04,苗栗縣,銅鑼鄉,4,5646,4.14
6715,2023-03-03,苗栗縣,銅鑼鄉,1,5642,4.86
7076,2023-03-02,苗栗縣,銅鑼鄉,4,5641,5.57
7439,2023-03-01,苗栗縣,銅鑼鄉,6,5637,6.43
7810,2023-02-28,苗栗縣,銅鑼鄉,4,5631,6.43
8177,2023-02-27,苗栗縣,銅鑼鄉,6,5627,6.14
8527,2023-02-26,苗栗縣,銅鑼鄉,4,5621,6.14
8880,2023-02-25,苗栗縣,銅鑼鄉,9,5617,6.14
9248,2023-02-24,苗栗縣,銅鑼鄉,6,5608,5.57
9611,2023-02-23,苗栗縣,銅鑼鄉,10,5602,5.71
9981,2023-02-22,苗栗縣,銅鑼鄉,6,5592,5.14
10354,2023-02-21,苗栗縣,銅鑼鄉,2,5586,5.86
10726,2023-02-20,苗栗縣,銅鑼鄉,6,5584,6.86
11100,2023-02-19,苗栗縣,銅鑼鄉,4,5578,7.71
11463,2023-02-18,苗栗縣,銅鑼鄉,5,5574,8.00
11827,2023-02-17,苗栗縣,銅鑼鄉,7,5569,8.29
12203,2023-02-16,苗栗縣,銅鑼鄉,6,5562,9.00
12577,2023-02-15,苗栗縣,銅鑼鄉,11,5556,9.57
12951,2023-02-14,苗栗縣,銅鑼鄉,9,5545,10.14
13322,2023-02-13,苗栗縣,銅鑼鄉,12,5536,11.00
13700,2023-02-12,苗栗縣,銅鑼鄉,6,5524,11.86
14059,2023-02-11,苗栗縣,銅鑼鄉,7,5518,11.71
14428,2023-02-10,苗栗縣,銅鑼鄉,12,5511,12.00
14803,2023-02-09,苗栗縣,銅鑼鄉,10,5499,12.29
15182,2023-02-08,苗栗縣,銅鑼鄉,15,5489,13.00
15559,2023-02-07,苗栗縣,銅鑼鄉,15,5474,14.00
15939,2023-02-06,苗栗縣,銅鑼鄉,18,5459,14.29
16316,2023-02-05,苗栗縣,銅鑼鄉,5,5441,16.57
16689,2023-02-04,苗栗縣,銅鑼鄉,9,5436,18.29
17068,2023-02-03,苗栗縣,銅鑼鄉,14,5427,19.14
17454,2023-02-02,苗栗縣,銅鑼鄉,15,5413,20.00
17835,2023-02-01,苗栗縣,銅鑼鄉,22,5398,20.00
18215,2023-01-31,苗栗縣,銅鑼鄉,17,5376,18.14
18600,2023-01-30,苗栗縣,銅鑼鄉,34,5359,17.29
18986,2023-01-29,苗栗縣,銅鑼鄉,17,5325,14.43
19364,2023-01-28,苗栗縣,銅鑼鄉,15,5308,12.86
19740,2023-01-27,苗栗縣,銅鑼鄉,20,5293,11.86
20121,2023-01-26,苗栗縣,銅鑼鄉,15,5273,10.86
20493,2023-01-25,苗栗縣,銅鑼鄉,9,5258,10.14
20861,2023-01-24,苗栗縣,銅鑼鄉,11,5249,10.43
21233,2023-01-23,苗栗縣,銅鑼鄉,14,5238,9.86
21603,2023-01-22,苗栗縣,銅鑼鄉,6,5224,8.57
21969,2023-01-21,苗栗縣,銅鑼鄉,8,5218,8.43
22342,2023-01-20,苗栗縣,銅鑼鄉,13,5210,8.71
22707,2023-01-19,苗栗縣,銅鑼鄉,10,5197,8.00
23080,2023-01-18,苗栗縣,銅鑼鄉,11,5187,8.00
23447,2023-01-17,苗栗縣,銅鑼鄉,7,5176,7.57
23813,2023-01-16,苗栗縣,銅鑼鄉,5,5169,7.71
24191,2023-01-15,苗栗縣,銅鑼鄉,5,5164,8.43
24554,2023-01-14,苗栗縣,銅鑼鄉,10,5159,9.14
24921,2023-01-13,苗栗縣,銅鑼鄉,8,5149,9.29
25292,2023-01-12,苗栗縣,銅鑼鄉,10,5141,9.43
25666,2023-01-11,苗栗縣,銅鑼鄉,8,5131,9.86
26042,2023-01-10,苗栗縣,銅鑼鄉,8,5123,10.57
26415,2023-01-09,苗栗縣,銅鑼鄉,10,5115,11.57
26789,2023-01-08,苗栗縣,銅鑼鄉,10,5105,12.00
27150,2023-01-07,苗栗縣,銅鑼鄉,11,5095,12.14
27523,2023-01-06,苗栗縣,銅鑼鄉,9,5084,12.14
27900,2023-01-05,苗栗縣,銅鑼鄉,13,5075,12.86
28278,2023-01-04,苗栗縣,銅鑼鄉,13,5062,13.57
28660,2023-01-03,苗栗縣,銅鑼鄉,15,5049,13.86
29040,2023-01-02,苗栗縣,銅鑼鄉,13,5034,13.29
29414,2023-01-01,苗栗縣,銅鑼鄉,11,5021,13.71
29774,2022-12-31,苗栗縣,銅鑼鄉,11,5010,12.71
30140,2022-12-30,苗栗縣,銅鑼鄉,14,4999,12.86
30514,2022-12-29,苗栗縣,銅鑼鄉,18,4985,13.57
30886,2022-12-28,苗栗縣,銅鑼鄉,15,4967,12.29
31255,2022-12-27,苗栗縣,銅鑼鄉,11,4952,12.00
31630,2022-12-26,苗栗縣,銅鑼鄉,16,4941,12.86
31999,2022-12-25,苗栗縣,銅鑼鄉,4,4925,12.86
32357,2022-12-24,苗栗縣,銅鑼鄉,12,4921,13.71
