UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
431,2023-03-21,苗栗縣,頭份市,1,77,0.43
462,2023-03-20,苗栗縣,頭份市,1,76,0.43
538,2023-03-18,苗栗縣,頭份市,1,75,0.29
704,2023-03-14,苗栗縣,頭份市,1,74,0.14
1126,2023-03-05,苗栗縣,頭份市,1,73,0.14
1508,2023-02-26,苗栗縣,頭份市,1,72,0.57
1623,2023-02-24,苗栗縣,頭份市,1,71,0.57
1679,2023-02-23,苗栗縣,頭份市,1,70,0.43
1859,2023-02-20,苗栗縣,頭份市,1,69,0.29
1915,2023-02-19,苗栗縣,頭份市,1,68,0.14
2406,2023-02-11,苗栗縣,頭份市,1,67,0.43
2809,2023-02-05,苗栗縣,頭份市,2,66,0.43
2919,2023-02-03,苗栗縣,頭份市,1,64,0.14
3391,2023-01-26,苗栗縣,頭份市,1,63,0.43
3607,2023-01-22,苗栗縣,頭份市,1,62,0.57
3692,2023-01-20,苗栗縣,頭份市,1,61,0.57
3794,2023-01-18,苗栗縣,頭份市,1,60,0.57
3831,2023-01-17,苗栗縣,頭份市,1,59,0.43
3937,2023-01-15,苗栗縣,頭份市,1,58,0.43
4054,2023-01-13,苗栗縣,頭份市,1,57,0.43
4189,2023-01-10,苗栗縣,頭份市,1,56,0.29
4339,2023-01-07,苗栗縣,頭份市,1,55,0.14
4924,2022-12-26,苗栗縣,頭份市,1,54,0.14
5290,2022-12-16,苗栗縣,頭份市,1,53,0.14
5588,2022-12-08,苗栗縣,頭份市,1,52,0.14
6730,2022-11-12,苗栗縣,頭份市,1,51,0.29
6974,2022-11-08,苗栗縣,頭份市,1,50,0.14
7780,2022-10-26,苗栗縣,頭份市,1,49,0.29
8066,2022-10-22,苗栗縣,頭份市,1,48,0.29
8286,2022-10-19,苗栗縣,頭份市,1,47,0.29
8629,2022-10-14,苗栗縣,頭份市,1,46,0.14
9313,2022-10-04,苗栗縣,頭份市,1,45,0.14
9984,2022-09-23,苗栗縣,頭份市,1,44,0.29
10310,2022-09-17,苗栗縣,頭份市,1,43,0.14
10791,2022-09-08,苗栗縣,頭份市,1,42,0.43
10873,2022-09-06,苗栗縣,頭份市,1,41,0.29
10963,2022-09-04,苗栗縣,頭份市,1,40,0.43
11168,2022-08-30,苗栗縣,頭份市,1,39,0.43
11217,2022-08-29,苗栗縣,頭份市,1,38,0.29
11333,2022-08-26,苗栗縣,頭份市,1,37,0.14
11626,2022-08-18,苗栗縣,頭份市,1,36,0.57
11660,2022-08-17,苗栗縣,頭份市,1,35,0.43
11727,2022-08-15,苗栗縣,頭份市,2,34,0.29
12083,2022-08-06,苗栗縣,頭份市,1,32,0.14
12968,2022-07-20,苗栗縣,頭份市,1,31,0.71
13028,2022-07-19,苗栗縣,頭份市,1,30,0.71
13097,2022-07-18,苗栗縣,頭份市,2,29,0.71
13222,2022-07-16,苗栗縣,頭份市,1,27,0.43
13428,2022-07-13,苗栗縣,頭份市,1,26,0.57
13504,2022-07-12,苗栗縣,頭份市,1,25,0.57
13850,2022-07-07,苗栗縣,頭份市,2,24,0.57
13936,2022-07-06,苗栗縣,頭份市,1,22,0.43
14213,2022-07-03,苗栗縣,頭份市,1,21,0.57
14474,2022-06-30,苗栗縣,頭份市,1,20,0.57
14582,2022-06-29,苗栗縣,頭份市,1,19,0.43
14768,2022-06-27,苗栗縣,頭份市,1,18,0.29
14879,2022-06-26,苗栗縣,頭份市,1,17,0.43
15505,2022-06-20,苗栗縣,頭份市,2,16,0.57
15988,2022-06-16,苗栗縣,頭份市,1,14,0.57
16240,2022-06-14,苗栗縣,頭份市,1,13,0.57
16612,2022-06-11,苗栗縣,頭份市,1,12,0.57
16744,2022-06-10,苗栗縣,頭份市,1,11,0.43
16978,2022-06-08,苗栗縣,頭份市,1,10,0.71
17108,2022-06-07,苗栗縣,頭份市,1,9,0.57
17594,2022-06-03,苗栗縣,頭份市,2,8,0.71
17714,2022-06-02,苗栗縣,頭份市,1,6,0.43
18210,2022-05-29,苗栗縣,頭份市,1,5,0.43
18315,2022-05-28,苗栗縣,頭份市,1,4,0.29
18708,2022-05-24,苗栗縣,頭份市,1,3,0.29
18980,2022-05-21,苗栗縣,頭份市,1,2,0.14
20137,2021-07-07,苗栗縣,頭份市,1,1,0.14
