UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
33,2023-07-17,苗栗縣,頭份市,1,52884,0.14
178,2023-06-14,苗栗縣,頭份市,4,52883,0.57
737,2023-03-20,苗栗縣,頭份市,6,52879,43.71
1033,2023-03-19,苗栗縣,頭份市,38,52873,55.00
1363,2023-03-18,苗栗縣,頭份市,38,52835,56.86
1702,2023-03-17,苗栗縣,頭份市,41,52797,58.86
2057,2023-03-16,苗栗縣,頭份市,51,52756,59.00
2409,2023-03-15,苗栗縣,頭份市,52,52705,58.57
2759,2023-03-14,苗栗縣,頭份市,80,52653,59.00
3117,2023-03-13,苗栗縣,頭份市,85,52573,56.86
3474,2023-03-12,苗栗縣,頭份市,51,52488,55.43
3823,2023-03-11,苗栗縣,頭份市,52,52437,52.29
4173,2023-03-10,苗栗縣,頭份市,42,52385,52.14
4528,2023-03-09,苗栗縣,頭份市,48,52343,53.14
4887,2023-03-08,苗栗縣,頭份市,55,52295,55.14
5242,2023-03-07,苗栗縣,頭份市,65,52240,58.57
5603,2023-03-06,苗栗縣,頭份市,75,52175,57.43
5963,2023-03-05,苗栗縣,頭份市,29,52100,54.43
6302,2023-03-04,苗栗縣,頭份市,51,52071,55.71
6656,2023-03-03,苗栗縣,頭份市,49,52020,56.71
7017,2023-03-02,苗栗縣,頭份市,62,51971,58.71
7380,2023-03-01,苗栗縣,頭份市,79,51909,61.14
7752,2023-02-28,苗栗縣,頭份市,57,51830,59.29
8116,2023-02-27,苗栗縣,頭份市,54,51773,61.14
8472,2023-02-26,苗栗縣,頭份市,38,51719,66.00
8818,2023-02-25,苗栗縣,頭份市,58,51681,73.14
9188,2023-02-24,苗栗縣,頭份市,63,51623,76.57
9550,2023-02-23,苗栗縣,頭份市,79,51560,78.14
9920,2023-02-22,苗栗縣,頭份市,66,51481,81.57
10295,2023-02-21,苗栗縣,頭份市,70,51415,82.29
10665,2023-02-20,苗栗縣,頭份市,88,51345,87.71
11042,2023-02-19,苗栗縣,頭份市,88,51257,93.57
11402,2023-02-18,苗栗縣,頭份市,82,51169,92.86
11769,2023-02-17,苗栗縣,頭份市,74,51087,92.43
12142,2023-02-16,苗栗縣,頭份市,103,51013,96.14
12515,2023-02-15,苗栗縣,頭份市,71,50910,95.57
12889,2023-02-14,苗栗縣,頭份市,108,50839,102.57
13261,2023-02-13,苗栗縣,頭份市,129,50731,106.43
13640,2023-02-12,苗栗縣,頭份市,83,50602,108.29
13997,2023-02-11,苗栗縣,頭份市,79,50519,113.43
14369,2023-02-10,苗栗縣,頭份市,100,50440,119.29
14742,2023-02-09,苗栗縣,頭份市,99,50340,122.86
15119,2023-02-08,苗栗縣,頭份市,120,50241,128.71
15499,2023-02-07,苗栗縣,頭份市,135,50121,137.00
15878,2023-02-06,苗栗縣,頭份市,142,49986,148.86
16258,2023-02-05,苗栗縣,頭份市,119,49844,162.71
16628,2023-02-04,苗栗縣,頭份市,120,49725,166.86
17007,2023-02-03,苗栗縣,頭份市,125,49605,176.71
17393,2023-02-02,苗栗縣,頭份市,140,49480,184.29
17776,2023-02-01,苗栗縣,頭份市,178,49340,187.43
18153,2023-01-31,苗栗縣,頭份市,218,49162,178.00
18537,2023-01-30,苗栗縣,頭份市,239,48944,162.14
18925,2023-01-29,苗栗縣,頭份市,148,48705,143.43
19302,2023-01-28,苗栗縣,頭份市,189,48557,133.57
19680,2023-01-27,苗栗縣,頭份市,178,48368,125.29
20060,2023-01-26,苗栗縣,頭份市,162,48190,121.71
20435,2023-01-25,苗栗縣,頭份市,112,48028,116.00
20801,2023-01-24,苗栗縣,頭份市,107,47916,117.86
21174,2023-01-23,苗栗縣,頭份市,108,47809,123.14
21542,2023-01-22,苗栗縣,頭份市,79,47701,129.00
21907,2023-01-21,苗栗縣,頭份市,131,47622,131.86
22279,2023-01-20,苗栗縣,頭份市,153,47491,130.71
22646,2023-01-19,苗栗縣,頭份市,122,47338,129.71
23018,2023-01-18,苗栗縣,頭份市,125,47216,132.00
23387,2023-01-17,苗栗縣,頭份市,144,47091,139.00
23754,2023-01-16,苗栗縣,頭份市,149,46947,145.43
24129,2023-01-15,苗栗縣,頭份市,99,46798,149.57
24495,2023-01-14,苗栗縣,頭份市,123,46699,152.14
24864,2023-01-13,苗栗縣,頭份市,146,46576,151.14
25233,2023-01-12,苗栗縣,頭份市,138,46430,147.57
25606,2023-01-11,苗栗縣,頭份市,174,46292,154.57
25982,2023-01-10,苗栗縣,頭份市,189,46118,154.14
26355,2023-01-09,苗栗縣,頭份市,178,45929,156.00
26731,2023-01-08,苗栗縣,頭份市,117,45751,152.14
27091,2023-01-07,苗栗縣,頭份市,116,45634,151.14
27462,2023-01-06,苗栗縣,頭份市,121,45518,157.29
27839,2023-01-05,苗栗縣,頭份市,187,45397,166.57
28218,2023-01-04,苗栗縣,頭份市,171,45210,165.57
