UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2813,2023-06-14,苗栗縣,頭屋鄉,50-54,242
2814,2023-03-19,苗栗縣,頭屋鄉,65-69,219
2815,2023-03-19,苗栗縣,頭屋鄉,70+,444
2816,2023-03-19,苗栗縣,頭屋鄉,60-64,243
2817,2023-03-17,苗栗縣,頭屋鄉,55-59,245
2818,2023-03-17,苗栗縣,頭屋鄉,25-29,296
2819,2023-03-16,苗栗縣,頭屋鄉,35-39,288
2820,2023-03-16,苗栗縣,頭屋鄉,30-34,277
2821,2023-03-15,苗栗縣,頭屋鄉,15-19,219
2822,2023-03-15,苗栗縣,頭屋鄉,20-24,239
2823,2023-03-14,苗栗縣,頭屋鄉,45-49,240
2824,2023-03-08,苗栗縣,頭屋鄉,10-14,196
2825,2023-03-04,苗栗縣,頭屋鄉,40-44,286
2826,2023-03-02,苗栗縣,頭屋鄉,3,31
2827,2023-02-21,苗栗縣,頭屋鄉,5-9,195
2828,2023-02-03,苗栗縣,頭屋鄉,4,28
2829,2023-01-23,苗栗縣,頭屋鄉,2,21
2830,2023-01-22,苗栗縣,頭屋鄉,0,22
2831,2023-01-17,苗栗縣,頭屋鄉,1,33
