UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
251,2023-06-14,苗栗縣,頭屋鄉,1,3764,0.14
1170,2023-03-19,苗栗縣,頭屋鄉,4,3763,3.57
1855,2023-03-17,苗栗縣,頭屋鄉,2,3759,3.71
2202,2023-03-16,苗栗縣,頭屋鄉,4,3757,3.71
2554,2023-03-15,苗栗縣,頭屋鄉,6,3753,3.29
2911,2023-03-14,苗栗縣,頭屋鄉,6,3747,2.86
3269,2023-03-13,苗栗縣,頭屋鄉,3,3741,2.14
3616,2023-03-12,苗栗縣,頭屋鄉,3,3738,2.14
3972,2023-03-11,苗栗縣,頭屋鄉,2,3735,1.86
4325,2023-03-10,苗栗縣,頭屋鄉,2,3733,2.43
4678,2023-03-09,苗栗縣,頭屋鄉,1,3731,2.57
5036,2023-03-08,苗栗縣,頭屋鄉,3,3730,3.00
5392,2023-03-07,苗栗縣,頭屋鄉,1,3727,3.29
5757,2023-03-06,苗栗縣,頭屋鄉,3,3726,3.71
6103,2023-03-05,苗栗縣,頭屋鄉,1,3723,4.00
6453,2023-03-04,苗栗縣,頭屋鄉,6,3722,4.43
6806,2023-03-03,苗栗縣,頭屋鄉,3,3716,4.29
7171,2023-03-02,苗栗縣,頭屋鄉,4,3713,4.86
7537,2023-03-01,苗栗縣,頭屋鄉,5,3709,4.86
7906,2023-02-28,苗栗縣,頭屋鄉,4,3704,5.29
8266,2023-02-27,苗栗縣,頭屋鄉,5,3700,5.71
8613,2023-02-26,苗栗縣,頭屋鄉,4,3695,5.29
8978,2023-02-25,苗栗縣,頭屋鄉,5,3691,5.29
9341,2023-02-24,苗栗縣,頭屋鄉,7,3686,5.14
9708,2023-02-23,苗栗縣,頭屋鄉,4,3679,4.71
10082,2023-02-22,苗栗縣,頭屋鄉,8,3675,4.71
10453,2023-02-21,苗栗縣,頭屋鄉,7,3667,3.71
10827,2023-02-20,苗栗縣,頭屋鄉,2,3660,3.29
11188,2023-02-19,苗栗縣,頭屋鄉,4,3658,3.86
11557,2023-02-18,苗栗縣,頭屋鄉,4,3654,3.29
11929,2023-02-17,苗栗縣,頭屋鄉,4,3650,3.14
12302,2023-02-16,苗栗縣,頭屋鄉,4,3646,3.71
12675,2023-02-15,苗栗縣,頭屋鄉,1,3642,4.71
13050,2023-02-14,苗栗縣,頭屋鄉,4,3641,5.00
13425,2023-02-13,苗栗縣,頭屋鄉,6,3637,5.86
14160,2023-02-11,苗栗縣,頭屋鄉,3,3631,8.86
14528,2023-02-10,苗栗縣,頭屋鄉,8,3628,9.57
14902,2023-02-09,苗栗縣,頭屋鄉,11,3620,10.29
15281,2023-02-08,苗栗縣,頭屋鄉,3,3609,10.29
15662,2023-02-07,苗栗縣,頭屋鄉,10,3606,12.00
16041,2023-02-06,苗栗縣,頭屋鄉,16,3596,13.57
16414,2023-02-05,苗栗縣,頭屋鄉,11,3580,13.57
16791,2023-02-04,苗栗縣,頭屋鄉,8,3569,14.43
17171,2023-02-03,苗栗縣,頭屋鄉,13,3561,15.14
17558,2023-02-02,苗栗縣,頭屋鄉,11,3548,14.71
