UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
862,2023-03-20,連江縣,東引鄉,2,661,0.57
2937,2023-03-14,連江縣,東引鄉,2,659,0.43
3294,2023-03-13,連江縣,東引鄉,1,657,0.14
6835,2023-03-03,連江縣,東引鄉,2,656,0.57
8291,2023-02-27,連江縣,東引鄉,1,654,0.71
8638,2023-02-26,連江縣,東引鄉,1,653,0.71
10110,2023-02-22,連江縣,東引鄉,2,652,0.57
10481,2023-02-21,連江縣,東引鄉,1,650,0.29
10856,2023-02-20,連江縣,東引鄉,1,649,0.14
13454,2023-02-13,連江縣,東引鄉,3,648,0.43
17203,2023-02-03,連江縣,東引鄉,1,645,0.14
19872,2023-01-27,連江縣,東引鄉,1,644,0.29
21724,2023-01-22,連江縣,東引鄉,1,643,0.86
22462,2023-01-20,連江縣,東引鄉,2,642,0.71
22832,2023-01-19,連江縣,東引鄉,1,640,0.43
23204,2023-01-18,連江縣,東引鄉,1,639,0.29
23944,2023-01-16,連江縣,東引鄉,1,638,0.29
25796,2023-01-11,連江縣,東引鄉,1,637,0.57
26547,2023-01-09,連江縣,東引鄉,2,636,0.57
28031,2023-01-05,連江縣,東引鄉,1,634,0.86
28793,2023-01-03,連江縣,東引鄉,1,633,1.14
30268,2022-12-30,連江縣,東引鄉,4,632,1.71
31012,2022-12-28,連江縣,東引鄉,3,628,2.00
31388,2022-12-27,連江縣,東引鄉,1,625,1.86
31760,2022-12-26,連江縣,東引鄉,3,624,1.71
32116,2022-12-25,連江縣,東引鄉,1,621,1.43
32837,2022-12-23,連江縣,東引鄉,1,620,1.29
33206,2022-12-22,連江縣,東引鄉,5,619,1.71
33576,2022-12-21,連江縣,東引鄉,2,614,1.14
34309,2022-12-19,連江縣,東引鄉,1,612,0.86
35384,2022-12-16,連江縣,東引鄉,4,611,0.86
35752,2022-12-15,連江縣,東引鄉,1,607,0.29
37209,2022-12-11,連江縣,東引鄉,1,606,0.86
39057,2022-12-06,連江縣,東引鄉,5,605,0.71
