UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
376,2023-03-23,金門縣,全區,1,45,0.14
1249,2023-03-03,金門縣,全區,1,44,0.14
1763,2023-02-22,金門縣,全區,1,43,0.29
1873,2023-02-20,金門縣,全區,1,42,0.29
2163,2023-02-15,金門縣,全區,1,41,0.29
2551,2023-02-09,金門縣,全區,1,40,0.14
3461,2023-01-25,金門縣,全區,1,39,0.14
4805,2022-12-29,金門縣,全區,1,38,0.14
5258,2022-12-17,金門縣,全區,1,37,0.14
5603,2022-12-08,金門縣,全區,1,36,0.14
5871,2022-12-01,金門縣,全區,1,35,0.14
6532,2022-11-16,金門縣,全區,1,34,0.14
7217,2022-11-04,金門縣,全區,1,33,0.29
7580,2022-10-29,金門縣,全區,1,32,0.57
7800,2022-10-26,金門縣,全區,1,31,0.57
7870,2022-10-25,金門縣,全區,1,30,0.57
7936,2022-10-24,金門縣,全區,1,29,0.57
8230,2022-10-20,金門縣,全區,1,28,0.43
8294,2022-10-19,金門縣,全區,1,27,0.29
8366,2022-10-18,金門縣,全區,1,26,0.14
9243,2022-10-05,金門縣,全區,2,25,0.71
9332,2022-10-04,金門縣,全區,1,23,0.43
9467,2022-10-02,金門縣,全區,1,22,0.29
9651,2022-09-29,金門縣,全區,1,21,0.14
10385,2022-09-16,金門縣,全區,1,20,0.14
11448,2022-08-23,金門縣,全區,1,19,0.14
11737,2022-08-15,金門縣,全區,1,18,0.43
11781,2022-08-14,金門縣,全區,1,17,0.29
11819,2022-08-13,金門縣,全區,1,16,0.14
12267,2022-08-02,金門縣,全區,1,15,0.14
12700,2022-07-25,金門縣,全區,1,14,0.29
12753,2022-07-24,金門縣,全區,1,13,0.14
13872,2022-07-07,金門縣,全區,1,12,0.43
13959,2022-07-06,金門縣,全區,1,11,0.29
14312,2022-07-02,金門縣,全區,1,10,0.14
16274,2022-06-14,金門縣,全區,1,9,0.29
16398,2022-06-13,金門縣,全區,1,8,0.14
17495,2022-06-04,金門縣,全區,1,7,0.57
17625,2022-06-03,金門縣,全區,1,6,0.43
17738,2022-06-02,金門縣,全區,1,5,0.29
18112,2022-05-30,金門縣,全區,1,4,0.29
18536,2022-05-26,金門縣,全區,1,3,0.14
19215,2022-05-18,金門縣,全區,1,2,0.29
19404,2022-05-15,金門縣,全區,1,1,0.14
