UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
569,2023-03-21,金門縣,全區,1,27035,18.29
805,2023-03-20,金門縣,全區,11,27034,23.29
1109,2023-03-19,金門縣,全區,8,27023,27.86
1444,2023-03-18,金門縣,全區,27,27015,32.00
1789,2023-03-17,金門縣,全區,30,26988,31.57
2142,2023-03-16,金門縣,全區,24,26958,32.57
2495,2023-03-15,金門縣,全區,27,26934,34.29
2845,2023-03-14,金門縣,全區,36,26907,36.00
3202,2023-03-13,金門縣,全區,43,26871,35.14
3557,2023-03-12,金門縣,全區,37,26828,36.00
3907,2023-03-11,金門縣,全區,24,26791,35.14
4257,2023-03-10,金門縣,全區,37,26767,36.71
4614,2023-03-09,金門縣,全區,36,26730,35.29
4970,2023-03-08,金門縣,全區,39,26694,33.57
5326,2023-03-07,金門縣,全區,30,26655,32.71
5689,2023-03-06,金門縣,全區,49,26625,31.43
6047,2023-03-05,金門縣,全區,31,26576,28.86
6388,2023-03-04,金門縣,全區,35,26545,26.29
6742,2023-03-03,金門縣,全區,27,26510,24.86
7104,2023-03-02,金門縣,全區,24,26483,25.14
7466,2023-03-01,金門縣,全區,33,26459,26.14
7837,2023-02-28,金門縣,全區,21,26426,25.43
8203,2023-02-27,金門縣,全區,31,26405,26.43
8553,2023-02-26,金門縣,全區,13,26374,25.71
8907,2023-02-25,金門縣,全區,25,26361,27.43
9276,2023-02-24,金門縣,全區,29,26336,28.43
9638,2023-02-23,金門縣,全區,31,26307,29.71
10009,2023-02-22,金門縣,全區,28,26276,29.71
10381,2023-02-21,金門縣,全區,28,26248,31.29
10754,2023-02-20,金門縣,全區,26,26220,32.14
11127,2023-02-19,金門縣,全區,25,26194,35.57
11489,2023-02-18,金門縣,全區,32,26169,36.14
11855,2023-02-17,金門縣,全區,38,26137,38.00
12230,2023-02-16,金門縣,全區,31,26099,36.14
12604,2023-02-15,金門縣,全區,39,26068,36.71
12979,2023-02-14,金門縣,全區,34,26029,36.86
13350,2023-02-13,金門縣,全區,50,25995,38.71
13726,2023-02-12,金門縣,全區,29,25945,39.57
14087,2023-02-11,金門縣,全區,45,25916,41.43
14456,2023-02-10,金門縣,全區,25,25871,42.43
14830,2023-02-09,金門縣,全區,35,25846,47.57
15209,2023-02-08,金門縣,全區,40,25811,52.00
15587,2023-02-07,金門縣,全區,47,25771,58.00
15967,2023-02-06,金門縣,全區,56,25724,62.00
16343,2023-02-05,金門縣,全區,42,25668,69.86
16717,2023-02-04,金門縣,全區,52,25626,77.00
17096,2023-02-03,金門縣,全區,61,25574,83.57
17482,2023-02-02,金門縣,全區,66,25513,87.14
17863,2023-02-01,金門縣,全區,82,25447,87.86
18243,2023-01-31,金門縣,全區,75,25365,87.57
18628,2023-01-30,金門縣,全區,111,25290,84.00
19014,2023-01-29,金門縣,全區,92,25179,77.86
19392,2023-01-28,金門縣,全區,98,25087,65.71
19768,2023-01-27,金門縣,全區,86,24989,59.71
20149,2023-01-26,金門縣,全區,71,24903,60.71
