UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1172,2023-03-19,金門縣,金沙鎮,1,3332,2.00
1505,2023-03-18,金門縣,金沙鎮,1,3331,2.29
1859,2023-03-17,金門縣,金沙鎮,3,3330,2.43
2206,2023-03-16,金門縣,金沙鎮,1,3327,2.43
2558,2023-03-15,金門縣,金沙鎮,1,3326,2.43
2915,2023-03-14,金門縣,金沙鎮,4,3325,3.14
3273,2023-03-13,金門縣,金沙鎮,3,3321,2.57
3620,2023-03-12,金門縣,金沙鎮,3,3318,3.29
3976,2023-03-11,金門縣,金沙鎮,2,3315,3.14
4330,2023-03-10,金門縣,金沙鎮,3,3313,3.14
4681,2023-03-09,金門縣,金沙鎮,1,3310,3.43
5040,2023-03-08,金門縣,金沙鎮,6,3309,3.71
5762,2023-03-06,金門縣,金沙鎮,8,3303,3.43
6106,2023-03-05,金門縣,金沙鎮,2,3295,2.86
6457,2023-03-04,金門縣,金沙鎮,2,3293,3.00
6811,2023-03-03,金門縣,金沙鎮,5,3291,3.00
7176,2023-03-02,金門縣,金沙鎮,3,3286,2.29
7541,2023-03-01,金門縣,金沙鎮,2,3283,2.14
7910,2023-02-28,金門縣,金沙鎮,2,3281,2.14
8270,2023-02-27,金門縣,金沙鎮,4,3279,2.29
8618,2023-02-26,金門縣,金沙鎮,3,3275,2.29
8982,2023-02-25,金門縣,金沙鎮,2,3272,2.00
9712,2023-02-23,金門縣,金沙鎮,2,3270,3.14
10087,2023-02-22,金門縣,金沙鎮,2,3268,3.71
10458,2023-02-21,金門縣,金沙鎮,3,3266,4.29
10831,2023-02-20,金門縣,金沙鎮,4,3263,4.71
11193,2023-02-19,金門縣,金沙鎮,1,3259,4.43
11561,2023-02-18,金門縣,金沙鎮,5,3258,4.71
11933,2023-02-17,金門縣,金沙鎮,5,3253,4.86
12307,2023-02-16,金門縣,金沙鎮,6,3248,4.86
12679,2023-02-15,金門縣,金沙鎮,6,3242,5.00
13055,2023-02-14,金門縣,金沙鎮,6,3236,4.43
13430,2023-02-13,金門縣,金沙鎮,2,3230,3.71
13796,2023-02-12,金門縣,金沙鎮,3,3228,4.29
14165,2023-02-11,金門縣,金沙鎮,6,3225,4.14
14532,2023-02-10,金門縣,金沙鎮,5,3219,4.00
14907,2023-02-09,金門縣,金沙鎮,7,3214,5.14
15286,2023-02-08,金門縣,金沙鎮,2,3207,5.00
15667,2023-02-07,金門縣,金沙鎮,1,3205,6.57
16046,2023-02-06,金門縣,金沙鎮,6,3204,7.57
16419,2023-02-05,金門縣,金沙鎮,2,3198,8.71
16796,2023-02-04,金門縣,金沙鎮,5,3196,10.43
17176,2023-02-03,金門縣,金沙鎮,13,3191,13.00
17562,2023-02-02,金門縣,金沙鎮,6,3178,13.14
17942,2023-02-01,金門縣,金沙鎮,13,3172,14.57
18325,2023-01-31,金門縣,金沙鎮,8,3159,15.43
18710,2023-01-30,金門縣,金沙鎮,14,3151,15.57
19094,2023-01-29,金門縣,金沙鎮,14,3137,14.29
19472,2023-01-28,金門縣,金沙鎮,23,3123,12.29
19848,2023-01-27,金門縣,金沙鎮,14,3100,9.86
20225,2023-01-26,金門縣,金沙鎮,16,3086,8.86
20597,2023-01-25,金門縣,金沙鎮,19,3070,7.29
20966,2023-01-24,金門縣,金沙鎮,9,3051,5.14
21334,2023-01-23,金門縣,金沙鎮,5,3042,4.71
22073,2023-01-21,金門縣,金沙鎮,6,3037,5.43
22440,2023-01-20,金門縣,金沙鎮,7,3031,5.29
22808,2023-01-19,金門縣,金沙鎮,5,3024,5.43
23180,2023-01-18,金門縣,金沙鎮,4,3019,5.57
23546,2023-01-17,金門縣,金沙鎮,6,3015,5.86
23919,2023-01-16,金門縣,金沙鎮,8,3009,6.00
24291,2023-01-15,金門縣,金沙鎮,2,3001,6.00
24657,2023-01-14,金門縣,金沙鎮,5,2999,6.71
25025,2023-01-13,金門縣,金沙鎮,8,2994,7.43
25399,2023-01-12,金門縣,金沙鎮,6,2986,6.86
25772,2023-01-11,金門縣,金沙鎮,6,2980,7.43
26146,2023-01-10,金門縣,金沙鎮,7,2974,7.71
26523,2023-01-09,金門縣,金沙鎮,8,2967,8.00
26889,2023-01-08,金門縣,金沙鎮,7,2959,8.29
27254,2023-01-07,金門縣,金沙鎮,10,2952,7.57
27626,2023-01-06,金門縣,金沙鎮,4,2942,7.86
28007,2023-01-05,金門縣,金沙鎮,10,2938,8.14
28387,2023-01-04,金門縣,金沙鎮,8,2928,8.57
28768,2023-01-03,金門縣,金沙鎮,9,2920,9.57
29143,2023-01-02,金門縣,金沙鎮,10,2911,9.71
29509,2023-01-01,金門縣,金沙鎮,2,2901,10.43
29876,2022-12-31,金門縣,金沙鎮,12,2899,11.57
30243,2022-12-30,金門縣,金沙鎮,6,2887,11.14
30615,2022-12-29,金門縣,金沙鎮,13,2881,11.57
30987,2022-12-28,金門縣,金沙鎮,15,2868,11.57
31362,2022-12-27,金門縣,金沙鎮,10,2853,10.71
31736,2022-12-26,金門縣,金沙鎮,15,2843,10.43
32094,2022-12-25,金門縣,金沙鎮,10,2828,9.57
32454,2022-12-24,金門縣,金沙鎮,9,2818,8.71
32814,2022-12-23,金門縣,金沙鎮,9,2809,8.29
33181,2022-12-22,金門縣,金沙鎮,13,2800,7.86
33552,2022-12-21,金門縣,金沙鎮,9,2787,7.00
33917,2022-12-20,金門縣,金沙鎮,8,2778,6.43
34284,2022-12-19,金門縣,金沙鎮,9,2770,6.86
34638,2022-12-18,金門縣,金沙鎮,4,2761,6.86
34999,2022-12-17,金門縣,金沙鎮,6,2757,7.29
35362,2022-12-16,金門縣,金沙鎮,6,2751,6.86
35728,2022-12-15,金門縣,金沙鎮,7,2745,6.57
36088,2022-12-14,金門縣,金沙鎮,5,2738,5.86
36459,2022-12-13,金門縣,金沙鎮,11,2733,5.71
36836,2022-12-12,金門縣,金沙鎮,9,2722,4.43
37188,2022-12-11,金門縣,金沙鎮,7,2713,4.57
37555,2022-12-10,金門縣,金沙鎮,3,2706,3.57
37921,2022-12-09,金門縣,金沙鎮,4,2703,3.71
38292,2022-12-08,金門縣,金沙鎮,2,2699,3.57
38665,2022-12-07,金門縣,金沙鎮,4,2697,4.29
39032,2022-12-06,金門縣,金沙鎮,2,2693,4.86
39409,2022-12-05,金門縣,金沙鎮,10,2691,5.57
40150,2022-12-03,金門縣,金沙鎮,4,2681,6.57
40518,2022-12-02,金門縣,金沙鎮,3,2677,6.29
40885,2022-12-01,金門縣,金沙鎮,7,2674,6.29
41258,2022-11-30,金門縣,金沙鎮,8,2667,5.43
41634,2022-11-29,金門縣,金沙鎮,7,2659,5.00
42013,2022-11-28,金門縣,金沙鎮,13,2652,4.29
42382,2022-11-27,金門縣,金沙鎮,4,2639,2.71
42735,2022-11-26,金門縣,金沙鎮,2,2635,2.57
43105,2022-11-25,金門縣,金沙鎮,3,2633,2.86
43475,2022-11-24,金門縣,金沙鎮,1,2630,2.43
43843,2022-11-23,金門縣,金沙鎮,5,2629,3.29
44218,2022-11-22,金門縣,金沙鎮,2,2624,3.14
44596,2022-11-21,金門縣,金沙鎮,2,2622,3.43
44968,2022-11-20,金門縣,金沙鎮,3,2620,4.29
45337,2022-11-19,金門縣,金沙鎮,4,2617,4.14
46080,2022-11-17,金門縣,金沙鎮,7,2613,4.29
46458,2022-11-16,金門縣,金沙鎮,4,2606,3.43
46839,2022-11-15,金門縣,金沙鎮,4,2602,3.86
47218,2022-11-14,金門縣,金沙鎮,8,2598,4.00
47594,2022-11-13,金門縣,金沙鎮,2,2590,3.86
47967,2022-11-12,金門縣,金沙鎮,2,2588,3.86
48347,2022-11-11,金門縣,金沙鎮,3,2586,5.29
48728,2022-11-10,金門縣,金沙鎮,1,2583,6.29
49111,2022-11-09,金門縣,金沙鎮,7,2582,7.43
49497,2022-11-08,金門縣,金沙鎮,5,2575,7.71
49881,2022-11-07,金門縣,金沙鎮,7,2570,9.14
50254,2022-11-06,金門縣,金沙鎮,2,2563,9.57
50628,2022-11-05,金門縣,金沙鎮,12,2561,11.00
51010,2022-11-04,金門縣,金沙鎮,10,2549,13.00
51395,2022-11-03,金門縣,金沙鎮,9,2539,13.29
51776,2022-11-02,金門縣,金沙鎮,9,2530,15.86
52164,2022-11-01,金門縣,金沙鎮,15,2521,17.43
52545,2022-10-31,金門縣,金沙鎮,10,2506,18.57
52927,2022-10-30,金門縣,金沙鎮,12,2496,21.14
53306,2022-10-29,金門縣,金沙鎮,26,2484,21.86
53690,2022-10-28,金門縣,金沙鎮,12,2458,20.86
54076,2022-10-27,金門縣,金沙鎮,27,2446,22.43
54460,2022-10-26,金門縣,金沙鎮,20,2419,22.86
54848,2022-10-25,金門縣,金沙鎮,23,2399,22.43
55238,2022-10-24,金門縣,金沙鎮,28,2376,21.57
55620,2022-10-23,金門縣,金沙鎮,17,2348,19.29
56003,2022-10-22,金門縣,金沙鎮,19,2331,18.43
56391,2022-10-21,金門縣,金沙鎮,23,2312,18.71
56777,2022-10-20,金門縣,金沙鎮,30,2289,17.14
57164,2022-10-19,金門縣,金沙鎮,17,2259,14.71
57552,2022-10-18,金門縣,金沙鎮,17,2242,15.86
57942,2022-10-17,金門縣,金沙鎮,12,2225,16.57
58330,2022-10-16,金門縣,金沙鎮,11,2213,18.29
58716,2022-10-15,金門縣,金沙鎮,21,2202,18.57
59102,2022-10-14,金門縣,金沙鎮,12,2181,17.57
59491,2022-10-13,金門縣,金沙鎮,13,2169,17.29
59882,2022-10-12,金門縣,金沙鎮,25,2156,16.57
60272,2022-10-11,金門縣,金沙鎮,22,2131,14.00
60662,2022-10-10,金門縣,金沙鎮,24,2109,11.86
61043,2022-10-09,金門縣,金沙鎮,13,2085,9.57
61433,2022-10-08,金門縣,金沙鎮,14,2072,8.86
61823,2022-10-07,金門縣,金沙鎮,10,2058,8.00
