UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
855,2023-03-20,金門縣,金湖鎮,3,6867,6.57
1180,2023-03-19,金門縣,金湖鎮,2,6864,7.57
1516,2023-03-18,金門縣,金湖鎮,9,6862,8.00
1868,2023-03-17,金門縣,金湖鎮,6,6853,8.29
2216,2023-03-16,金門縣,金湖鎮,9,6847,9.00
2570,2023-03-15,金門縣,金湖鎮,6,6838,9.00
2924,2023-03-14,金門縣,金湖鎮,11,6832,9.14
3283,2023-03-13,金門縣,金湖鎮,10,6821,9.14
3631,2023-03-12,金門縣,金湖鎮,5,6811,9.86
3987,2023-03-11,金門縣,金湖鎮,11,6806,10.00
4339,2023-03-10,金門縣,金湖鎮,11,6795,9.43
4692,2023-03-09,金門縣,金湖鎮,9,6784,8.71
5051,2023-03-08,金門縣,金湖鎮,7,6775,7.86
5407,2023-03-07,金門縣,金湖鎮,11,6768,8.00
5772,2023-03-06,金門縣,金湖鎮,15,6757,7.00
6116,2023-03-05,金門縣,金湖鎮,6,6742,6.43
6469,2023-03-04,金門縣,金湖鎮,7,6736,5.71
6824,2023-03-03,金門縣,金湖鎮,6,6729,5.57
7188,2023-03-02,金門縣,金湖鎮,3,6723,5.86
7554,2023-03-01,金門縣,金湖鎮,8,6720,6.71
7921,2023-02-28,金門縣,金湖鎮,4,6712,6.86
8280,2023-02-27,金門縣,金湖鎮,11,6708,7.43
8628,2023-02-26,金門縣,金湖鎮,1,6697,7.14
8995,2023-02-25,金門縣,金湖鎮,6,6696,8.00
9357,2023-02-24,金門縣,金湖鎮,8,6690,8.71
9724,2023-02-23,金門縣,金湖鎮,9,6682,9.57
10099,2023-02-22,金門縣,金湖鎮,9,6673,8.86
10471,2023-02-21,金門縣,金湖鎮,8,6664,9.29
10844,2023-02-20,金門縣,金湖鎮,9,6656,9.14
11205,2023-02-19,金門縣,金湖鎮,7,6647,9.43
11574,2023-02-18,金門縣,金湖鎮,11,6640,9.86
11946,2023-02-17,金門縣,金湖鎮,14,6629,10.00
12320,2023-02-16,金門縣,金湖鎮,4,6615,8.43
12692,2023-02-15,金門縣,金湖鎮,12,6611,8.43
13067,2023-02-14,金門縣,金湖鎮,7,6599,7.71
13442,2023-02-13,金門縣,金湖鎮,11,6592,8.86
13806,2023-02-12,金門縣,金湖鎮,10,6581,9.29
14177,2023-02-11,金門縣,金湖鎮,12,6571,10.00
14545,2023-02-10,金門縣,金湖鎮,3,6559,10.43
14920,2023-02-09,金門縣,金湖鎮,4,6556,12.00
15298,2023-02-08,金門縣,金湖鎮,7,6552,15.86
15680,2023-02-07,金門縣,金湖鎮,15,6545,17.14
16059,2023-02-06,金門縣,金湖鎮,14,6530,17.71
16430,2023-02-05,金門縣,金湖鎮,15,6516,20.14
16808,2023-02-04,金門縣,金湖鎮,15,6501,21.57
17189,2023-02-03,金門縣,金湖鎮,14,6486,24.00
17574,2023-02-02,金門縣,金湖鎮,31,6472,24.71
17955,2023-02-01,金門縣,金湖鎮,16,6441,21.86
18338,2023-01-31,金門縣,金湖鎮,19,6425,21.43
18723,2023-01-30,金門縣,金湖鎮,31,6406,20.29
19107,2023-01-29,金門縣,金湖鎮,25,6375,17.71
19485,2023-01-28,金門縣,金湖鎮,32,6350,14.29
19861,2023-01-27,金門縣,金湖鎮,19,6318,11.86
20237,2023-01-26,金門縣,金湖鎮,11,6299,12.86
20610,2023-01-25,金門縣,金湖鎮,13,6288,12.43
20978,2023-01-24,金門縣,金湖鎮,11,6275,12.71
21347,2023-01-23,金門縣,金湖鎮,13,6264,15.00
21713,2023-01-22,金門縣,金湖鎮,1,6251,14.71
22084,2023-01-21,金門縣,金湖鎮,15,6250,16.29
22452,2023-01-20,金門縣,金湖鎮,26,6235,17.43
22821,2023-01-19,金門縣,金湖鎮,8,6209,16.29
23193,2023-01-18,金門縣,金湖鎮,15,6201,18.14
23558,2023-01-17,金門縣,金湖鎮,27,6186,18.29
23932,2023-01-16,金門縣,金湖鎮,11,6159,16.14
24304,2023-01-15,金門縣,金湖鎮,12,6148,17.00
24670,2023-01-14,金門縣,金湖鎮,23,6136,18.29
25036,2023-01-13,金門縣,金湖鎮,18,6113,17.86
25412,2023-01-12,金門縣,金湖鎮,21,6095,17.57
25784,2023-01-11,金門縣,金湖鎮,16,6074,16.86
26158,2023-01-10,金門縣,金湖鎮,12,6058,17.86
26536,2023-01-09,金門縣,金湖鎮,17,6046,20.43
26902,2023-01-08,金門縣,金湖鎮,21,6029,21.71
27267,2023-01-07,金門縣,金湖鎮,20,6008,21.14
27639,2023-01-06,金門縣,金湖鎮,16,5988,20.86
28020,2023-01-05,金門縣,金湖鎮,16,5972,20.57
28399,2023-01-04,金門縣,金湖鎮,23,5956,20.29
