UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2376,2023-07-21,雲林縣,二崙鄉,35-39,390
2377,2023-03-19,雲林縣,二崙鄉,25-29,438
2378,2023-03-19,雲林縣,二崙鄉,70+,859
2379,2023-03-18,雲林縣,二崙鄉,45-49,360
2380,2023-03-16,雲林縣,二崙鄉,50-54,312
2381,2023-03-16,雲林縣,二崙鄉,10-14,359
2382,2023-03-16,雲林縣,二崙鄉,4,62
2383,2023-03-16,雲林縣,二崙鄉,40-44,411
2384,2023-03-16,雲林縣,二崙鄉,20-24,421
2385,2023-03-15,雲林縣,二崙鄉,0,45
2386,2023-03-14,雲林縣,二崙鄉,60-64,283
2387,2023-03-14,雲林縣,二崙鄉,65-69,278
2388,2023-03-14,雲林縣,二崙鄉,55-59,302
2389,2023-03-13,雲林縣,二崙鄉,5-9,361
2390,2023-03-13,雲林縣,二崙鄉,2,65
2391,2023-03-11,雲林縣,二崙鄉,30-34,361
2392,2023-03-08,雲林縣,二崙鄉,3,63
2393,2023-03-07,雲林縣,二崙鄉,15-19,434
2394,2023-03-05,雲林縣,二崙鄉,1,82
