UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
27,2023-07-21,雲林縣,二崙鄉,1,5886,0.14
1182,2023-03-19,雲林縣,二崙鄉,2,5885,4.57
1518,2023-03-18,雲林縣,二崙鄉,1,5883,4.43
1870,2023-03-17,雲林縣,二崙鄉,4,5882,5.00
2218,2023-03-16,雲林縣,二崙鄉,7,5878,4.43
2572,2023-03-15,雲林縣,二崙鄉,3,5871,3.71
2926,2023-03-14,雲林縣,二崙鄉,7,5868,4.57
3285,2023-03-13,雲林縣,二崙鄉,8,5861,4.86
3633,2023-03-12,雲林縣,二崙鄉,1,5853,5.29
3989,2023-03-11,雲林縣,二崙鄉,5,5852,6.43
4694,2023-03-09,雲林縣,二崙鄉,2,5847,7.29
5053,2023-03-08,雲林縣,二崙鄉,9,5845,8.00
5409,2023-03-07,雲林縣,二崙鄉,9,5836,7.57
5774,2023-03-06,雲林縣,二崙鄉,11,5827,7.57
6118,2023-03-05,雲林縣,二崙鄉,9,5816,7.14
6471,2023-03-04,雲林縣,二崙鄉,7,5807,6.00
6826,2023-03-03,雲林縣,二崙鄉,4,5800,6.14
7190,2023-03-02,雲林縣,二崙鄉,7,5796,7.29
7556,2023-03-01,雲林縣,二崙鄉,6,5789,7.57
7923,2023-02-28,雲林縣,二崙鄉,9,5783,7.57
8282,2023-02-27,雲林縣,二崙鄉,8,5774,7.00
8630,2023-02-26,雲林縣,二崙鄉,1,5766,7.14
8997,2023-02-25,雲林縣,二崙鄉,8,5765,7.43
9359,2023-02-24,雲林縣,二崙鄉,12,5757,7.71
9726,2023-02-23,雲林縣,二崙鄉,9,5745,7.71
10101,2023-02-22,雲林縣,二崙鄉,6,5736,8.00
10473,2023-02-21,雲林縣,二崙鄉,5,5730,8.14
10846,2023-02-20,雲林縣,二崙鄉,9,5725,9.00
11207,2023-02-19,雲林縣,二崙鄉,3,5716,10.00
11576,2023-02-18,雲林縣,二崙鄉,10,5713,10.00
11948,2023-02-17,雲林縣,二崙鄉,12,5703,11.14
12322,2023-02-16,雲林縣,二崙鄉,11,5691,10.14
12694,2023-02-15,雲林縣,二崙鄉,7,5680,9.71
13069,2023-02-14,雲林縣,二崙鄉,11,5673,10.00
13444,2023-02-13,雲林縣,二崙鄉,16,5662,9.71
13808,2023-02-12,雲林縣,二崙鄉,3,5646,9.43
14179,2023-02-11,雲林縣,二崙鄉,18,5643,9.71
14547,2023-02-10,雲林縣,二崙鄉,5,5625,8.43
14922,2023-02-09,雲林縣,二崙鄉,8,5620,9.71
15300,2023-02-08,雲林縣,二崙鄉,9,5612,11.43
15682,2023-02-07,雲林縣,二崙鄉,9,5603,13.57
16061,2023-02-06,雲林縣,二崙鄉,14,5594,15.86
16432,2023-02-05,雲林縣,二崙鄉,5,5580,18.86
16810,2023-02-04,雲林縣,二崙鄉,9,5575,19.00
17191,2023-02-03,雲林縣,二崙鄉,14,5566,19.71
17576,2023-02-02,雲林縣,二崙鄉,20,5552,18.43
17957,2023-02-01,雲林縣,二崙鄉,24,5532,17.71
18340,2023-01-31,雲林縣,二崙鄉,25,5508,15.86
18725,2023-01-30,雲林縣,二崙鄉,35,5483,14.29
19109,2023-01-29,雲林縣,二崙鄉,6,5448,10.00
19487,2023-01-28,雲林縣,二崙鄉,14,5442,10.14
19863,2023-01-27,雲林縣,二崙鄉,5,5428,8.57
20239,2023-01-26,雲林縣,二崙鄉,15,5423,9.14
20612,2023-01-25,雲林縣,二崙鄉,11,5408,7.29
20980,2023-01-24,雲林縣,二崙鄉,14,5397,7.00
21349,2023-01-23,雲林縣,二崙鄉,5,5383,5.43
21715,2023-01-22,雲林縣,二崙鄉,7,5378,6.43
22086,2023-01-21,雲林縣,二崙鄉,3,5371,6.43
22454,2023-01-20,雲林縣,二崙鄉,9,5368,6.86
22823,2023-01-19,雲林縣,二崙鄉,2,5359,6.57
23195,2023-01-18,雲林縣,二崙鄉,9,5357,7.57
23560,2023-01-17,雲林縣,二崙鄉,3,5348,7.00
23934,2023-01-16,雲林縣,二崙鄉,12,5345,8.14
24306,2023-01-15,雲林縣,二崙鄉,7,5333,8.14
24672,2023-01-14,雲林縣,二崙鄉,6,5326,8.71
25038,2023-01-13,雲林縣,二崙鄉,7,5320,9.71
25414,2023-01-12,雲林縣,二崙鄉,9,5313,10.43
25786,2023-01-11,雲林縣,二崙鄉,5,5304,10.57
26160,2023-01-10,雲林縣,二崙鄉,11,5299,11.00
26538,2023-01-09,雲林縣,二崙鄉,12,5288,12.29
26904,2023-01-08,雲林縣,二崙鄉,11,5276,12.29
27269,2023-01-07,雲林縣,二崙鄉,13,5265,11.71
27641,2023-01-06,雲林縣,二崙鄉,12,5252,11.43
28022,2023-01-05,雲林縣,二崙鄉,10,5240,11.14
28401,2023-01-04,雲林縣,二崙鄉,8,5230,11.29
28783,2023-01-03,雲林縣,二崙鄉,20,5222,11.29
29158,2023-01-02,雲林縣,二崙鄉,12,5202,9.00
29524,2023-01-01,雲林縣,二崙鄉,7,5190,7.86
29890,2022-12-31,雲林縣,二崙鄉,11,5183,7.00
30258,2022-12-30,雲林縣,二崙鄉,10,5172,6.57
30630,2022-12-29,雲林縣,二崙鄉,11,5162,6.43
31002,2022-12-28,雲林縣,二崙鄉,8,5151,6.00
31377,2022-12-27,雲林縣,二崙鄉,4,5143,5.43
31751,2022-12-26,雲林縣,二崙鄉,4,5139,5.71
32109,2022-12-25,雲林縣,二崙鄉,1,5135,6.29
32468,2022-12-24,雲林縣,二崙鄉,8,5134,7.14
