UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1149,2023-03-19,雲林縣,口湖鄉,1,4838,4.57
1481,2023-03-18,雲林縣,口湖鄉,5,4837,4.71
1834,2023-03-17,雲林縣,口湖鄉,11,4832,4.29
2181,2023-03-16,雲林縣,口湖鄉,5,4821,3.43
2534,2023-03-15,雲林縣,口湖鄉,4,4816,3.57
2887,2023-03-14,雲林縣,口湖鄉,4,4812,3.71
3245,2023-03-13,雲林縣,口湖鄉,2,4808,3.57
3596,2023-03-12,雲林縣,口湖鄉,2,4806,4.43
3950,2023-03-11,雲林縣,口湖鄉,2,4804,4.57
4300,2023-03-10,雲林縣,口湖鄉,5,4802,6.00
4657,2023-03-09,雲林縣,口湖鄉,6,4797,6.00
5014,2023-03-08,雲林縣,口湖鄉,5,4791,6.29
5368,2023-03-07,雲林縣,口湖鄉,3,4786,6.00
5733,2023-03-06,雲林縣,口湖鄉,8,4783,5.86
6085,2023-03-05,雲林縣,口湖鄉,3,4775,5.14
6430,2023-03-04,雲林縣,口湖鄉,12,4772,5.00
6786,2023-03-03,雲林縣,口湖鄉,5,4760,4.71
7148,2023-03-02,雲林縣,口湖鄉,8,4755,5.00
7513,2023-03-01,雲林縣,口湖鄉,3,4747,4.71
7883,2023-02-28,雲林縣,口湖鄉,2,4744,4.86
8244,2023-02-27,雲林縣,口湖鄉,3,4742,5.14
8590,2023-02-26,雲林縣,口湖鄉,2,4739,5.43
8953,2023-02-25,雲林縣,口湖鄉,10,4737,6.00
9317,2023-02-24,雲林縣,口湖鄉,7,4727,5.57
9683,2023-02-23,雲林縣,口湖鄉,6,4720,5.43
10055,2023-02-22,雲林縣,口湖鄉,4,4714,4.86
10428,2023-02-21,雲林縣,口湖鄉,4,4710,4.71
10801,2023-02-20,雲林縣,口湖鄉,5,4706,5.14
11168,2023-02-19,雲林縣,口湖鄉,6,4701,5.57
11533,2023-02-18,雲林縣,口湖鄉,7,4695,6.14
11903,2023-02-17,雲林縣,口湖鄉,6,4688,7.00
12276,2023-02-16,雲林縣,口湖鄉,2,4682,8.71
12651,2023-02-15,雲林縣,口湖鄉,3,4680,10.43
13026,2023-02-14,雲林縣,口湖鄉,7,4677,11.57
13398,2023-02-13,雲林縣,口湖鄉,8,4670,12.00
13769,2023-02-12,雲林縣,口湖鄉,10,4662,12.71
14134,2023-02-11,雲林縣,口湖鄉,13,4652,12.14
14503,2023-02-10,雲林縣,口湖鄉,18,4639,11.43
14875,2023-02-09,雲林縣,口湖鄉,14,4621,10.29
15257,2023-02-08,雲林縣,口湖鄉,11,4607,10.00
15636,2023-02-07,雲林縣,口湖鄉,10,4596,10.00
16016,2023-02-06,雲林縣,口湖鄉,13,4586,10.86
16390,2023-02-05,雲林縣,口湖鄉,6,4573,11.71
16764,2023-02-04,雲林縣,口湖鄉,8,4567,14.14
17144,2023-02-03,雲林縣,口湖鄉,10,4559,14.29
17531,2023-02-02,雲林縣,口湖鄉,12,4549,14.57
17911,2023-02-01,雲林縣,口湖鄉,11,4537,15.14
18293,2023-01-31,雲林縣,口湖鄉,16,4526,15.43
18678,2023-01-30,雲林縣,口湖鄉,19,4510,14.86
19063,2023-01-29,雲林縣,口湖鄉,23,4491,13.29
19441,2023-01-28,雲林縣,口湖鄉,9,4468,10.57
19817,2023-01-27,雲林縣,口湖鄉,12,4459,9.71
20195,2023-01-26,雲林縣,口湖鄉,16,4447,9.00
20566,2023-01-25,雲林縣,口湖鄉,13,4431,8.14
20936,2023-01-24,雲林縣,口湖鄉,12,4418,6.86
21304,2023-01-23,雲林縣,口湖鄉,8,4406,7.00
21675,2023-01-22,雲林縣,口湖鄉,4,4398,6.86
22042,2023-01-21,雲林縣,口湖鄉,3,4394,7.14
22412,2023-01-20,雲林縣,口湖鄉,7,4391,7.43
22779,2023-01-19,雲林縣,口湖鄉,10,4384,6.86
23152,2023-01-18,雲林縣,口湖鄉,4,4374,6.86
23517,2023-01-17,雲林縣,口湖鄉,13,4370,7.86
23887,2023-01-16,雲林縣,口湖鄉,7,4357,6.57
24261,2023-01-15,雲林縣,口湖鄉,6,4350,7.71
24627,2023-01-14,雲林縣,口湖鄉,5,4344,7.00
24995,2023-01-13,雲林縣,口湖鄉,3,4339,7.86
25369,2023-01-12,雲林縣,口湖鄉,10,4336,8.71
25740,2023-01-11,雲林縣,口湖鄉,11,4326,8.71
26117,2023-01-10,雲林縣,口湖鄉,4,4315,7.71
26492,2023-01-09,雲林縣,口湖鄉,15,4311,8.57
26860,2023-01-08,雲林縣,口湖鄉,1,4296,8.00
27223,2023-01-07,雲林縣,口湖鄉,11,4295,8.43
27596,2023-01-06,雲林縣,口湖鄉,9,4284,8.00
27976,2023-01-05,雲林縣,口湖鄉,10,4275,8.14
28356,2023-01-04,雲林縣,口湖鄉,4,4265,7.86
28737,2023-01-03,雲林縣,口湖鄉,10,4261,8.29
29115,2023-01-02,雲林縣,口湖鄉,11,4251,7.86
29484,2023-01-01,雲林縣,口湖鄉,4,4240,7.00
29847,2022-12-31,雲林縣,口湖鄉,8,4236,6.86
30212,2022-12-30,雲林縣,口湖鄉,10,4228,6.00
30586,2022-12-29,雲林縣,口湖鄉,8,4218,5.14
30959,2022-12-28,雲林縣,口湖鄉,7,4210,5.43
31333,2022-12-27,雲林縣,口湖鄉,7,4203,5.00
31706,2022-12-26,雲林縣,口湖鄉,5,4196,4.14
32067,2022-12-25,雲林縣,口湖鄉,3,4191,4.71
32427,2022-12-24,雲林縣,口湖鄉,2,4188,4.71
32786,2022-12-23,雲林縣,口湖鄉,4,4186,5.43
33154,2022-12-22,雲林縣,口湖鄉,10,4182,5.86
33521,2022-12-21,雲林縣,口湖鄉,4,4172,5.29
33888,2022-12-20,雲林縣,口湖鄉,1,4168,5.14
34254,2022-12-19,雲林縣,口湖鄉,9,4167,5.86
34612,2022-12-18,雲林縣,口湖鄉,3,4158,4.71
34969,2022-12-17,雲林縣,口湖鄉,7,4155,4.43
35335,2022-12-16,雲林縣,口湖鄉,7,4148,4.00
35698,2022-12-15,雲林縣,口湖鄉,6,4141,3.57
36062,2022-12-14,雲林縣,口湖鄉,3,4135,3.43
36428,2022-12-13,雲林縣,口湖鄉,6,4132,3.71
36806,2022-12-12,雲林縣,口湖鄉,1,4126,3.57
37161,2022-12-11,雲林縣,口湖鄉,1,4125,4.43
37525,2022-12-10,雲林縣,口湖鄉,4,4124,4.86
